"4.14 - FAMÍLIAS CLÁSSICAS, SEGUNDO A SUA DIMENSÃO E PESSOAS NAS FAMÍLIAS PELO NÚMERO DE PESSOAS COM ACTIVIDADE ECONÓMICA E PESSOAS A CARGO ",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Zona Geográfica,Famílias clássicas segundo a dimensão (pessoas),,,,,,,,,,Pessoas nas famílias,,,
Número de pessoas com actividade económica e número de pessoas a cargo,Total,Com 1,Com 2,Com 3,Com 4,Com 5,Com 6,Com 7,Com 8,Com 9 ou mais,,,,
1,2,3,4,5,6,7,8,9,10,11,12,,,
  Portugal,4043726,866827,1277558,965781,671066,182028,56379,15173,5256,3658,10436516,,,
      Nenhuma pessoa activa,1188639,508869,579301,73498,18256,5554,2102,635,228,196,2009627,,,
        Nenhuma pessoa a cargo,1004355,496941,473902,30546,2627,275,44,12,3,5,1548693,,,
        1 pessoa a cargo,146021,11928,102196,27575,3694,511,95,18,1,3,317112,,,
        2 pessoas a cargo,25261,0,3203,13843,6849,1062,249,41,11,3,82538,,,
        3 pessoas a cargo,8985,0,0,1534,4590,2345,407,74,20,15,37949,,,
        4 ou mais pessoas a cargo,4017,0,0,0,496,1361,1307,490,193,170,23335,,,
      1 pessoa activa,1118636,357958,355416,255703,107796,30281,8556,2013,622,291,2491754,,,
        Nenhuma pessoa a cargo,643863,349846,203459,81889,7774,785,93,11,4,2,1038139,,,
        1 pessoa a cargo,268520,8112,149406,90186,17944,2529,291,38,12,2,664029,,,
        2 pessoas a cargo,132414,0,2551,82358,39735,6461,1150,131,25,3,451466,,,
        3 pessoas a cargo,57042,0,0,1270,41867,11284,2248,313,50,10,243870,,,
        4 ou mais pessoas a cargo,16797,0,0,0,476,9222,4774,1520,531,274,94250,,,
      2 pessoas activas,1393819,0,342841,531760,405833,86551,21036,4184,1080,534,4506323,,,
        Nenhuma pessoa a cargo,406769,0,313105,72074,19202,2121,242,19,2,4,931484,,,
        1 pessoa a cargo,514219,0,28784,425382,47363,11253,1287,131,17,2,1588224,,,
        2 pessoas a cargo,380070,0,952,33717,316877,21717,6226,508,63,10,1520654,,,
        3 pessoas a cargo,75960,0,0,587,22013,46819,5322,1028,161,30,364607,,,
        4 ou mais pessoas a cargo,16801,0,0,0,378,4641,7959,2498,837,488,101354,,,
      3 ou mais pessoas activas,342632,0,0,104820,139181,59642,24685,8341,3326,2637,1428812,,,
        Nenhuma pessoa a cargo,125504,0,0,75962,38803,8646,1690,296,62,45,439495,,,
        1 pessoa a cargo,125196,0,0,26046,70446,21538,5768,1103,228,67,512401,,,
        2 pessoas a cargo,63061,0,0,2751,27278,21093,8838,2266,652,183,298677,,,
        3 pessoas a cargo,19694,0,0,61,2601,7393,6011,2366,827,435,110886,,,
        4 ou mais pessoas a cargo,9177,0,0,0,53,972,2378,2310,1557,1907,67353,,,
    Continente,3869188,834680,1232982,923812,637236,168748,51222,13291,4421,2796,9927982,,,
        Nenhuma pessoa activa,1148470,491206,562250,69982,17056,5105,1930,569,199,173,1938326,,,
          Nenhuma pessoa a cargo,972731,479647,461015,29294,2465,250,42,10,3,5,1501070,,,
          1 pessoa a cargo,139963,11559,98159,26187,3471,479,88,16,1,3,303397,,,
          2 pessoas a cargo,23777,0,3076,13028,6409,987,232,33,10,2,77529,,,
          3 pessoas a cargo,8366,0,0,1473,4241,2173,381,67,17,14,35270,,,
          4 ou mais pessoas a cargo,3633,0,0,0,470,1216,1187,443,168,149,21060,,,
        1 pessoa activa,1067113,343474,341345,243644,100892,27614,7644,1748,513,239,2363285,,,
          Nenhuma pessoa a cargo,618022,335624,195493,78689,7390,726,84,10,4,2,996493,,,
          1 pessoa a cargo,256356,7850,143377,85604,16857,2351,271,34,10,2,632561,,,
