"4.15 - FAMÍLIAS CLÁSSICAS, SEGUNDO O TIPO DE ALOJAMENTO OCUPADO COMO RESIDÊNCIA HABITUAL E O REGIME DE PROPRIEDADE DOS ALOJAMENTOS CLÁSSICOS POR DIMENSÃO DAS FAMÍLIAS",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Zona Geográfica,Total    ,Alojamentos clássicos,,,,Alojamentos não clássicos,,,,Alojamentos colectivos,,,,
Dimensão das famílias,,Proprietário ou co-proprietário,Proprietário em prop. colectiva de coop de habitação,Arrendatário ou sub arrendatário,Outra situação,Barracas e casas rudimentares de madeira,Movéis,Improvisados,Local não destinado a habitação,Estabeleci-mentos hoteleiros ou similares,Alojamentos de convivência,,,
1,2,3,4,5,6,7,8,9,10,11,12,,,
  Portugal,4043726,2912444,31758,811641,277632,2103,460,4162,153,2021,1352,,,
    Com 1 pessoa,866827,544988,4871,230396,81763,491,224,1636,91,1367,1000,,,
    Com 2 pessoas,1277558,930704,8859,260875,74991,441,113,1026,28,374,147,,,
    Com 3 pessoas,965781,724168,8897,168582,62769,331,41,738,13,155,87,,,
    Com 4 pessoas,671066,525926,6250,95558,42367,327,40,439,8,71,80,,,
    Com 5 pessoas,182028,133005,1890,35624,10966,262,19,198,4,33,27,,,
    Com 6 pessoas,56379,39024,646,13145,3289,147,13,84,6,18,7,,,
    Com 7 pessoas,15173,9614,193,4389,890,58,3,20,3,1,2,,,
    Com 8 pessoas,5256,3061,79,1727,346,24,3,14,0,1,1,,,
    Com 9 ou mais pessoas,3658,1954,73,1345,251,22,4,7,0,1,1,,,
    Continente,3869188,2778148,29421,786324,265465,2090,453,4029,149,1905,1204,,,
      Com 1 pessoa,834680,522920,4582,224167,78414,486,220,1588,90,1282,931,,,
      Com 2 pessoas,1232982,896188,8420,254233,72071,440,111,1006,27,359,127,,,
      Com 3 pessoas,923812,690681,8272,163311,60250,327,41,710,12,147,61,,,
      Com 4 pessoas,637236,498226,5681,91912,40501,325,40,420,8,66,57,,,
      Com 5 pessoas,168748,122648,1658,33815,10109,261,19,188,3,30,17,,,
      Com 6 pessoas,51222,35193,547,12296,2919,147,12,77,6,18,7,,,
      Com 7 pessoas,13291,8308,155,3992,750,58,3,19,3,1,2,,,
      Com 8 pessoas,4421,2542,56,1507,273,24,3,14,0,1,1,,,
      Com 9 ou mais pessoas,2796,1442,50,1091,178,22,4,7,0,1,1,,,
      Norte,1330892,946086,11454,271683,99045,352,60,793,18,877,524,,,
        Com 1 pessoa,228923,139703,1390,63883,22493,69,25,252,11,613,484,,,
        Com 2 pessoas,390608,276690,2830,85766,24869,102,13,173,6,140,19,,,
        Com 3 pessoas,349821,254929,3550,64697,26330,45,6,189,1,65,9,,,
        Com 4 pessoas,256375,197000,2653,37531,18962,51,12,124,0,34,8,,,
        Com 5 pessoas,72880,54271,744,13189,4577,47,2,35,0,13,2,,,
        Com 6 pessoas,23355,17359,192,4428,1321,22,1,19,0,12,1,,,
        Com 7 pessoas,5935,4187,67,1373,299,9,0,0,0,0,0,,,
        Com 8 pessoas,1898,1259,19,493,122,4,0,1,0,0,0,,,
        Com 9 ou mais pessoas,1097,688,9,323,72,3,1,0,0,0,1,,,
      Centro,904770,727583,5144,114293,55623,487,126,861,42,350,261,,,
        Com 1 pessoa,195368,141827,802,33869,17960,100,60,356,27,209,158,,,
        Com 2 pessoas,301017,246658,1529,37213,15091,118,34,232,8,80,54,,,
        Com 3 pessoas,209076,171424,1431,23894,12039,82,13,135,4,33,21,,,
        Com 4 pessoas,149577,127647,993,12886,7841,74,13,82,1,17,23,,,
        Com 5 pessoas,36393,29787,260,4314,1927,53,4,34,1,9,4,,,
        Com 6 pessoas,9912,7776,100,1433,548,41,2,11,1,0,0,,,
        Com 7 pessoas,2379,1741,20,439,159,12,0,6,0,1,1,,,
        Com 8 pessoas,689,488,7,153,34,4,0,3,0,0,0,,,
        Com 9 ou mais pessoas,359,235,2,92,24,3,0,2,0,1,0,,,
      Lisboa,1147775,751045,8983,317114,67678,502,33,1626,17,400,377,,,
        Com 1 pessoa,293220,164305,1712,102367,23465,150,17,617,13,311,263,,,
        Com 2 pessoas,376955,248585,2898,104919,19896,110,5,439,1,54,48,,,
        Com 3 pessoas,255823,182637,2199,57427,13150,66,5,290,0,21,28,,,
        Com 4 pessoas,160522,119279,1384,31487,8127,66,3,146,2,7,21,,,
        Com 5 pessoas,42043,26608,476,12710,2093,58,1,83,0,4,10,,,
        Com 6 pessoas,12967,6921,200,5139,631,28,1,38,1,2,6,,,
        Com 7 pessoas,3754,1720,54,1778,182,14,0,5,0,0,1,,,
        Com 8 pessoas,1414,593,23,707,77,5,1,7,0,1,0,,,
        Com 9 ou mais pessoas,1077,397,37,580,57,5,0,1,0,0,0,,,
      Alentejo,302975,228053,1923,45317,26497,502,124,385,28,115,31,,,
        Com 1 pessoa,71676,48636,332,13546,8724,105,56,186,16,57,18,,,
        Com 2 pessoas,103694,80571,594,14718,7585,73,29,79,5,36,4,,,
        Com 3 pessoas,68492,53263,564,9148,5357,83,12,48,2,12,3,,,
        Com 4 pessoas,44375,35346,321,5105,3466,85,5,37,1,5,4,,,
        Com 5 pessoas,10774,7760,80,1841,982,77,8,23,0,2,1,,,
        Com 6 pessoas,2866,1878,23,638,266,41,8,6,3,3,0,,,
        Com 7 pessoas,711,406,6,202,72,20,2,2,1,0,0,,,
        Com 8 pessoas,244,129,3,71,28,9,1,2,0,0,1,,,
