"4.16 - FAMÍLIAS CLÁSSICAS EM ALOJAMENTOS FAMILIARES, SEGUNDO O TIPO DE ALOJAMENTO FAMILIAR OCUPADO, O REGIME DE PROPRIEDADE E O TIPO DE OCUPAÇÃO DOS ALOJAMENTOS CLÁSSICOS E CONDIÇÕES DE HABITABILIDADE, POR TIPO DE FAMÍLIA NA BASE DA ESTRUTURA ETÁRIA E NÚMERO DE CRIANÇAS",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Zona Geográfica,Total ,Tipo de alojamento familiar,,,Regime de propriedade dos alojamentos familiares clássicos,,,,Tipo de ocupação alojamentos clássicos,,Em alojamentos clássicos super-lotados,Em aloj. não clássicos,,
Tipo de família na base da estrutura etária e número de crianças,,Clássicos,Barracas e casas rudimentares de madeira,Outros,Proprietário ou co-proprietário,Proprietário em prop. colectiva de coop de habitação,Arrendatário ou sub-arrendatário,Outra situação,Simples,Partilhada ,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,,
  Portugal,4039999,4033121,2103,4775,2912444,31758,811641,277278,3957463,75658,467714,6878,,
    Uma pessoa do sexo masculino com idade entre 15 e 24 anos,10044,9994,17,33,3171,41,4878,1904,7327,2667,1793,50,,
    Uma pessoa do sexo masculino com idade entre 25 e 64 anos,216654,215268,285,1101,121233,1493,64201,28341,198951,16317,17026,1386,,
    Uma pessoa do sexo masculino com 65 ou mais anos,93404,93022,92,290,65861,456,19427,7278,90777,2245,4135,382,,
    Uma pessoa do sexo feminino com idade entre 15 e 24 anos,10238,10218,0,20,3044,49,5513,1612,7993,2225,1568,20,,
    Uma pessoa do sexo feminino com idade entre 25 e 64 anos,220878,220580,49,249,138081,1430,62244,18825,210528,10052,11295,298,,
    Uma pessoa do sexo feminino com 65 ou mais anos,313040,312734,48,258,213583,1402,74121,23628,307716,5018,9560,306,,
"    Uma pessoa do sexo masculino com 15 ou mais anos, com 1 ou mais pessoas de idade inferior a 15 anos",9400,9370,17,13,6230,91,2198,851,9089,281,1619,30,,
"    Uma pessoa do sexo feminino com 15 ou mais anos, com 1 ou mais pessoas de idade inferior a 15 anos",81327,81122,74,131,43011,613,29113,8385,78404,2718,19186,205,,
"    Duas pessoas, ambas com idade entre 15 e 24 anos",9712,9599,66,47,2804,62,5335,1398,9130,469,948,113,,
"    Duas pessoas, ambas com idade entre 25 e 64 anos",512486,511776,186,524,367259,3950,105956,34611,504115,7661,16776,710,,
"    Duas pessoas, uma com idade entre 15 e 24 e outra de 25 a 64 anos",83023,82820,69,134,46031,761,28070,7958,80739,2081,9333,203,,
"    Duas pessoas, ambas ou pelo menos uma com 65 ou mais anos",608135,607698,74,363,479225,3602,100317,24554,601804,5894,17279,437,,
"    Duas pessoas, ambas com 15 ou mais anos, com outras de idade inferior a 15 anos",675258,673859,685,714,499360,5874,113747,54878,664915,8944,108582,1399,,
    Uma pessoa de idade inferior a 15 anos,397322,396732,207,383,289296,3561,70430,33445,391011,5721,43737,590,,
    Duas pessoas de idade inferior a 15 anos,241625,241198,212,215,187363,2011,33350,18474,238550,2648,50510,427,,
    Três pessoas de idade inferior a 15 anos,31240,30987,170,83,20323,256,7884,2524,30510,477,11383,253,,
    Quatro ou mais pessoas de idade inferior a 15 anos,5071,4942,96,33,2378,46,2083,435,4844,98,2952,129,,
    Três ou mais pessoas com 15 ou mais anos,1196361,1195022,441,898,923533,11934,196507,63048,1185943,9079,248606,1339,,
    Sem outras pessoas de idade inferior a 15 anos,848602,847860,178,564,667566,7884,130948,41462,841478,6382,123766,742,,
    Uma pessoa de idade inferior a 15 anos,267829,267508,103,218,203962,3059,44068,16419,265514,1994,82500,321,,
    Duas pessoas ou mais de idade inferior a 15 anos,79930,79654,160,116,52005,991,21491,5167,78951,703,42340,276,,
    Outros casos,39,39,0,0,18,0,14,7,32,7,8,0,,
    Continente,3865725,3859004,2090,4631,2778148,29421,786324,265111,3786119,72885,433313,6721,,
      Uma pessoa do sexo masculino com idade entre 15 e 24 anos,9695,9645,17,33,3065,39,4711,1830,7084,2561,1735,50,,
      Uma pessoa do sexo masculino com idade entre 25 e 64 anos,207473,206121,281,1071,115976,1395,61804,26946,190498,15623,16006,1352,,
      Uma pessoa do sexo masculino com 65 ou mais anos,90595,90222,91,282,63661,440,19079,7042,88026,2196,3954,373,,
      Uma pessoa do sexo feminino com idade entre 15 e 24 anos,9935,9916,0,19,2950,47,5361,1558,7772,2144,1509,19,,
      Uma pessoa do sexo feminino com idade entre 25 e 64 anos,212059,211770,49,240,132191,1329,60213,18037,202162,9608,10540,289,,
      Uma pessoa do sexo feminino com 65 ou mais anos,302508,302207,48,253,205062,1332,72987,22826,297319,4888,9082,301,,
"      Uma pessoa do sexo masculino com 15 ou mais anos, com 1 ou mais pessoas de idade inferior a 15 anos",9044,9014,17,13,5989,84,2122,819,8739,275,1532,30,,
"      Uma pessoa do sexo feminino com 15 ou mais anos, com 1 ou mais pessoas de idade inferior a 15 anos",78235,78034,74,127,41285,568,28120,8061,75407,2627,18147,201,,
"      Duas pessoas, ambas com idade entre 15 e 24 anos",9321,9209,66,46,2686,58,5142,1323,8755,454,892,112,,
"      Duas pessoas, ambas com idade entre 25 e 64 anos",492945,492248,185,512,352530,3742,102846,33130,484802,7446,15692,697,,
"      Duas pessoas, uma com idade entre 15 e 24 e outra de 25 a 64 anos",79418,79219,69,130,43830,696,27108,7585,77217,2002,8743,199,,
"      Duas pessoas, ambas ou pelo menos uma com 65 ou mais anos",589486,589053,74,359,463180,3467,98601,23805,583280,5773,16147,433,,
"      Duas pessoas, ambas com 15 ou mais anos, com outras de idade inferior a 15 anos",642736,641372,683,681,474310,5310,109188,52564,632752,8620,100629,1364,,
      Uma pessoa de idade inferior a 15 anos,379135,378562,206,367,275288,3258,67910,32106,373035,5527,40417,573,,
      Duas pessoas de idade inferior a 15 anos,229850,229434,211,205,177991,1805,31927,17711,226883,2551,47136,416,,
      Três pessoas de idade inferior a 15 anos,29132,28884,170,78,18885,212,7441,2346,28434,450,10418,248,,
      Quatro ou mais pessoas de idade inferior a 15 anos,4619,4492,96,31,2146,35,1910,401,4400,92,2658,127,,
      Três ou mais pessoas com 15 ou mais anos,1132236,1130935,436,865,871415,10914,189028,59578,1122274,8661,228697,1301,,
      Sem outras pessoas de idade inferior a 15 anos,807619,806902,174,543,633250,7329,126799,39524,800802,6100,114463,717,,
      Uma pessoa de idade inferior a 15 anos,251783,251472,102,209,191066,2757,42192,15457,249575,1897,76230,311,,
      Duas pessoas ou mais de idade inferior a 15 anos,72834,72561,160,113,47099,828,20037,4597,71897,664,38004,273,,
      Outros casos,39,39,0,0,18,0,14,7,32,7,8,0,,
      Norte,1329491,1328268,352,871,946086,11454,271683,99045,1312466,15802,157607,1223,,
        Uma pessoa do sexo masculino com idade entre 15 e 24 anos,2417,2408,2,7,762,9,1184,453,1968,440,369,9,,
        Uma pessoa do sexo masculino com idade entre 25 e 64 anos,53267,53070,41,156,28219,408,16826,7617,50944,2126,3834,197,,
        Uma pessoa do sexo masculino com 65 ou mais anos,24568,24515,14,39,17425,119,5142,1829,24072,443,1105,53,,
