"4.17 - FAMÍLIAS CLÁSSICAS, SEGUNDO A SUA DIMENSÃO E PESSOAS NAS FAMÍLIAS POR NÚMERO DE PESSOAS COM ACTIVIDADE  ECONÓMICA E NÚMERO DE DESEMPREGADOS (SENTIDO RESTRITO) NA FAMÍLIA",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Zona Geográfica,Famílias clássicas segundo a dimensão (pessoas),,,,,,,,,,Pessoas nas famílias,,,
Número de pessoas com actividade económica e número de pessoas desempregadas,Total,Com 1,Com 2,Com 3,Com 4,Com 5,Com 6,Com 7,Com 8,Com 9 ou mais,,,,
1,2,3,4,5,6,7,8,9,10,11,12,,,
  Portugal,4043726,866827,1277558,965781,671066,182028,56379,15173,5256,3658,10436516,,,
      Nenhuma pessoa activa,1188639,508869,579301,73498,18256,5554,2102,635,228,196,2009627,,,
      1 pessoa activa,1118636,357958,355416,255703,107796,30281,8556,2013,622,291,2491754,,,
      Empregada,965264,315448,304338,217684,93416,25320,6892,1529,445,192,2134915,,,
      Desempregada,153372,42510,51078,38019,14380,4961,1664,484,177,99,356839,,,
      2 pessoas activas,1393819,0,342841,531760,405833,86551,21036,4184,1080,534,4506323,,,
      Ambas empregadas,1111378,0,272450,424017,330479,65865,14956,2681,634,296,3584616,,,
      Apenas 1 desempregada,246813,0,60919,95530,66531,17384,4846,1126,310,167,802501,,,
      Ambas desempregadas,35628,0,9472,12213,8823,3302,1234,377,136,71,119206,,,
      3 pessoas activas,273212,0,0,104820,109191,39635,13754,3896,1220,696,1075725,,,
      Todas empregadas,164974,0,0,63963,66738,23501,7813,2102,590,267,645245,,,
      Com 1 desempregada,82779,0,0,31603,33344,11921,4129,1197,368,217,326001,,,
      Com 2 desempregadas,21832,0,0,8128,7949,3506,1448,459,200,142,88598,,,
      Todas desempregadas,3627,0,0,1126,1160,707,364,138,62,70,15881,,,
      4 pessoas activas,59757,0,0,0,29990,17023,8048,2816,1131,749,289454,,,
      Todas empregadas,31033,0,0,0,16254,8700,3939,1325,521,294,148444,,,
      Com 1 desempregada,18411,0,0,0,9297,5326,2449,816,316,207,88775,,,
      Com 2 desempregadas,7696,0,0,0,3525,2227,1169,465,177,133,38212,,,
      Com 3 desempregadas,2084,0,0,0,779,619,375,149,84,78,10965,,,
      Todas desempregadas,533,0,0,0,135,151,116,61,33,37,3058,,,
      5 ou mais pessoas activas,9663,0,0,0,0,2984,2883,1629,975,1192,63633,,,
      Todas empregadas,4158,0,0,0,0,1358,1281,732,386,401,26698,,,
      Com 1 desempregada,2858,0,0,0,0,975,889,437,253,304,18377,,,
      Com 2 desempregadas,1483,0,0,0,0,423,431,254,169,206,9974,,,
      Com 3 desempregadas,709,0,0,0,0,159,191,131,104,124,4981,,,
      Com 4 desempregadas,311,0,0,0,0,57,71,54,37,92,2326,,,
      Com 5 ou mais desempregadas,144,0,0,0,0,12,20,21,26,65,1277,,,
    Continente,3869188,834680,1232982,923812,637236,168748,51222,13291,4421,2796,9927982,,,
        Nenhuma pessoa activa,1148470,491206,562250,69982,17056,5105,1930,569,199,173,1938326,,,
        1 pessoa activa,1067113,343474,341345,243644,100892,27614,7644,1748,513,239,2363285,,,
        Empregada,919829,302255,291823,207267,87423,23063,6149,1335,360,154,2023317,,,
        Desempregada,147284,41219,49522,36377,13469,4551,1495,413,153,85,339968,,,
        2 pessoas activas,1329034,0,329387,508586,386064,80619,19306,3726,924,422,4285196,,,
        Ambas empregadas,1059024,0,261299,405053,314312,61415,13774,2392,541,238,3408057,,,
        Apenas 1 desempregada,236029,0,58900,91801,63375,16164,4406,992,262,129,764215,,,
        Ambas desempregadas,33981,0,9188,11732,8377,3040,1126,342,121,55,112924,,,
