"4.21 - PESSOAS RESIDENTES SEGUNDO O GRUPO ETÁRIO, POR ESTATUTO DA PESSOA NA FAMÍLIA ",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Zona Geográfica,Total,Menos de 15 anos,De 15 a 19 anos,De 20 a 24 anos,De 25 a 29 anos,De 30 a 34 anos,De 35 a 39 anos,De 40 a 44 anos,De 45 a 49 anos,De 50 a 54 anos,De 55 a 59 anos,De 60 a 64 anos,De 65 a 69 anos,De 70 a 74 anos,De 75 ou mais anos
Estatuto da pessoa na família,,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
  Portugal,10562178,1572329,565250,582065,656076,773567,824683,773098,770294,722360,677651,634741,551701,496438,961925
      Pessoas que vivem numa família clássica,10436516,1566498,561025,579093,652813,769918,820791,769643,766918,719183,674417,631117,547001,488972,889127
      Pessoas num núcleo familiar,9132533,1540421,537694,532778,581593,690698,749317,708142,701232,645194,589882,536588,444520,366962,507512
      Pessoas casadas,4764074,0,1997,33854,163877,374376,497987,509248,530450,516542,500561,475894,402016,330885,426387
      Parceiros numa união de facto,727782,0,7845,56364,124678,141429,113999,80537,63685,47699,34041,22829,14464,9531,10681
      Pessoas em núcleos monoparentais,480443,10,2041,10065,20195,35592,53154,59422,61950,51194,38156,28625,24396,25469,70174
      Pai em núcleo monoparental,64100,0,37,377,1370,2887,5077,6632,8339,7877,6582,5086,3899,4070,11867
      Mãe em núcleo monoparental,416343,10,2004,9688,18825,32705,48077,52790,53611,43317,31574,23539,20497,21399,58307
      Filhos,3160234,1540411,525811,432495,272843,139301,84177,58935,45147,29759,17124,9240,3644,1077,270
      Não de um núcleo monoparental,2503570,1305394,424250,347743,214166,100204,51723,29665,17807,8461,3102,875,157,20,3
      De um núcleo monoparental,656664,235017,101561,84752,58677,39097,32454,29270,27340,21298,14022,8365,3487,1057,267
      Pessoas sem núcleo familiar,1303983,26077,23331,46315,71220,79220,71474,61501,65686,73989,84535,94529,102481,122010,381615
      Que residem sozinhos,866827,34,2660,17849,43750,58116,55300,46600,48443,54381,62379,70373,76307,89183,241452
      Que não residem sozinhos,437156,26043,20671,28466,27470,21104,16174,14901,17243,19608,22156,24156,26174,32827,140163
      Pessoas a residirem com familiares,389159,23797,18266,23307,21196,15724,12238,11654,14109,16717,19577,22112,24462,31216,134784
      Pessoas a residirem apenas com não familiares,47997,2246,2405,5159,6274,5380,3936,3247,3134,2891,2579,2044,1712,1611,5379
      Pessoas que não vivem numa família clássica,125662,5831,4225,2972,3263,3649,3892,3455,3376,3177,3234,3624,4700,7466,72798
      Pessoas numa família institucional,124966,5818,4217,2916,3205,3569,3807,3372,3307,3099,3170,3592,4675,7448,72771
      Pessoas sem-abrigo,696,13,8,56,58,80,85,83,69,78,64,32,25,18,27
    Continente,10047621,1484120,531657,547836,619797,732356,783074,733919,730766,687826,648317,610165,531061,478530,928197
        Pessoas que vivem numa família clássica,9927982,1478750,527775,545112,616718,728901,779381,730670,727633,684894,645348,606768,526697,471454,857881
        Pessoas num núcleo familiar,8681675,1454094,505583,500559,548238,653170,711165,672268,665466,614522,564870,516531,429048,354952,491209
        Pessoas casadas,4548008,0,1670,30276,151931,352110,471691,483019,503091,491916,479525,458655,388725,320901,414498
        Parceiros numa união de facto,698782,0,7349,53332,119458,135989,109649,77326,60994,45833,32901,22154,14035,9292,10470
        Pessoas em núcleos monoparentais,454505,10,1867,9329,19005,33761,50711,56695,58981,48639,36125,26888,22789,23720,65985
        Pai em núcleo monoparental,60843,0,35,353,1290,2717,4818,6331,7936,7492,6277,4828,3680,3841,11245
        Mãe em núcleo monoparental,393662,10,1832,8976,17715,31044,45893,50364,51045,41147,29848,22060,19109,19879,54740
        Filhos,2980380,1454084,494697,407622,257844,131310,79114,55228,42400,28134,16319,8834,3499,1039,256
        Não de um núcleo monoparental,2362047,1231265,398729,327808,202826,94921,49051,28278,16981,8154,3002,854,156,19,3
        De um núcleo monoparental,618333,222819,95968,79814,55018,36389,30063,26950,25419,19980,13317,7980,3343,1020,253
        Pessoas sem núcleo familiar,1246307,24656,22192,44553,68480,75731,68216,58402,62167,70372,80478,90237,97649,116502,366672
        Que residem sozinhos,834680,34,2572,17253,42156,55678,52938,44455,46135,52089,59945,67835,73409,86066,234115
        Que não residem sozinhos,411627,24622,19620,27300,26324,20053,15278,13947,16032,18283,20533,22402,24240,30436,132557
        Pessoas a residirem com familiares,365539,22483,17334,22331,20291,14895,11507,10820,13019,15499,18056,20423,22598,28908,127375
        Pessoas a residirem apenas com não familiares,46088,2139,2286,4969,6033,5158,3771,3127,3013,2784,2477,1979,1642,1528,5182
        Pessoas que não vivem numa família clássica,119639,5370,3882,2724,3079,3455,3693,3249,3133,2932,2969,3397,4364,7076,70316
        Pessoas numa família institucional,118976,5357,3874,2668,3021,3378,3611,3171,3073,2861,2907,3366,4339,7059,70291
        Pessoas sem-abrigo,663,13,8,56,58,77,82,78,60,71,62,31,25,17,25
      Norte,3689682,557233,212077,213799,233044,266844,291005,281655,285360,262486,240304,214436,178282,157970,295187
          Pessoas que vivem numa família clássica,3657065,555313,210534,213096,232144,265939,289977,280725,284407,261660,239439,213465,176971,155810,277585
          Pessoas num núcleo familiar,3276886,546922,203246,200908,214691,247304,272223,264394,265726,239804,213808,184833,145638,118032,159357
          Pessoas casadas,1782286,0,708,14962,70889,151101,198448,204680,214171,201670,187577,167225,132985,106420,131450
          Parceiros numa união de facto,172262,0,2396,16226,31428,32283,25364,18303,14744,10994,7938,5268,3160,2037,2121
          Pessoas em núcleos monoparentais,155832,3,613,3042,6136,10701,16064,18512,19553,16218,12320,9328,8324,9286,25732
          Pai em núcleo monoparental,19396,0,5,89,337,689,1224,1755,2242,2211,1949,1575,1292,1429,4599
          Mãe em núcleo monoparental,136436,3,608,2953,5799,10012,14840,16757,17311,14007,10371,7753,7032,7857,21133
          Filhos,1166506,546919,199529,166678,106238,53219,32347,22899,17258,10922,5973,3012,1169,289,54
          Não de um núcleo monoparental,952792,476698,167651,139232,86319,39613,20276,11541,6857,3160,1090,291,57,6,1
          De um núcleo monoparental,213714,70221,31878,27446,19919,13606,12071,11358,10401,7762,4883,2721,1112,283,53
          Pessoas sem núcleo familiar,380179,8391,7288,12188,17453,18635,17754,16331,18681,21856,25631,28632,31333,37778,118228
          Que residem sozinhos,228923,8,780,4515,10583,13555,13414,11659,12921,14977,17393,19234,21101,24864,63919
          Que não residem sozinhos,151256,8383,6508,7673,6870,5080,4340,4672,5760,6879,8238,9398,10232,12914,54309
          Pessoas a residirem com familiares,137136,7549,5702,6419,5462,3932,3435,3867,4970,6069,7400,8658,9577,12244,51852
