"5.01 - NÚCLEOS FAMILIARES, SEGUNDO O NÚMERO DE PESSOAS DO NÚCLEO, POR TIPO DE FAMILIA CLÁSSICA E DE NÚCLEO",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Zona Geográfica,Núcleos segundo o número de pessoas,,,,,,,,,,Pessoas no núcleo,,,
Tipo de família,Total,Com 2,Com 3,Com 4,Com 5,Com 6,Com 7,Com 8,Com 9,Com 10 ou mais,,,,
Tipo de núcleo,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,,,
  Portugal,3226371,1471439,995509,627327,107083,19159,4176,1171,335,172,9132533,,,
      Famílias com um núcleo,2984598,1324356,930465,603048,103038,18218,3906,1094,314,159,8517414,,,
        Casal de direito sem filhos,892560,892560,0,0,0,0,0,0,0,0,1785120,,,
          Casal de direito sem filhos sem outras pessoas,829835,829835,0,0,0,0,0,0,0,0,1659670,,,
          Casal de direito sem filhos com outras pessoas,62725,62725,0,0,0,0,0,0,0,0,125450,,,
        Casal de direito com pelo menos um filho com menos de 25 anos,1081980,0,498090,487811,80098,12455,2500,709,203,114,3946953,,,
          Casal de direito com pelo menos um filho com menos de 25 anos sem outras pessoas,1006818,0,463608,455270,73523,11297,2223,620,180,97,3670484,,,
          Casal de direito com pelo menos um filho com menos de 25 anos com outras pessoas,75162,0,34482,32541,6575,1158,277,89,23,17,276469,,,
        Casal de direito com filho(s) tendo o mais novo 25 ou mais anos,259233,0,217515,37946,3263,429,66,8,5,1,823800,,,
          Casal de direito com filho(s) tendo o mais novo 25 ou mais anos sem outras pessoas,237731,0,199728,34572,2976,385,58,7,4,1,755171,,,
          Casal de direito com filho(s) tendo o mais novo 25 ou mais anos com outras pessoas,21502,0,17787,3374,287,44,8,1,1,0,68629,,,
        Casal de facto sem filhos,144405,144405,0,0,0,0,0,0,0,0,288810,,,
          Casal de facto sem filhos sem outras pessoas,133922,133922,0,0,0,0,0,0,0,0,267844,,,
          Casal de facto sem filhos com outras pessoas,10483,10483,0,0,0,0,0,0,0,0,20966,,,
        Casal de facto com pelo menos um filho com menos de 25 anos,183186,0,105533,56085,15686,4343,1110,302,91,36,656811,,,
          Casal de facto com pelo menos um filho com menos de 25 anos sem outras pessoas,169489,0,97834,51965,14337,3948,1023,271,79,32,607113,,,
          Casal de facto com pelo menos um filho com menos de 25 anos com outras pessoas,13697,0,7699,4120,1349,395,87,31,12,4,49698,,,
        Casal de facto com filho(s) tendo o mais novo 25 ou mais anos,8915,0,7691,1099,106,15,2,2,0,0,28119,,,
          Casal de facto com filho(s) tendo o mais novo 25 ou mais anos sem outras pessoas,8024,0,6938,975,95,13,1,2,0,0,25290,,,
          Casal de facto com filho(s) tendo o mais novo 25 ou mais anos com outras pessoas,891,0,753,124,11,2,1,0,0,0,2829,,,
        Pai com pelo menos um filho com menos de 25 anos,30441,20099,8483,1514,271,52,14,5,2,1,73538,,,
          Pai com pelo menos um filho com menos de 25 anos sem outras pessoas,25985,16790,7563,1334,234,46,12,4,2,0,63185,,,
          Pai com pelo menos um filho com menos de 25 anos com outras pessoas,4456,3309,920,180,37,6,2,1,0,1,10353,,,
