"5.02 - NÚCLEOS FAMILIARES, SEGUNDO O NÚMERO DE FILHOS  E TOTAL DE FILHOS, POR TIPO DE NÚCLEO E IDADE DOS FILHOS ",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Zona Geográfica,Núcleos segundo o número de filhos ,,,,,,,,,,,Total de filhos ,,
Tipo de núcleo,Total,Com 0,Com 1,Com 2,Com 3,Com 4,Com 5,Com 6,Com 7,Com 8,Com 9 ou mais,,,
Idade dos filhos ou netos,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,,
  Portugal,3226371,1131639,1222547,717936,124961,22349,5000,1351,398,123,67,3160234,,
      Casal de direito sem filhos,973343,973343,0,0,0,0,0,0,0,0,0,0,,
      Casal de facto sem filhos,158296,158296,0,0,0,0,0,0,0,0,0,0,,
      Casal de direito com filhos,1408694,0,760076,545022,86255,13488,2741,767,221,78,46,2183772,,
        Todos com menos de 15 anos de idade,562260,0,313941,219723,25321,2737,419,92,23,4,0,843138,,
        Pelo menos um com menos de 15 anos e pelo menos um com 15 ou mais anos de idade,192790,0,0,141075,40765,8180,1902,581,175,67,45,452370,,
        Todos com 15 ou mais anos de idade,653644,0,446135,184224,20169,2571,420,94,23,7,1,888264,,
      Casal de facto com filhos,205595,0,122671,60152,16553,4586,1174,323,96,27,13,319798,,
        Todos com menos de 15 anos de idade,141564,0,94793,37147,7651,1618,297,48,9,1,0,200356,,
        Pelo menos um com menos de 15 anos e pelo menos um com 15 ou mais anos de idade,25660,0,0,14194,7525,2711,841,266,85,25,13,68527,,
        Todos com 15 ou mais anos de idade,38371,0,27878,8811,1377,257,36,9,2,1,0,50915,,
      Pai com filhos,64100,0,48879,12660,2082,372,77,22,5,2,1,82512,,
        Todos com menos de 15 anos de idade,15118,0,11882,2845,344,38,7,2,0,0,0,18803,,
        Pelo menos um com menos de 15 anos e pelo menos um com 15 ou mais anos de idade,3269,0,0,2309,735,170,37,12,3,2,1,7808,,
        Todos com 15 ou mais anos de idade,45713,0,36997,7506,1003,164,33,8,2,0,0,55901,,
      Mãe com filhos,416343,0,290921,100102,20071,3903,1008,239,76,16,7,574152,,
        Todos com menos de 15 anos de idade,128077,0,94176,28741,4460,569,112,16,3,0,0,167991,,
        Pelo menos um com menos de 15 anos e pelo menos um com 15 ou mais anos de idade,36328,0,0,24199,9006,2222,656,177,50,12,6,89150,,
        Todos com 15 ou mais anos de idade,251938,0,196745,47162,6605,1112,240,46,23,4,1,317011,,
