"5.07 - NÚCLEOS FAMILIARES RECONSTITUIDOS, SEGUNDO O ESCALÃO ETÁRIO DO FILHO MAIS NOVO, TOTAL DE FILHOS NOS NÚCLEOS,POR TIPO DE NÚCLEO E CONDIÇÃO PERANTE A ACTIVIDADE ECONÓMICA (SENTIDO RESTRITO) DOS MEMBROS DO NÚCLEO",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Zona Geográfica,Escalão etário dos filhos (mais novos),,,,,,,Filhos nos núcleos,,,,,,
Tipo de núcleo,Total ,De 0 a 4 anos,De 5 a 9 anos,De 10 a 14 anos,De 15 a 19 anos,De 20 a 24 anos,De 25 ou mais anos,,,,,,,
Condição perante a actividade económica,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,,,,,,
  Portugal,105763,26639,23358,20108,15176,9556,10926,196016,,,,,,
    Casal de direito,43162,9687,8787,7852,6117,4414,6305,81898,,,,,,
      Com um filho,15977,693,1639,2433,3009,2871,5332,15977,,,,,,
        Ambos empregados,7206,444,1039,1506,1626,1393,1198,7206,,,,,,
        Um empregado e outro desempregado ou inactivo,5176,202,494,729,1033,1052,1666,5176,,,,,,
        Ambos desempregados ou inactivos,3595,47,106,198,350,426,2468,3595,,,,,,
      Com dois filhos,18386,5232,4605,3881,2451,1328,889,36772,,,,,,
        Ambos empregados,10683,3254,2931,2371,1343,605,179,21366,,,,,,
        Um empregado e outro desempregado ou inactivo,5883,1653,1382,1217,849,499,283,11766,,,,,,
        Ambos desempregados ou inactivos,1820,325,292,293,259,224,427,3640,,,,,,
      Com três ou mais filhos,8799,3762,2543,1538,657,215,84,29149,,,,,,
        Ambos empregados,4441,1892,1367,792,306,70,14,14365,,,,,,
        Um empregado e outro desempregado ou inactivo,3354,1475,943,561,258,90,27,11314,,,,,,
        Ambos desempregados ou inactivos,1004,395,233,185,93,55,43,3470,,,,,,
    Casal de facto,62601,16952,14571,12256,9059,5142,4621,114118,,,,,,
      Com um filho,26972,2058,5242,5918,5775,3890,4089,26972,,,,,,
        Ambos empregados,15137,1169,3448,3779,3366,2067,1308,15137,,,,,,
        Um empregado e outro desempregado ou inactivo,8420,688,1463,1665,1820,1321,1463,8420,,,,,,
        Ambos desempregados ou inactivos,3415,201,331,474,589,502,1318,3415,,,,,,
      Com dois filhos,23973,8998,6113,4611,2685,1088,478,47946,,,,,,
        Ambos empregados,13428,5034,3544,2709,1473,558,110,26856,,,,,,
        Um empregado e outro desempregado ou inactivo,8066,3076,2020,1478,934,378,180,16132,,,,,,
        Ambos desempregados ou inactivos,2479,888,549,424,278,152,188,4958,,,,,,
      Com três ou mais filhos,11656,5896,3216,1727,599,164,54,39200,,,,,,
        Ambos empregados,5200,2483,1502,864,284,57,10,17049,,,,,,
        Um empregado e outro desempregado ou inactivo,4589,2405,1250,628,218,71,17,15612,,,,,,
        Ambos desempregados ou inactivos,1867,1008,464,235,97,36,27,6539,,,,,,
    Continente,100228,25148,22105,19020,14419,9067,10469,184983,,,,,,
      Casal de direito,40787,9067,8268,7418,5810,4177,6047,77024,,,,,,
        Com um filho,15229,648,1546,2294,2881,2723,5137,15229,,,,,,
          Ambos empregados,6854,416,982,1418,1556,1326,1156,6854,,,,,,
          Um empregado e outro desempregado ou inactivo,4927,188,468,687,993,990,1601,4927,,,,,,
          Ambos desempregados ou inactivos,3448,44,96,189,332,407,2380,3448,,,,,,
        Com dois filhos,17382,4913,4371,3690,2325,1253,830,34764,,,,,,
          Ambos empregados,10120,3050,2785,2264,1283,571,167,20240,,,,,,
          Um empregado e outro desempregado ou inactivo,5551,1559,1309,1151,801,468,263,11102,,,,,,
          Ambos desempregados ou inactivos,1711,304,277,275,241,214,400,3422,,,,,,
        Com três ou mais filhos,8176,3506,2351,1434,604,201,80,27031,,,,,,
          Ambos empregados,4176,1786,1275,745,290,66,14,13493,,,,,,
          Um empregado e outro desempregado ou inactivo,3095,1367,860,523,233,86,26,10414,,,,,,
          Ambos desempregados ou inactivos,905,353,216,166,81,49,40,3124,,,,,,
      Casal de facto,59441,16081,13837,11602,8609,4890,4422,107959,,,,,,
        Com um filho,25697,1964,4983,5601,5508,3715,3926,25697,,,,,,
          Ambos empregados,14470,1121,3289,3580,3223,1992,1265,14470,,,,,,
          Um empregado e outro desempregado ou inactivo,7971,654,1376,1570,1725,1243,1403,7971,,,,,,
          Ambos desempregados ou inactivos,3256,189,318,451,560,480,1258,3256,,,,,,
        Com dois filhos,22855,8594,5842,4395,2546,1029,449,45710,,,,,,
          Ambos empregados,12853,4829,3401,2582,1409,528,104,25706,,,,,,
          Um empregado e outro desempregado ou inactivo,7661,2922,1922,1411,880,359,167,15322,,,,,,
          Ambos desempregados ou inactivos,2341,843,519,402,257,142,178,4682,,,,,,
        Com três ou mais filhos,10889,5523,3012,1606,555,146,47,36552,,,,,,
