"5.08 - NÚCLEOS FAMILIARES RECONSTITUIDOS, SEGUNDO O NÚMERO DE FILHOS COMUNS E NÃO COMUNS, POR TIPO DE RELAÇÃO CONJUGAL",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Zona Geográfica,Tipo de núcleo familiar reconstituído com base no número de filhos comuns e não comuns,,,,,,,,,,,,,
Tipo de relação conjugal,C/ 1 filho não comum,,,C/ 2 filhos não comuns,,,C/ 3 filhos não comuns,,,C/ 4 ou + filhos não comuns,,,,
,Sem filhos comuns,C/ 1 filho comum,C/ 2 ou + filhos comuns,Sem filhos comuns,C/ 1 filho comum,C/ 2 ou + filhos comuns,Sem filhos comuns,C/ 1 filho comum,C/ 2 ou + filhos comuns,Sem filhos comuns,C/ 1 filho comum,C/ 2 ou + filhos comuns,,
1,2,3,4,5,6,7,8,9,10,11,12,13,,
  Portugal,42949,27398,7122,14961,5918,1298,3413,1041,245,1068,266,84,,
      Casal de direito,15977,13515,4082,4871,2351,550,985,327,89,295,87,33,,
      Casal de facto,26972,13883,3040,10090,3567,748,2428,714,156,773,179,51,,
    Continente,40926,26073,6671,14164,5553,1193,3160,963,220,987,245,73,,
        Casal de direito,15229,12765,3782,4617,2204,502,919,303,77,276,82,31,,
        Casal de facto,25697,13308,2889,9547,3349,691,2241,660,143,711,163,42,,
      Norte,10551,6563,1628,3754,1294,238,835,212,39,227,45,9,,
          Casal de direito,4321,3580,1012,1333,514,95,252,68,11,70,17,2,,
          Casal de facto,6230,2983,616,2421,780,143,583,144,28,157,28,7,,
      Centro,8297,5295,1194,2783,1117,175,649,198,46,184,57,11,,
          Casal de direito,3022,2699,722,896,465,81,168,59,17,45,21,4,,
          Casal de facto,5275,2596,472,1887,652,94,481,139,29,139,36,7,,
      Lisboa,16082,10206,2891,5586,2238,603,1216,411,117,451,104,45,,
          Casal de direito,5885,4652,1549,1784,910,265,380,141,42,123,32,24,,
          Casal de facto,10197,5554,1342,3802,1328,338,836,270,75,328,72,21,,
      Alentejo,3307,2288,555,1175,539,95,280,83,7,81,25,6,,
          Casal de direito,1103,1063,275,330,187,34,67,21,2,25,6,0,,
          Casal de facto,2204,1225,280,845,352,61,213,62,5,56,19,6,,
      Algarve,2689,1721,403,866,365,82,180,59,11,44,14,2,,
          Casal de direito,898,771,224,274,128,27,52,14,5,13,6,1,,
          Casal de facto,1791,950,179,592,237,55,128,45,6,31,8,1,,
    Região Autónoma dos Açores,981,658,245,436,203,59,157,50,16,57,14,5,,
        Casal de direito,378,384,160,143,85,32,39,17,7,14,4,2,,
        Casal de facto,603,274,85,293,118,27,118,33,9,43,10,3,,
      Região Autónoma dos Açores,981,658,245,436,203,59,157,50,16,57,14,5,,
          Casal de direito,378,384,160,143,85,32,39,17,7,14,4,2,,
          Casal de facto,603,274,85,293,118,27,118,33,9,43,10,3,,
    Região Autónoma da Madeira,1042,667,206,361,162,46,96,28,9,24,7,6,,
        Casal de direito,370,366,140,111,62,16,27,7,5,5,1,0,,
        Casal de facto,672,301,66,250,100,30,69,21,4,19,6,6,,
      Região Autónoma da Madeira,1042,667,206,361,162,46,96,28,9,24,7,6,,
          Casal de direito,370,366,140,111,62,16,27,7,5,5,1,0,,
          Casal de facto,672,301,66,250,100,30,69,21,4,19,6,6,,
