"5.09 - PESSOAS RESIDENTES SEGUNDO O GRUPO ETÁRIO, POR ESTATUTO DA PESSOA NO NÚCLEO FAMILIAR ",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Zona Geográfica,Total,Menos de 15 anos,De 15 a 19 anos,De 20 a 24 anos,De 25 a 29 anos,De 30 a 34 anos,De 35 a 39 anos,De 40 a 44 anos,De 45 a 49 anos,De 50 a 54 anos,De 55 a 59 anos,De 60 a 64 anos,De 65 a 69 anos,De 70 a 74 anos,De 75 ou mais anos
Estatuto da pessoa no núcleo familiar,,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
  Portugal,9132533,1540421,537694,532778,581593,690698,749317,708142,701232,645194,589882,536588,444520,366962,507512
      Parceiros,5491856,0,9842,90218,288555,515805,611986,589785,594135,564241,534602,498723,416480,340416,437068
        Parceiros casados,4764074,0,1997,33854,163877,374376,497987,509248,530450,516542,500561,475894,402016,330885,426387
        Parceiros numa união de facto,727782,0,7845,56364,124678,141429,113999,80537,63685,47699,34041,22829,14464,9531,10681
      Pessoas em núcleos monoparentais,480443,10,2041,10065,20195,35592,53154,59422,61950,51194,38156,28625,24396,25469,70174
        Pai em núcleo monoparental,64100,0,37,377,1370,2887,5077,6632,8339,7877,6582,5086,3899,4070,11867
        Mãe em núcleo monoparental,416343,10,2004,9688,18825,32705,48077,52790,53611,43317,31574,23539,20497,21399,58307
      Filhos,3160234,1540411,525811,432495,272843,139301,84177,58935,45147,29759,17124,9240,3644,1077,270
        Não de um núcleo monoparental,2503570,1305394,424250,347743,214166,100204,51723,29665,17807,8461,3102,875,157,20,3
        De um núcleo monoparental,656664,235017,101561,84752,58677,39097,32454,29270,27340,21298,14022,8365,3487,1057,267
    Continente,8681675,1454094,505583,500559,548238,653170,711165,672268,665466,614522,564870,516531,429048,354952,491209
        Parceiros,5246790,0,9019,83608,271389,488099,581340,560345,564085,537749,512426,480809,402760,330193,424968
          Parceiros casados,4548008,0,1670,30276,151931,352110,471691,483019,503091,491916,479525,458655,388725,320901,414498
          Parceiros numa união de facto,698782,0,7349,53332,119458,135989,109649,77326,60994,45833,32901,22154,14035,9292,10470
        Pessoas em núcleos monoparentais,454505,10,1867,9329,19005,33761,50711,56695,58981,48639,36125,26888,22789,23720,65985
          Pai em núcleo monoparental,60843,0,35,353,1290,2717,4818,6331,7936,7492,6277,4828,3680,3841,11245
          Mãe em núcleo monoparental,393662,10,1832,8976,17715,31044,45893,50364,51045,41147,29848,22060,19109,19879,54740
        Filhos,2980380,1454084,494697,407622,257844,131310,79114,55228,42400,28134,16319,8834,3499,1039,256
          Não de um núcleo monoparental,2362047,1231265,398729,327808,202826,94921,49051,28278,16981,8154,3002,854,156,19,3
          De um núcleo monoparental,618333,222819,95968,79814,55018,36389,30063,26950,25419,19980,13317,7980,3343,1020,253
      Norte,3276886,546922,203246,200908,214691,247304,272223,264394,265726,239804,213808,184833,145638,118032,159357
          Parceiros,1954548,0,3104,31188,102317,183384,223812,222983,228915,212664,195515,172493,136145,108457,133571
            Parceiros casados,1782286,0,708,14962,70889,151101,198448,204680,214171,201670,187577,167225,132985,106420,131450
            Parceiros numa união de facto,172262,0,2396,16226,31428,32283,25364,18303,14744,10994,7938,5268,3160,2037,2121
          Pessoas em núcleos monoparentais,155832,3,613,3042,6136,10701,16064,18512,19553,16218,12320,9328,8324,9286,25732
            Pai em núcleo monoparental,19396,0,5,89,337,689,1224,1755,2242,2211,1949,1575,1292,1429,4599
            Mãe em núcleo monoparental,136436,3,608,2953,5799,10012,14840,16757,17311,14007,10371,7753,7032,7857,21133
          Filhos,1166506,546919,199529,166678,106238,53219,32347,22899,17258,10922,5973,3012,1169,289,54
            Não de um núcleo monoparental,952792,476698,167651,139232,86319,39613,20276,11541,6857,3160,1090,291,57,6,1
            De um núcleo monoparental,213714,70221,31878,27446,19919,13606,12071,11358,10401,7762,4883,2721,1112,283,53
      Centro,2010753,313274,112948,112370,121688,144132,155046,151813,154051,145174,134330,124828,109845,95597,135657
          Parceiros,1259646,0,2037,17846,58160,107060,127971,128264,132658,129226,123678,117459,104301,90253,120733
            Parceiros casados,1123822,0,369,6190,33963,81040,108206,113851,121040,120561,117497,113124,101305,88248,118428
            Parceiros numa união de facto,135824,0,1668,11656,24197,26020,19765,14413,11618,8665,6181,4335,2996,2005,2305
