"6.02 - POPULAÇÃO RESIDENTE SEGUNDO A DIMENSÃO DOS LUGARES, POPULAÇÃO ISOLADA, EMBARCADA CORPO DIPLOMÁTICO E SEXO POR GRUPO ETÁRIO",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,Em lugares até 1999 habitantes,,Em lugares de 2000 a 4999 habitantes,,Em lugares de 5000 a 9999 habitantes,,Em lugares de 10000 a 19999 habitantes,,Em lugares de 20000 a 49999 habitantes,,Em lugares de 50000 a 99999 habitantes,,Em lugares de 100000 a 199999 habitantes,,Em lugares de 200000 a 499999 habitantes,,Em lugares de 500000 a 999999 habitantes,,Em lugares com 1000000 habitantes ou mais,,"População isolada, embarcada e corpo diplomático",
Zona Geográfica,,,,,,,,,,,,,,,,,,,,,,,,
Grupo Etário,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
  Portugal,10562178,5046600,3945623,1908061,983197,473773,947768,454631,1252729,597036,1227208,578979,526461,248320,715906,336251,237591,108104,547011,250501,0,0,178684,90944
      0 - 4 anos,482647,246396,159314,81357,48902,25043,49798,25584,64506,32815,60493,30798,26860,13595,33370,17101,8463,4256,23627,12151,0,0,7314,3696
      5 - 9 anos,525087,268965,186931,95730,53154,27173,52195,26901,66862,34321,62474,31936,27549,14224,34827,17763,9267,4768,23320,11816,0,0,8508,4333
      10 - 14 anos,564595,288638,210409,107484,55655,28594,53875,27703,69138,35176,65135,33453,29199,14795,37704,19143,10649,5442,23408,11957,0,0,9423,4891
      15 - 19 anos,565250,288525,213390,109260,53903,27722,52333,26692,67302,34002,65107,33068,28602,14533,38729,19729,11895,6089,24417,12393,0,0,9572,5037
      20 - 24 anos,582065,293023,214077,108885,54875,27642,53224,26888,69311,34680,68059,33856,29392,14411,41379,20405,13122,6537,29019,14549,0,0,9607,5170
      25 - 29 anos,656076,324848,220819,111635,62691,31053,62150,30335,82244,39902,82763,40332,34084,16433,49102,23900,15173,7656,37407,18488,0,0,9643,5114
      30 - 34 anos,773567,378734,254156,125821,75983,36969,76312,37198,101527,49372,100416,48581,41821,20123,56057,27216,15149,7474,40923,20175,0,0,11223,5805
      35 - 39 anos,824683,402307,282802,139839,80808,39350,80236,39042,106413,51502,103302,49337,45016,21651,57469,27569,15610,7541,40367,19835,0,0,12660,6641
      40 - 44 anos,773098,374962,281261,139968,74753,36151,71421,34509,95523,45716,93570,43897,40043,18909,53439,25242,14907,6986,35114,16816,0,0,13067,6768
      45 - 49 anos,770294,370989,290152,144156,71964,34681,68509,32644,90928,43016,91368,42161,37272,17531,54166,25196,16947,7737,35325,16767,0,0,13663,7100
      50 - 54 anos,722360,346248,273378,135556,66639,32313,63077,30049,84774,39672,85186,39335,34514,15932,50753,23378,17048,7672,33916,15472,0,0,13075,6869
      55 - 59 anos,677651,322095,255522,124832,61399,29661,58067,27308,79525,37139,79338,36781,32875,14972,46944,21602,17394,7746,34403,15617,0,0,12184,6437
      60 - 64 anos,634741,298546,241474,115693,55261,26520,53506,25323,74263,34923,71861,33303,32276,14800,43602,19984,16884,7334,34810,15245,0,0,10804,5421
      65 - 69 anos,551701,253004,222670,102172,46685,21812,45169,21055,61102,28497,58591,26939,27048,12418,35065,15965,14248,6118,31486,13382,0,0,9637,4646
      70 - 74 anos,496438,220461,213389,95923,41373,18728,38383,17145,50082,22350,48898,21556,22057,9832,29597,12733,12957,5265,30165,12235,0,0,9537,4694
      75 - 79 anos,429706,180131,189941,81670,34981,14712,31813,13242,40540,17173,40395,16658,18131,7345,24801,9888,11606,4393,28941,10983,0,0,8557,4067
      80 - 84 anos,297888,113325,132518,52761,24190,9255,21174,7894,27189,10081,28109,10196,11508,4216,16676,5887,8836,2995,21896,7424,0,0,5792,2616
      85 - 89 anos,164356,55635,72835,26003,13823,4681,11553,3800,14927,4903,15532,4994,5904,1988,8750,2681,5178,1545,12777,3831,0,0,3077,1209
      90 ou mais anos,69975,19768,30585,9316,6158,1713,4973,1319,6573,1796,6611,1798,2310,612,3476,869,2258,550,5690,1365,0,0,1341,430
      Menos de 1 ano,96761,49046,31150,15878,9647,5025,10068,5153,13019,6401,12289,6230,5545,2781,6879,3474,1803,881,4975,2534,0,0,1386,689
      18 ou mais anos,8657240,4072122,3262893,1558705,793470,376455,760856,358535,1012699,474700,1000872,463305,426036,197138,587393,270560,202388,90117,462845,207550,0,0,147788,75057
    Continente,10047621,4798798,3707220,1792712,913619,439392,905109,433570,1225997,584056,1206732,569500,526461,248320,604365,284352,237591,108104,547011,250501,0,0,173516,88291
        0 - 4 anos,456396,232951,147444,75286,44757,22927,47071,24196,63033,32022,59511,30296,26860,13595,28648,14709,8463,4256,23627,12151,0,0,6982,3513
        5 - 9 anos,495578,253866,173310,88739,48587,24817,49426,25520,65084,33388,61537,31487,27549,14224,29327,14960,9267,4768,23320,11816,0,0,8171,4147
        10 - 14 anos,532146,272024,195348,99800,50748,26088,50863,26147,67225,34189,64039,32902,29199,14795,31590,15991,10649,5442,23408,11957,0,0,9077,4713
        15 - 19 anos,531657,271397,197846,101295,49025,25201,49102,25030,65327,33040,63873,32440,28602,14533,32279,16476,11895,6089,24417,12393,0,0,9291,4900
        20 - 24 anos,547836,275607,198527,100985,49953,25123,49903,25195,67459,33745,66675,33141,29392,14411,34575,16973,13122,6537,29019,14549,0,0,9211,4948
        25 - 29 anos,619797,306674,204736,103631,57318,28376,58652,28542,80307,38908,81084,39496,34084,16433,41780,20230,15173,7656,37407,18488,0,0,9256,4914
        30 - 34 anos,732356,358115,235525,116455,69742,33855,72621,35311,99362,48268,98543,47673,41821,20123,47942,23226,15149,7474,40923,20175,0,0,10728,5555
        35 - 39 anos,783074,381550,263718,130153,74657,36288,76912,37368,104168,50361,101551,48493,45016,21651,48882,23453,15610,7541,40367,19835,0,0,12193,6407
