"6.03 - POPULAÇÃO RESIDENTE, SEGUNDO O GRUPO ETÁRIO, POR NÍVEL DE ESCOLARIDADE E SEXO",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zona Geográfica,Total,Menos de 10 anos,Com 10 anos,Com 11 anos,Com 12 anos,Com 13 anos,Com 14 anos,Com 15 anos,Com 16 anos,Com 17 anos,Com 18 anos,Com 19 anos,Com 20 anos,Com 21 anos,Com 22 anos,Com 23 anos,Com 24 anos,De 25 a 29 anos,De 30 a 34 anos,De 35 a 39 anos,De 40 a 44 anos,De 45 a 49 anos,De 50 a 54 anos,De 55 a 59 anos,De 60 a 64 anos,De 65 a 69 anos,De 70 a 74 anos,De 75 ou mais anos
Nível de escolaridade e sexo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
    Portugal                                                      HM,10562178,1007734,116057,115378,111425,110868,110867,109927,109576,113106,115571,117070,116632,115758,116039,115768,117868,656076,773567,824683,773098,770294,722360,677651,634741,551701,496438,961925
                                                                H,5046600,515361,59590,58846,56838,56523,56841,56575,56218,57686,58510,59536,58956,58527,58377,58252,58911,324848,378734,402307,374962,370989,346248,322095,298546,253004,220461,368859
        Nenhum nível de escolaridade                           HM,895140,352811,45,61,60,72,220,297,307,357,472,592,657,843,926,1016,1060,7274,10387,12743,14408,15877,17603,20830,23429,36387,92345,284061
                                                                H,358413,180111,27,31,25,42,111,148,162,184,247,317,336,425,442,531,509,3589,5284,6621,7610,8090,8490,9396,9585,12069,28151,75880
        Ensino pré-escolar                                     HM,261805,261805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                                                                H,134526,134526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Ensino básico                                          HM,5912398,393118,116012,115317,111365,110273,109425,62885,35366,25422,23440,24771,26746,28573,30114,30689,32530,190905,261956,365601,427343,478087,485483,503814,503186,446226,359756,613995
                                                                H,2939160,200724,59563,58815,56813,56202,56109,34898,21078,15555,14637,15320,16606,17578,18492,18724,19646,113821,147995,196705,220198,239779,235714,237473,233747,203884,168204,260880
