"6.04 - POPULAÇÃO RESIDENTE, SEGUNDO O GRUPO ETÁRIO, POR NIVEL DE ESCOLARIDADE COMPLETO E SEXO",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zona Geográfica,Total,Menos de 15 anos,De 15 a 19 anos,De 20 a 24 anos,De 25 a 29 anos,De 30 a 34 anos,De 35 a 39 anos,De 40 a 44 anos,De 45 a 49 anos,De 50 a 54 anos,De 55 a 59 anos,De 60 a 64 anos,De 65 a 69 anos,De 70 a 74 anos,De 75 ou mais anos,,,,,,,,,,,,,
Nível de escolaridade e sexo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,
  Portugal                                                              HM,10562178,1572329,565250,582065,656076,773567,824683,773098,770294,722360,677651,634741,551701,496438,961925,,,,,,,,,,,,,
                                                                         H,5046600,803999,288525,293023,324848,378734,402307,374962,370989,346248,322095,298546,253004,220461,368859,,,,,,,,,,,,,
      Sem nível de escolaridade completo                            HM,1999754,1065625,5243,8406,12230,18451,25317,30297,34795,40552,48616,60063,89142,150028,410989,,,,,,,,,,,,,
                                                                     H,867850,546825,2860,4405,6403,9816,13717,16405,18229,19873,21603,21081,25362,45601,115670,,,,,,,,,,,,,
      Com nível de escolaridade completo                            HM,8562424,506704,560007,573659,643846,755116,799366,742801,735499,681808,629035,574678,462559,346410,550936,,,,,,,,,,,,,
                                                                     H,4178750,257174,285665,288618,318445,368918,388590,358557,352760,326375,300492,277465,227642,174860,253189,,,,,,,,,,,,,
      Ensino básico                                                 HM,5817858,506704,473699,219751,252482,325722,408967,462690,507322,494313,492118,477342,399538,305402,491808,,,,,,,,,,,,,
                                                                     H,2961910,257174,248065,130590,149260,185476,221401,239186,255612,241512,234228,228558,194378,152918,223552,,,,,,,,,,,,,
          1.º ciclo                                                 HM,2688308,244102,12966,13122,17904,35575,72858,123690,198193,252835,345402,362642,324729,258163,426127,,,,,,,,,,,,,
                                                                     H,1293408,127139,8151,8058,10619,19691,38073,62317,97732,121114,161298,168935,153169,125911,191201,,,,,,,,,,,,,
          2.º ciclo                                                 HM,1412580,260218,125554,49490,64650,110892,165480,178270,154871,116340,60647,45916,31702,20462,28088,,,,,,,,,,,,,
                                                                     H,769232,128824,72600,31520,40292,64893,93454,97995,82443,59454,30808,24432,17319,11527,13671,,,,,,,,,,,,,
          3.º ciclo                                                 HM,1716970,2384,335179,157139,169928,179255,170629,160730,154258,125138,86069,68784,43107,26777,37593,,,,,,,,,,,,,
                                                                     H,899270,1211,167314,91012,98349,100892,89874,78874,75437,60944,42122,35191,23890,15480,18680,,,,,,,,,,,,,
      Ensino secundário                                             HM,1411801,0,83018,257405,177931,188336,176757,141106,119338,98430,59054,41240,25721,16840,26625,,,,,,,,,,,,,
                                                                     H,678270,0,35993,122082,87727,90019,83079,64536,54544,47693,31193,22753,15365,9967,13319,,,,,,,,,,,,,
      Ensino pós-secundário                                         HM,88023,0,3290,19981,22232,19669,15861,3691,1140,776,495,364,197,124,203,,,,,,,,,,,,,
                                                                     H,48165,0,1607,10731,12557,10673,8547,2046,683,475,310,230,115,78,113,,,,,,,,,,,,,
      Ensino superior                                               HM,1244742,0,0,76522,191201,221389,197781,135314,107699,88289,77368,55732,37103,24044,32300,,,,,,,,,,,,,
                                                                     H,490405,0,0,25215,68901,82750,75563,52789,41921,36695,34761,25924,17784,11897,16205,,,,,,,,,,,,,
          Bacharelato                                               HM,168468,0,0,0,8395,16806,23197,18720,15127,15060,18326,16721,13874,9685,12557,,,,,,,,,,,,,
                                                                     H,68193,0,0,0,3721,7728,10130,7691,6258,6253,7391,6331,5028,3395,4267,,,,,,,,,,,,,
              Formação de professores e ciências da educação        HM,36948,0,0,0,505,927,1454,1751,2124,3172,5595,5174,5676,4567,6003,,,,,,,,,,,,,
