"6.05 - POPULAÇÃO RESIDENTE, SEGUNDO O GRUPO ETÁRIO, POR NACIONALIDADE E SEXO",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zona Geográfica,Total,De 0 a 4 anos,De 5 a 9 anos,De 10 a 14 anos,De 15 a 19 anos,De 20 a 24 anos,De 25 a 29 anos,De 30 a 34 anos,De 35 a 39 anos,De 40 a 44 anos,De 45 a 49 anos,De 50 a 54 anos,De 55 a 59 anos,De 60 a 64 anos,De 65 a 69 anos,De 70 a 74 anos,De 75 a 79 anos,De 80 a 84 anos,De 85 ou mais anos,,,,,,,,,
Nacionalidade e sexo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,,,,,,,,,
  Portugal  HM,10562178,482647,525087,564595,565250,582065,656076,773567,824683,773098,770294,722360,677651,634741,551701,496438,429706,297888,234331,,,,,,,,,
             H,5046600,246396,268965,288638,288525,293023,324848,378734,402307,374962,370989,346248,322095,298546,253004,220461,180131,113325,75403,,,,,,,,,
      Portugal  HM,9956911,456949,498162,529047,522311,532115,596615,701088,751251,713316,724208,688759,653441,617298,538134,486184,422735,293859,231439,,,,,,,,,
                H,4758028,233249,255241,270652,266814,269015,298024,346016,368098,346536,348790,330058,310547,290215,246303,215473,176900,111647,74450,,,,,,,,,
      Estrangeira  HM,359969,10962,13116,20468,25886,32686,39745,46652,44404,36591,28419,20587,14044,9217,6568,4581,2916,1692,1435,,,,,,,,,
                   H,171686,5587,6669,10288,13117,15696,17798,21190,20826,17538,13667,10005,6877,4481,3277,2232,1324,656,458,,,,,,,,,
      Europa  HM,131019,4777,5143,6873,7178,8305,10397,15285,16187,13500,11101,9174,6671,5688,4467,2884,1698,944,747,,,,,,,,,
              H,64803,2426,2609,3433,3575,3881,4443,7091,7921,6862,5688,4779,3479,2978,2434,1591,889,450,274,,,,,,,,,
      União Europeia 27 (S/PT)  HM,82289,2921,3224,3807,3744,5214,6685,8694,9076,7844,6144,5230,4661,4911,4178,2715,1633,894,714,,,,,,,,,
                                H,40660,1463,1648,1916,1881,2385,2963,4027,4349,3929,3047,2655,2428,2608,2296,1523,859,422,261,,,,,,,,,
