"6.06 - POPULAÇÃO RESIDENTE, SEGUNDO O GRUPO ETÁRIO, POR NATURALIDADE E SEXO",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zona Geográfica,Total,De 0 a 4 anos,De 5 a 9 anos,De 10 a 14 anos,De 15 a 19 anos,De 20 a 24 anos,De 25 a 29 anos,De 30 a 34 anos,De 35 a 39 anos,De 40 a 44 anos,De 45 a 49 anos,De 50 a 54 anos,De 55 a 59 anos,De 60 a 64 anos,De 65 a 69 anos,De 70 a 74 anos,De 75 a 79 anos,De 80 a 84 anos,De 85 ou mais anos,,,,,,,,,
Naturalidade e sexo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,,,,,,,,,
  Portugal  HM,10562178,482647,525087,564595,565250,582065,656076,773567,824683,773098,770294,722360,677651,634741,551701,496438,429706,297888,234331,,,,,,,,,
             H,5046600,246396,268965,288638,288525,293023,324848,378734,402307,374962,370989,346248,322095,298546,253004,220461,180131,113325,75403,,,,,,,,,
      Portugal  HM,9690365,472134,506544,528389,515377,523047,583001,673378,680376,662147,690011,661918,634293,607293,532900,481939,418525,290441,228652,,,,,,,,,
                H,4638131,241005,259478,270206,263266,264620,291775,333044,334071,322170,332575,317806,302316,286344,244659,214371,175765,110798,73862,,,,,,,,,
      Estrangeira  HM,871813,10513,18543,36206,49873,59018,73075,100189,144307,110951,80283,60442,43358,27448,18801,14499,11181,7447,5679,,,,,,,,,
                   H,408469,5391,9487,18432,25259,28403,33073,45690,68236,52792,38414,28442,19779,12202,8345,6090,4366,2527,1541,,,,,,,,,
      Europa  HM,281416,5959,8964,16955,21446,21038,25623,42261,53509,30037,14961,10900,7821,6778,5507,4006,2803,1666,1182,,,,,,,,,
              H,135110,3061,4600,8684,10788,10031,11388,19421,25342,14517,7542,5590,3916,3283,2758,1946,1257,627,359,,,,,,,,,
      União Europeia 27 (S/PT)  HM,208384,4688,6477,10030,12052,14004,19959,33520,44074,22818,8823,6186,5472,5848,5167,3814,2716,1610,1126,,,,,,,,,
                                H,98550,2417,3364,5202,6081,6577,9053,15230,20509,10688,4254,3037,2665,2835,2607,1869,1221,597,344,,,,,,,,,
      França  HM,94484,898,1421,3340,5350,6484,10123,18428,28541,13082,2304,794,654,798,628,509,569,384,177,,,,,,,,,
              H,43394,484,760,1734,2695,3043,4635,8257,13008,5899,1011,327,237,326,294,231,258,141,54,,,,,,,,,
      Países Baixos (Holanda)  HM,4122,106,174,187,169,158,202,279,369,386,342,326,344,396,313,202,99,43,27,,,,,,,,,
                               H,2098,55,86,105,83,74,86,127,177,190,182,161,171,207,178,112,57,33,14,,,,,,,,,
      Alemanha  HM,28000,307,952,1732,1627,1267,2257,5156,6598,2518,1106,872,804,734,828,697,299,131,115,,,,,,,,,
                H,13567,171,504,887,826,617,1031,2360,3169,1219,541,418,413,357,434,362,156,61,41,,,,,,,,,
      Itália  HM,2837,80,114,113,123,161,199,268,324,279,277,200,148,147,150,97,70,42,45,,,,,,,,,
              H,1644,43,62,58,69,81,84,135,189,175,178,145,104,87,101,68,32,17,16,,,,,,,,,
      Reino Unido  HM,19131,969,1232,1235,950,525,565,880,1100,1207,1257,1322,1589,2309,1896,1048,578,278,191,,,,,,,,,
                   H,9543,474,623,628,489,242,253,407,482,566,595,620,780,1184,1038,600,339,144,79,,,,,,,,,
      Irlanda  HM,1626,74,93,72,69,56,50,85,110,122,130,132,144,173,139,104,45,20,8,,,,,,,,,
               H,796,41,39,39,36,28,22,37,51,67,60,57,75,83,68,59,20,13,1,,,,,,,,,
      Dinamarca  HM,411,8,12,15,19,15,15,20,41,37,46,32,24,31,44,22,18,8,4,,,,,,,,,
                 H,209,4,6,9,7,7,4,10,23,22,25,18,13,16,20,12,9,2,2,,,,,,,,,
      Grécia  HM,195,9,5,7,6,10,28,18,28,13,15,18,12,7,1,3,7,7,1,,,,,,,,,
              H,102,6,3,4,2,5,14,10,16,5,11,12,7,2,0,0,2,3,0,,,,,,,,,
      Espanha  HM,16489,1264,795,712,801,762,1013,1841,1600,1179,916,746,697,654,729,829,881,600,470,,,,,,,,,
               H,7049,638,411,397,391,360,408,741,688,561,436,354,316,286,256,277,282,144,103,,,,,,,,,
      Bélgica  HM,3560,116,176,325,386,288,237,280,334,333,194,166,165,172,140,105,62,48,33,,,,,,,,,
               H,1722,63,94,150,199,135,108,129,162,158,93,79,86,79,82,54,22,18,11,,,,,,,,,
