"6.07 - POPULAÇÃO PORTUGUESA RESIDENTE, NASCIDA NO ESTRANGEIRO, SEGUNDO O GRUPO ETÁRIO, POR PAISES DE NATURALIDADE E SEXO",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zona Geográfica,Total,De 0 a 4 anos,De 5 a 9 anos,De 10 a 14 anos,De 15 a 19 anos,De 20 a 24 anos,De 25 a 29 anos,De 30 a 34 anos,De 35 a 39 anos,De 40 a 44 anos,De 45 a 49 anos,De 50 a 54 anos,De 55 a 59 anos,De 60 a 64 anos,De 65 a 69 anos,De 70 a 74 anos,De 75 a 79 anos,De 80 a 84 anos,De 85 ou mais anos,,,,,,,,,
País de naturalidade e sexo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,,,,,,,,,
  Portugal  HM,505350,5470,8149,15632,23499,25478,31705,50460,96773,72076,50268,38815,28746,17987,12151,9848,8253,5772,4268,,,,,,,,,
             H,234571,2829,4201,8067,11915,12347,14610,23177,46004,34190,24013,17943,12682,7658,5060,3853,3043,1881,1098,,,,,,,,,
      Europa  HM,149625,3497,5096,9850,13913,12301,14588,25945,36202,15970,3612,1614,1148,1137,1131,1181,1180,784,476,,,,,,,,,
              H,70264,1797,2622,5122,7057,5946,6651,11872,16987,7406,1741,766,457,371,379,391,406,200,93,,,,,,,,,
      União Europeia 27 (S/PT)  HM,125443,2744,3626,6132,8102,8513,12879,24256,34305,14696,2673,1019,880,1009,1067,1154,1155,775,458,,,,,,,,,
                                H,57858,1418,1884,3212,4113,4056,5911,10980,15925,6678,1219,427,305,310,350,382,400,197,91,,,,,,,,,
      França  HM,82889,630,1002,2646,4589,5865,9242,16945,26069,11668,1716,376,272,362,347,337,424,281,118,,,,,,,,,
              H,38087,342,530,1385,2323,2761,4227,7616,11965,5234,734,160,86,121,137,149,184,99,34,,,,,,,,,
      Países Baixos (Holanda)  HM,1057,72,104,82,68,87,99,157,167,99,26,18,21,19,16,9,9,1,3,,,,,,,,,
                               H,480,41,48,46,39,41,43,64,65,52,13,10,5,5,2,1,3,1,1,,,,,,,,,
      Alemanha  HM,19392,202,702,1296,1201,916,1835,4580,5890,1772,239,98,102,121,157,147,75,30,29,,,,,,,,,
                H,9311,112,377,672,623,452,840,2130,2851,849,131,40,35,41,69,45,29,9,6,,,,,,,,,
      Itália  HM,590,20,43,68,70,61,32,42,31,26,38,29,26,27,18,14,21,11,13,,,,,,,,,
              H,264,7,25,33,38,31,16,24,16,13,18,12,9,7,4,6,4,0,1,,,,,,,,,
      Reino Unido  HM,4962,709,837,752,581,271,271,415,391,227,132,81,56,76,52,52,34,18,7,,,,,,,,,
                   H,2385,342,421,395,304,124,135,204,179,105,76,22,24,19,10,10,10,4,1,,,,,,,,,
      Irlanda  HM,349,49,50,27,33,30,24,35,32,22,8,7,9,7,5,4,5,2,0,,,,,,,,,
               H,161,28,20,17,15,15,13,15,15,10,3,2,2,2,2,0,1,1,0,,,,,,,,,
      Dinamarca  HM,87,4,5,11,15,7,4,5,9,6,1,2,1,2,8,4,1,2,0,,,,,,,,,
                 H,35,1,3,6,6,3,3,2,5,3,1,0,0,0,1,0,0,1,0,,,,,,,,,
      Grécia  HM,52,5,4,2,4,3,0,5,5,2,3,2,5,3,0,3,2,3,1,,,,,,,,,
              H,16,3,3,1,1,2,0,2,0,1,1,0,1,0,0,0,0,1,0,,,,,,,,,
      Espanha  HM,8296,778,436,463,540,453,484,903,626,385,294,253,270,301,382,521,548,393,266,,,,,,,,,
               H,3458,394,231,262,269,232,212,413,298,185,139,109,101,92,95,151,158,72,45,,,,,,,,,
      Bélgica  HM,1938,75,121,251,298,221,159,186,232,181,46,33,24,24,25,18,17,18,9,,,,,,,,,
               H,913,44,64,122,157,104,78,82,109,88,16,15,8,3,12,5,1,3,2,,,,,,,,,
      Luxemburgo  HM,3691,122,243,437,580,429,521,661,539,83,20,7,17,10,11,7,1,3,0,,,,,,,,,
                  H,1794,61,117,222,280,215,255,305,265,37,11,4,6,2,7,5,0,2,0,,,,,,,,,
      Suécia  HM,327,6,11,20,39,58,46,30,45,34,10,2,8,3,11,2,1,1,0,,,,,,,,,
              H,137,6,5,10,17,27,18,13,20,14,3,0,2,0,1,1,0,0,0,,,,,,,,,
      Finlândia  HM,63,4,1,6,2,1,6,9,5,1,4,3,2,6,7,3,3,0,0,,,,,,,,,
                 H,29,3,0,4,2,1,2,5,2,0,2,3,1,0,2,1,1,0,0,,,,,,,,,
