"6.08 - POPULAÇÃO QUE JÁ RESIDIU NO ESTRANGEIRO, POR ANO DE CHEGADA A PORTUGAL SEGUNDO O PAÍS DE PROVENIENCIA E SEXO",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zona Geográfica,População alguma vez residente no estrangeiro (> 1 ano),Antes de 1931,De 1931 a 1940,De 1941 a 1950,De 1951 a 1960,De 1961 a 1970,De 1971 a 1980,De 1981 a 1990,De 1991 a 2000,De 2001 a 2005,De 2006 a 2011,,,,,,,,,,,,,,,,,
País de proveniencia e sexo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,,,,,,,,,,,,,,,,,
  Portugal  HM,1839269,623,1402,2574,12595,63557,485074,311738,391646,245390,324670,,,,,,,,,,,,,,,,,
             H,935335,147,439,1043,5915,36496,241228,155398,203355,121893,169421,,,,,,,,,,,,,,,,,
      Europa  HM,918027,106,623,1001,3228,21578,144986,187390,241489,137490,180136,,,,,,,,,,,,,,,,,
              H,486248,32,209,451,1637,13651,78541,92290,128211,71269,99957,,,,,,,,,,,,,,,,,
      União Europeia 27 (S/PT)  HM,743241,104,612,963,3026,21030,141466,172926,169250,89789,144075,,,,,,,,,,,,,,,,,
                                H,393012,32,205,433,1515,13363,76547,83934,88090,47568,81325,,,,,,,,,,,,,,,,,
      França  HM,403482,45,283,357,1342,14538,95346,115239,97443,33621,45268,,,,,,,,,,,,,,,,,
              H,209395,17,102,198,783,9838,51263,55686,48923,17428,25157,,,,,,,,,,,,,,,,,
      Países Baixos (Holanda)  HM,14673,1,1,6,42,234,1334,2091,2842,2848,5274,,,,,,,,,,,,,,,,,
                               H,8318,0,0,4,24,128,735,1109,1523,1675,3120,,,,,,,,,,,,,,,,,
      Alemanha  HM,121772,2,31,92,344,2915,31119,33768,25839,13617,14045,,,,,,,,,,,,,,,,,
                H,66472,1,17,50,195,1894,17535,16681,15123,7388,7588,,,,,,,,,,,,,,,,,
      Itália  HM,8894,4,6,16,98,259,504,1011,2362,1555,3079,,,,,,,,,,,,,,,,,
              H,4415,2,2,9,59,153,189,453,1143,817,1588,,,,,,,,,,,,,,,,,
      Reino Unido  HM,63726,3,8,46,305,1232,3603,6379,13606,13227,25317,,,,,,,,,,,,,,,,,
                   H,32585,0,1,15,115,431,1583,2950,6979,7004,13507,,,,,,,,,,,,,,,,,
      Irlanda  HM,2051,0,0,3,2,12,31,80,193,411,1319,,,,,,,,,,,,,,,,,
               H,1243,0,0,2,0,2,14,34,118,243,830,,,,,,,,,,,,,,,,,
      Dinamarca  HM,988,0,1,7,3,36,114,149,221,158,299,,,,,,,,,,,,,,,,,
                 H,526,0,0,5,0,16,66,75,114,90,160,,,,,,,,,,,,,,,,,
      Grécia  HM,602,0,0,0,1,3,39,87,114,111,247,,,,,,,,,,,,,,,,,
              H,314,0,0,0,1,0,19,44,54,61,135,,,,,,,,,,,,,,,,,
      Espanha  HM,62733,48,265,403,754,1238,4487,6026,11566,8056,29890,,,,,,,,,,,,,,,,,
               H,36640,12,76,137,267,608,2429,2977,6277,4798,19059,,,,,,,,,,,,,,,,,
      Bélgica  HM,15665,0,12,13,75,249,1524,2496,4831,2492,3973,,,,,,,,,,,,,,,,,
               H,7687,0,4,4,40,104,725,1123,2295,1235,2157,,,,,,,,,,,,,,,,,
      Luxemburgo  HM,22424,0,1,8,40,209,2955,4667,6925,3212,4407,,,,,,,,,,,,,,,,,
                  H,12125,0,1,7,23,140,1781,2350,3699,1711,2413,,,,,,,,,,,,,,,,,
      Suécia  HM,1544,0,0,0,7,46,220,280,442,203,346,,,,,,,,,,,,,,,,,
              H,800,0,0,0,4,26,116,137,223,109,185,,,,,,,,,,,,,,,,,
      Finlândia  HM,468,0,0,0,2,13,42,65,98,71,177,,,,,,,,,,,,,,,,,
                 H,230,0,0,0,0,5,18,28,47,34,98,,,,,,,,,,,,,,,,,
      Áustria  HM,1366,1,4,12,10,34,81,164,312,265,483,,,,,,,,,,,,,,,,,
               H,761,0,2,2,3,13,35,73,170,159,304,,,,,,,,,,,,,,,,,
      Malta  HM,83,0,0,0,0,0,0,16,11,12,44,,,,,,,,,,,,,,,,,
             H,48,0,0,0,0,0,0,9,5,8,26,,,,,,,,,,,,,,,,,
      Estónia  HM,98,0,0,0,0,0,1,3,14,21,59,,,,,,,,,,,,,,,,,
               H,44,0,0,0,0,0,1,2,4,6,31,,,,,,,,,,,,,,,,,
      Letónia  HM,231,0,0,0,0,0,1,5,46,66,113,,,,,,,,,,,,,,,,,
               H,70,0,0,0,0,0,1,4,21,11,33,,,,,,,,,,,,,,,,,
      Lituânia  HM,388,0,0,0,0,0,0,6,60,172,150,,,,,,,,,,,,,,,,,
                H,157,0,0,0,0,0,0,2,25,66,64,,,,,,,,,,,,,,,,,
      Polónia  HM,1069,0,0,0,0,2,11,50,146,254,606,,,,,,,,,,,,,,,,,
               H,480,0,0,0,0,0,6,24,62,110,278,,,,,,,,,,,,,,,,,
      República Checa  HM,698,0,0,0,1,0,13,50,96,93,445,,,,,,,,,,,,,,,,,
                       H,340,0,0,0,1,0,8,22,49,39,221,,,,,,,,,,,,,,,,,
      Eslováquia  HM,144,0,0,0,0,0,1,14,21,23,85,,,,,,,,,,,,,,,,,
                  H,68,0,0,0,0,0,1,9,12,9,37,,,,,,,,,,,,,,,,,
      Hungria  HM,430,0,0,0,0,1,5,51,110,83,180,,,,,,,,,,,,,,,,,
               H,169,0,0,0,0,1,3,26,33,25,81,,,,,,,,,,,,,,,,,
      Roménia  HM,14149,0,0,0,0,5,22,61,1402,6879,5780,,,,,,,,,,,,,,,,,
