"6.09 - POPULAÇÃO RESIDENTE, SEGUNDO AS MIGRAÇÕES (RELATIVAMENTE A 31/12/2009), POR MUNICIPIO DE RESIDÊNCIA HABITUAL EM 21/03/2011",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zona geográfica,População residente em 2011,,População que ainda não tinha nascido (em 31/12/2009),,População que mantém a mesma residência (relativamente a 31/12/2009),,População que mudou de residência (relativamente a 31/12/2009),,,,,,,,,,,,,,,,,,,,,
Municipios de residência habitual em 21/03/2011,,,,,,,Na mesma freguesia,,Noutra freguesia do mesmo municipio,,Noutro municipio,,No estrangeiro,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,,,,,,,,,,,,,,
    Portugal,10562178,5046600,117085,59347,9205435,4389278,603339,288072,278926,133048,275615,132892,81778,43963,,,,,,,,,,,,,,
      Continente,10047621,4798798,110697,56064,8756670,4173714,575343,274489,262961,125468,263515,126975,78435,42088,,,,,,,,,,,,,,
        Norte,3689682,1766260,39072,19760,3270606,1561888,181368,86961,98990,47260,74279,36074,25367,14317,,,,,,,,,,,,,,
          Minho-Lima,244836,114369,2203,1155,218161,101438,11024,5220,6793,3166,3633,1732,3022,1658,,,,,,,,,,,,,,
            Arcos de Valdevez,22847,10429,170,98,20391,9306,844,368,666,285,303,137,473,235,,,,,,,,,,,,,,
            Caminha,16684,7737,132,71,14655,6750,926,445,378,175,354,152,239,144,,,,,,,,,,,,,,
            Melgaço,9213,4076,68,35,8333,3664,291,128,195,87,112,50,214,112,,,,,,,,,,,,,,
            Monção,19230,8728,137,74,17431,7850,525,235,562,259,263,134,312,176,,,,,,,,,,,,,,
            Paredes de Coura,9198,4373,70,39,8208,3881,481,231,178,84,149,71,112,67,,,,,,,,,,,,,,
            Ponte da Barca,12061,5596,93,48,10820,5001,515,241,250,105,168,78,215,123,,,,,,,,,,,,,,
            Ponte de Lima,43498,20503,449,214,39148,18409,1967,919,1023,495,566,275,345,191,,,,,,,,,,,,,,
            Valença,14127,6619,134,71,12647,5892,499,246,401,186,244,118,202,106,,,,,,,,,,,,,,
            Viana do Castelo,88725,41889,863,457,78325,36798,4594,2216,2912,1373,1237,601,794,444,,,,,,,,,,,,,,
            Vila Nova de Cerveira,9253,4419,87,48,8203,3887,382,191,228,117,237,116,116,60,,,,,,,,,,,,,,
          Cávado,410169,196823,4600,2276,364370,174471,17657,8416,13974,6733,6426,3159,3142,1768,,,,,,,,,,,,,,
            Amares,18889,9131,192,98,17254,8334,532,257,413,183,290,145,208,114,,,,,,,,,,,,,,
            Barcelos,120391,58284,1282,622,108545,52455,5316,2579,3238,1550,1273,627,737,451,,,,,,,,,,,,,,
            Braga,181494,86707,2160,1067,158068,75376,7948,3757,8592,4183,3302,1578,1424,746,,,,,,,,,,,,,,
            Esposende,34254,16278,376,192,30662,14517,1607,761,630,300,699,360,280,148,,,,,,,,,,,,,,
            Terras de Bouro,7253,3478,60,36,6737,3221,210,103,77,29,95,48,74,41,,,,,,,,,,,,,,
            Vila Verde,47888,22945,530,261,43104,20568,2044,959,1024,488,767,401,419,268,,,,,,,,,,,,,,
          Ave,511737,247027,5311,2772,456092,219608,25608,12441,14188,6774,7378,3616,3160,1816,,,,,,,,,,,,,,
            Fafe,50633,23946,509,269,45459,21437,2537,1184,1212,588,504,233,412,235,,,,,,,,,,,,,,
            Guimarães,158124,76767,1652,885,141352,68480,6825,3343,5619,2643,1730,861,946,555,,,,,,,,,,,,,,
            Póvoa de Lanhoso,21886,10413,227,118,19654,9298,841,400,502,245,369,176,293,176,,,,,,,,,,,,,,
            Vieira do Minho,12997,6252,115,66,11933,5711,517,269,158,67,167,76,107,63,,,,,,,,,,,,,,
            Vila Nova de Famalicão,133832,64849,1494,764,118981,57557,6434,3118,4078,1949,2058,1015,787,446,,,,,,,,,,,,,,
            Vizela,23736,11653,263,125,20997,10309,1378,659,507,254,480,244,111,62,,,,,,,,,,,,,,
            Santo Tirso,71530,34334,638,333,63313,30265,4645,2289,1423,696,1186,577,325,174,,,,,,,,,,,,,,
            Trofa,38999,18813,413,212,34403,16551,2431,1179,689,332,884,434,179,105,,,,,,,,,,,,,,
          Grande Porto,1287282,610455,14394,7291,1124030,531436,67499,32108,38478,18352,36125,17555,6756,3713,,,,,,,,,,,,,,
            Espinho,31786,15112,274,145,28304,13404,1469,708,732,361,833,394,174,100,,,,,,,,,,,,,,
            Gondomar,168027,81007,1814,935,149133,71727,8235,4017,4072,1959,4156,1998,617,371,,,,,,,,,,,,,,
            Maia,135306,64855,1792,921,118665,56769,5559,2680,3742,1754,4933,2394,615,337,,,,,,,,,,,,,,
            Matosinhos,175478,83444,1997,1036,153066,72447,9756,4691,4568,2213,5287,2622,804,435,,,,,,,,,,,,,,
            Porto,237591,108104,2153,1068,203514,91985,13599,6170,9135,4358,7568,3681,1622,842,,,,,,,,,,,,,,
            Póvoa de Varzim,63408,29958,733,341,55716,26265,3757,1749,1301,615,1385,709,516,279,,,,,,,,,,,,,,
            Valongo,93858,45016,1175,578,81868,39179,5441,2656,1604,754,3300,1578,470,271,,,,,,,,,,,,,,
            Vila do Conde,79533,38469,1005,511,70136,33809,4220,2039,1670,808,2027,1026,475,276,,,,,,,,,,,,,,
            Vila Nova de Gaia,302295,144490,3451,1756,263628,125851,15463,7398,11654,5530,6636,3153,1463,802,,,,,,,,,,,,,,
          Tâmega,550516,268097,6346,3117,493366,239789,27215,13369,12382,5932,8117,3999,3090,1891,,,,,,,,,,,,,,
            Castelo de Paiva,16733,8184,167,87,15094,7369,931,469,289,132,192,94,60,33,,,,,,,,,,,,,,
            Cabeceiras de Basto,16710,8115,173,90,15187,7340,694,342,316,156,183,90,157,97,,,,,,,,,,,,,,
            Celorico de Basto,20098,9749,210,94,18074,8727,864,437,280,134,274,130,396,227,,,,,,,,,,,,,,
            Amarante,56264,26968,581,273,50543,24178,2420,1179,1548,727,716,344,456,267,,,,,,,,,,,,,,
            Baião,20522,9811,182,95,18704,8902,927,441,354,168,265,142,90,63,,,,,,,,,,,,,,
            Felgueiras,58065,28103,583,289,52076,25174,2655,1299,1728,826,724,334,299,181,,,,,,,,,,,,,,
            Lousada,47387,23077,570,282,42188,20543,2469,1181,1197,562,810,412,153,97,,,,,,,,,,,,,,
            Marco de Canaveses,53450,26039,659,325,47787,23272,2773,1323,1266,611,656,317,309,191,,,,,,,,,,,,,,
            Paços de Ferreira,56340,28081,737,359,49875,24813,3155,1570,1309,607,1052,596,212,136,,,,,,,,,,,,,,
            Paredes,86854,42530,1208,590,77266,37767,4265,2132,2045,994,1646,785,424,262,,,,,,,,,,,,,,
            Penafiel,72265,35191,871,416,64654,31391,3884,1930,1515,768,1085,518,256,168,,,,,,,,,,,,,,
            Mondim de Basto,7493,3598,57,30,6906,3309,263,129,82,36,117,53,68,41,,,,,,,,,,,,,,
            Ribeira de Pena,6544,3196,53,30,6040,2933,233,113,46,27,79,40,93,53,,,,,,,,,,,,,,
            Cinfães,20427,9932,196,104,18565,8998,1192,598,206,95,182,81,86,56,,,,,,,,,,,,,,
            Resende,11364,5523,99,53,10407,5073,490,226,201,89,136,63,31,19,,,,,,,,,,,,,,
          Entre Douro e Vouga,274859,132784,2897,1483,245953,118630,13413,6485,5566,2665,5437,2626,1593,895,,,,,,,,,,,,,,
            Arouca,22359,10799,246,131,20084,9663,1285,642,371,174,258,122,115,67,,,,,,,,,,,,,,
            Santa Maria da Feira,139312,67402,1583,793,124453,60086,6418,3148,3307,1590,2762,1337,789,448,,,,,,,,,,,,,,
            Oliveira de Azeméis,68611,33282,637,332,61492,29836,3486,1662,1353,645,1247,593,396,214,,,,,,,,,,,,,,
            São João da Madeira,21713,10222,223,116,19104,8980,1421,635,0,0,836,417,129,74,,,,,,,,,,,,,,
            Vale de Cambra,22864,11079,208,111,20820,10065,803,398,535,256,334,157,164,92,,,,,,,,,,,,,,
          Douro,205902,98444,1826,924,184881,88202,9461,4482,3899,1896,3870,1807,1965,1133,,,,,,,,,,,,,,
            Carrazeda de Ansiães,6373,3066,37,16,5708,2729,316,160,80,38,107,47,125,76,,,,,,,,,,,,,,
            Freixo de Espada à Cinta,3780,1820,30,18,3270,1585,336,156,23,7,76,31,45,23,,,,,,,,,,,,,,
            Torre de Moncorvo,8572,4106,51,27,7903,3781,288,141,74,35,152,62,104,60,,,,,,,,,,,,,,
            Vila Flor,6697,3212,52,27,6001,2873,382,191,81,40,116,49,65,32,,,,,,,,,,,,,,
            Vila Nova de Foz Côa,7312,3458,54,22,6566,3097,340,160,77,40,135,64,140,75,,,,,,,,,,,,,,
            Alijó,11942,5772,89,36,10870,5256,556,268,104,45,201,87,122,80,,,,,,,,,,,,,,
            Mesão Frio,4433,2121,40,25,4020,1906,180,92,84,46,96,41,13,11,,,,,,,,,,,,,,
            Peso da Régua,17131,8111,163,92,15392,7264,897,419,289,154,291,131,99,51,,,,,,,,,,,,,,
            Sabrosa,6361,3069,54,28,5761,2773,265,129,71,40,157,69,53,30,,,,,,,,,,,,,,
            Santa Marta de Penaguião,7356,3463,55,26,6737,3174,317,147,62,25,132,54,53,37,,,,,,,,,,,,,,
            Vila Real,51850,24670,581,285,46055,21851,2036,970,1860,888,1015,491,303,185,,,,,,,,,,,,,,
            Armamar,6297,2981,52,32,5676,2682,340,157,83,39,127,61,19,10,,,,,,,,,,,,,,
            Lamego,26691,12713,215,97,23762,11350,1541,690,535,258,504,239,134,79,,,,,,,,,,,,,,
            Moimenta da Beira,10212,4888,107,58,9183,4372,393,185,159,71,207,107,163,95,,,,,,,,,,,,,,
            Penedono,2952,1415,12,7,2776,1336,71,29,21,8,43,22,29,13,,,,,,,,,,,,,,
            São João da Pesqueira,7874,3883,68,33,7131,3505,407,203,68,41,105,53,95,48,,,,,,,,,,,,,,
            Sernancelhe,5671,2747,43,25,5243,2525,134,69,50,25,119,57,82,46,,,,,,,,,,,,,,
            Tabuaço,6350,3049,43,24,5562,2661,342,159,91,45,119,53,193,107,,,,,,,,,,,,,,
            Tarouca,8048,3900,80,46,7265,3482,320,157,87,51,168,89,128,75,,,,,,,,,,,,,,
          Alto Trás-os-Montes,204381,98261,1495,742,183753,88314,9491,4440,3710,1742,3293,1580,2639,1443,,,,,,,,,,,,,,
            Alfândega da Fé,5104,2467,32,17,4565,2198,271,133,72,34,96,48,68,37,,,,,,,,,,,,,,
            Bragança,35341,16966,323,161,30942,14826,1905,865,969,476,790,419,412,219,,,,,,,,,,,,,,
            Macedo de Cavaleiros,15776,7491,116,58,14260,6791,672,301,229,95,281,124,218,122,,,,,,,,,,,,,,
            Miranda do Douro,7482,3667,44,24,6787,3324,328,154,96,42,138,75,89,48,,,,,,,,,,,,,,
            Mirandela,23850,11353,203,99,20937,9985,1754,815,321,148,397,169,238,137,,,,,,,,,,,,,,
            Mogadouro,9542,4699,64,24,8582,4214,507,258,130,65,127,62,132,76,,,,,,,,,,,,,,
            Vimioso,4669,2283,27,18,4277,2083,167,82,34,16,79,41,85,43,,,,,,,,,,,,,,
            Vinhais,9066,4485,43,19,8464,4195,264,129,94,40,94,41,107,61,,,,,,,,,,,,,,
            Boticas,5750,2779,36,16,5362,2597,147,58,84,42,45,21,76,45,,,,,,,,,,,,,,
            Chaves,41243,19738,309,165,36628,17474,1818,874,1205,570,711,351,572,304,,,,,,,,,,,,,,
            Montalegre,10537,5096,48,20,9768,4740,385,171,111,49,89,37,136,79,,,,,,,,,,,,,,
            Murça,5952,2900,45,24,5528,2692,173,85,43,16,103,45,60,38,,,,,,,,,,,,,,
            Valpaços,16882,7975,103,51,15485,7327,659,303,174,70,190,79,271,145,,,,,,,,,,,,,,
            Vila Pouca de Aguiar,13187,6362,102,46,12168,5868,441,212,148,79,153,68,175,89,,,,,,,,,,,,,,
        Centro,2327755,1111263,22670,11633,2057369,980771,125395,59831,52019,24442,53290,25320,17012,9266,,,,,,,,,,,,,,
          Baixo Vouga,390822,187078,4226,2134,343116,163989,21687,10481,8926,4223,9759,4590,3108,1661,,,,,,,,,,,,,,
            Águeda,47729,22891,481,250,42144,20154,2533,1231,1237,584,962,456,372,216,,,,,,,,,,,,,,
            Albergaria-a-Velha,25252,12230,315,162,22586,10932,1365,676,338,153,502,225,146,82,,,,,,,,,,,,,,
            Anadia,29150,13967,259,125,26107,12468,1398,673,569,285,575,283,242,133,,,,,,,,,,,,,,
            Aveiro,78450,37120,906,442,66580,31497,4321,2070,3406,1594,2571,1194,666,323,,,,,,,,,,,,,,
            Estarreja,26997,13012,278,151,23905,11490,1590,765,430,209,650,312,144,85,,,,,,,,,,,,,,
            Ílhavo,38598,18407,441,228,33666,16032,2572,1238,625,292,1034,477,260,140,,,,,,,,,,,,,,
            Mealhada,20428,9823,205,108,18347,8816,980,469,266,129,511,233,119,68,,,,,,,,,,,,,,
            Murtosa,10585,5096,108,49,9420,4528,514,254,157,72,204,100,182,93,,,,,,,,,,,,,,
            Oliveira do Bairro,23028,10915,291,143,19948,9412,1316,631,376,192,882,419,215,118,,,,,,,,,,,,,,
            Ovar,55398,26671,608,301,48904,23469,3331,1652,971,459,1212,593,372,197,,,,,,,,,,,,,,
            Sever do Vouga,12356,5962,94,47,11260,5437,577,260,203,99,139,71,83,48,,,,,,,,,,,,,,
