,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"6.12 - POPULAÇÃO RESIDENTE, SEGUNDO OS PAÍSES DE PROVENIÊNCIA( RELATIVAMENTE A 31/12/2005), POR MUNICIPIO DE RESIDÊNCIA HABITUAL EM 21/03/2011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zona geográfica,População Residente em 2011,,Imigrante no município,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Proveniente de outros municípios,,Proveniente do estrangeiro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Municipios de residência habitual em 21/03/2011,,,,,Total,,França,,Países Baixos,,Alemanha,,Itália,,Reino Unido,,Irlanda,,Espanha,,Bélgica,,Luxemburgo,,Suiça,,Andorra,,Roménia,,Bulgária,,Ucrânia,,"Moldova, República de",,PALOP,,África do Sul,,Estados Unidos,,Canadá,,"Venezuela, República Bolivariana da",,Brasil,,Índia,,China,,Outros,
,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
    Portugal,10562178,5046600,678389,325524,215130,106691,32395,17238,2329,1300,10066,5256,1829,913,15361,8165,1373,793,11924,7286,2329,1202,2880,1536,12756,6927,1717,962,7532,3728,1779,947,5014,2011,3012,1211,27447,12770,1155,569,5876,3169,2626,1384,2840,1381,44330,18072,1574,988,2878,1414,14108,7469
      Continente,10047621,4798798,649531,311675,206500,102195,31972,17027,2274,1270,9898,5177,1738,858,13578,7192,1345,777,11763,7202,2287,1178,2864,1526,12642,6873,1716,962,7457,3701,1775,945,4945,1994,2986,1203,27186,12626,759,363,4910,2604,2067,1094,1537,750,43562,17767,1565,980,2793,1378,12881,6748
        Norte,3689682,1766260,184293,89296,55539,29283,16579,8969,431,262,3334,1796,361,201,2496,1393,238,147,5344,3413,560,304,1187,640,6253,3449,1412,795,789,411,205,103,786,324,127,49,2691,1371,200,102,1185,639,605,329,564,274,6917,2615,149,92,593,299,2533,1306
          Minho-Lima,244836,114369,9013,4298,7396,3984,3891,2149,24,14,181,99,24,12,124,66,10,5,612,361,41,24,51,29,345,187,458,249,16,9,2,2,47,19,6,0,382,176,14,7,300,158,187,101,47,26,437,189,5,1,34,19,158,82
            Arcos de Valdevez,22847,10429,817,381,1140,611,697,386,3,1,17,10,1,1,4,3,2,1,12,7,6,4,3,2,61,36,44,22,0,0,0,0,0,0,0,0,53,13,0,0,118,66,70,35,15,8,22,11,0,0,2,1,10,4
            Caminha,16684,7737,882,403,501,264,144,78,4,2,15,8,7,3,12,7,0,0,48,29,5,2,6,4,15,7,81,50,0,0,0,0,4,1,0,0,97,46,2,1,10,5,3,1,1,0,36,13,1,0,1,1,9,6
            Melgaço,9213,4076,263,120,568,310,381,221,2,0,2,1,0,0,0,0,0,0,24,11,1,1,0,0,19,11,9,6,2,1,0,0,0,0,0,0,51,20,0,0,9,4,2,1,3,1,57,29,0,0,1,0,5,3
            Monção,19230,8728,569,260,993,529,604,343,0,0,2,1,0,0,10,4,0,0,89,42,0,0,0,0,119,63,35,18,0,0,0,0,11,4,0,0,9,6,0,0,23,9,10,6,0,0,74,30,0,0,1,1,6,2
            Paredes de Coura,9198,4373,319,159,307,168,174,85,1,1,7,3,0,0,18,11,4,3,28,19,0,0,6,4,11,6,0,0,0,0,0,0,0,0,0,0,42,29,0,0,4,3,3,1,1,1,6,2,0,0,0,0,2,0
            Ponte da Barca,12061,5596,474,234,431,244,217,123,2,2,28,15,1,1,8,6,0,0,23,15,4,2,5,3,2,2,47,21,0,0,1,1,1,0,0,0,32,21,0,0,19,10,20,11,5,2,9,5,0,0,2,1,5,3
