"6.14 - POPULAÇÃO RESIDENTE, SEGUNDO OS PAÍSES DE PROVENIÊNCIA( RELATIVAMENTE A 31/12/2005), POR PAÍSES DE NATURALIDADE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zona geográfica,População Residente em 2011,,Imigrante no município,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Proveniente de outros municípios,,Proveniente do estrangeiro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Países de naturalidade,,,,,Total,,França,,Países Baixos,,Alemanha,,Itália,,Reino Unido,,Irlanda,,Espanha,,Bélgica,,Luxemburgo,,Suiça,,Andorra,,Roménia,,Bulgária,,Ucrânia,,"Moldova, República de",,PALOP,,África do Sul,,Estados Unidos,,Canadá,,"Venezuela, República Bolivariana da",,Brasil,,Índia,,China,,Outros,
,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
  Portugal,10562178,5046600,678389,325524,215130,106691,32395,17238,2329,1300,10066,5256,1829,913,15361,8165,1373,793,11924,7286,2329,1202,2880,1536,12756,6927,1717,962,7532,3728,1779,947,5014,2011,3012,1211,27447,12770,1155,569,5876,3169,2626,1384,2840,1381,44330,18072,1574,988,2878,1414,14108,7469
    Portugal,9690365,4638131,594784,285110,84690,47424,26611,14381,1188,704,6947,3706,656,322,8515,4703,751,472,7699,5106,1433,746,2241,1233,10080,5579,1452,828,108,50,19,14,66,23,27,15,2364,1421,679,369,4265,2340,2061,1106,1254,688,2630,1400,47,26,154,91,3443,2101
    Estrangeira,871813,408469,83605,40414,130440,59267,5784,2857,1141,596,3119,1550,1173,591,6846,3462,622,321,4225,2180,896,456,639,303,2676,1348,265,134,7424,3678,1760,933,4948,1988,2985,1196,25083,11349,476,200,1611,829,565,278,1586,693,41700,16672,1527,962,2724,1323,10665,5368
    Europa,281416,135110,24702,11856,43121,20413,5118,2485,956,479,2813,1393,837,421,5530,2802,482,242,2892,1437,734,379,554,262,2292,1169,225,113,7407,3669,1753,928,4911,1970,2958,1187,236,114,30,12,187,96,51,34,23,13,163,76,34,14,37,19,2898,1099
    União Europeia 27 (S/PT),208384,98550,17712,8244,31564,15609,5081,2464,951,478,2780,1378,799,407,5499,2790,478,241,2820,1396,725,374,551,261,256,140,53,25,7378,3658,1749,928,31,15,14,11,204,103,23,9,173,91,48,34,23,13,147,71,34,14,37,19,1710,689
    França,94484,43394,9213,4208,5684,2804,4851,2358,17,11,42,21,25,8,118,57,13,9,150,99,26,13,45,22,111,57,23,11,4,1,0,0,1,0,1,1,33,17,4,1,40,21,20,15,4,3,31,14,1,0,4,2,120,63
    Países Baixos (Holanda),4122,2098,274,145,1004,512,8,3,812,411,5,3,2,2,20,11,97,49,5,3,16,7,1,0,2,1,0,0,0,0,3,2,0,0,0,0,1,0,3,2,10,6,0,0,1,0,0,0,0,0,0,0,18,12
    Alemanha,28000,13567,2632,1247,3083,1531,38,22,16,9,2584,1273,11,6,60,26,7,3,57,30,11,6,12,6,44,23,5,2,3,2,1,1,3,2,0,0,118,58,2,2,26,12,3,3,2,2,19,10,2,1,8,4,51,28
    Itália,2837,1644,156,97,904,500,15,8,10,5,28,19,664,349,33,23,0,0,19,11,11,5,2,1,32,23,0,0,2,2,0,0,0,0,1,1,9,5,3,2,6,4,1,1,4,3,22,11,10,4,4,2,28,21
    Reino Unido,19131,9543,956,471,5567,2872,35,14,14,5,28,12,11,6,5054,2590,37,20,100,61,22,13,4,3,9,4,0,0,0,0,0,0,1,0,0,0,8,5,5,1,33,21,7,4,1,0,18,8,15,5,2,2,163,98
    Irlanda,1626,796,76,38,462,234,4,3,53,26,6,4,0,0,55,21,299,155,8,4,12,8,0,0,0,0,0,0,1,0,0,0,1,1,0,0,3,1,1,0,5,2,0,0,2,2,1,1,0,0,2,1,9,5
    Dinamarca,411,209,32,17,92,50,0,0,1,0,1,1,0,0,5,2,0,0,2,1,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,76,41
    Grécia,195,102,10,4,70,40,0,0,0,0,5,4,2,2,6,4,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,3,3,0,0,0,0,0,0,0,0,0,0,49,26
    Espanha,16489,7049,1150,491,2687,1293,83,32,5,2,26,16,14,7,39,19,5,2,2301,1104,25,12,2,0,34,18,22,9,0,0,0,0,0,0,0,0,17,10,0,0,20,11,3,1,9,3,25,11,2,2,5,1,50,33
    Bélgica,3560,1722,293,144,647,331,18,10,2,2,6,3,1,1,8,3,2,0,3,3,558,288,5,3,1,1,1,1,0,0,3,1,1,0,0,0,6,2,1,1,3,0,2,1,0,0,9,5,1,0,0,0,16,6
    Luxemburgo,4086,1991,371,161,509,245,5,3,2,1,1,0,0,0,5,4,2,1,2,2,4,2,478,226,3,2,2,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,1,0
    Suécia,837,373,83,35,158,77,1,0,2,1,1,1,0,0,13,5,1,0,5,2,3,1,1,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,1,0,0,1,1,0,0,0,0,120,61
    Finlândia,350,137,22,4,82,34,1,0,2,1,1,1,0,0,2,0,0,0,2,2,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,69,27
    Áustria,525,251,24,14,113,65,3,1,0,0,8,5,5,0,2,1,0,0,1,1,1,1,0,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,1,0,0,1,1,83,49
    Malta,46,17,4,3,14,5,0,0,0,0,0,0,0,0,3,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2
    Estónia,133,37,13,3,55,16,1,1,0,0,0,0,1,0,5,3,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,43,10
    Letónia,215,51,28,7,83,15,0,0,0,0,0,0,1,0,4,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,14
    Lituânia,380,132,41,19,102,24,0,0,0,0,2,0,1,1,9,2,2,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,80,18
    Polónia,1014,279,81,26,443,89,2,0,6,1,14,4,2,0,27,3,7,0,9,2,4,0,0,0,0,0,0,0,2,1,1,0,9,3,0,0,2,1,0,0,7,4,2,2,0,0,4,3,1,0,2,1,342,64
    República Checa,259,82,16,2,98,30,2,0,1,1,3,3,0,0,6,1,3,1,1,0,1,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,75,21
    Eslováquia,97,22,6,1,48,10,0,0,2,0,4,1,0,0,5,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,1,31,5
    Hungria,416,134,48,7,115,41,0,0,2,1,2,1,1,0,3,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,2,1,1,0,0,1,1,0,0,3,0,0,0,0,0,0,0,0,0,2,2,95,31
    Roménia,23689,12136,1836,936,7680,3812,12,8,2,1,12,6,54,24,11,5,2,1,121,60,3,0,0,0,2,1,0,0,7365,3651,1,1,7,4,9,6,2,2,0,0,1,0,3,2,0,0,7,4,0,0,0,0,66,36
    Bulgária,5391,2747,341,161,1824,964,2,1,2,0,1,0,3,0,2,2,0,0,18,7,19,13,0,0,0,0,0,0,1,1,1737,921,1,0,3,3,1,0,1,0,4,1,1,0,0,0,7,1,1,1,0,0,20,13
    Eslovénia,59,21,3,1,28,8,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,20,4
    Chipre,32,16,3,2,12,7,0,0,0,0,0,0,1,1,4,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2,1
    Outros países (parcial),73032,36560,6990,3612,11557,4804,37,21,5,1,33,15,38,14,31,12,4,1,72,41,9,5,3,1,2036,1029,172,88,29,11,4,0,4880,1955,2944,1176,32,11,7,3,14,5,3,0,0,0,16,5,0,0,0,0,1188,410
    Noruega,346,168,13,8,84,37,0,0,0,0,0,0,0,0,4,2,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,76,32
    Suíça,16842,8417,853,371,2145,1087,18,12,2,1,9,6,5,4,7,2,2,1,8,5,5,3,3,1,2027,1026,1,0,0,0,0,0,0,0,0,0,7,3,0,0,4,2,1,0,0,0,5,1,0,0,0,0,41,20
    Rússia (Federação da),5906,2338,864,343,809,242,4,1,0,0,11,3,3,1,5,1,1,0,12,4,1,0,0,0,2,1,0,0,0,0,2,0,80,22,23,9,14,4,4,1,3,1,1,0,0,0,3,2,0,0,0,0,640,192
    Outros países - Europa,49938,25637,5260,2890,8519,3438,15,8,3,0,13,6,30,9,15,7,1,0,51,32,2,1,0,0,7,2,171,88,28,10,2,0,4800,1933,2921,1167,11,4,3,2,7,2,1,0,0,0,7,1,0,0,0,0,431,166
    África,369992,174411,34723,17494,30802,14523,388,211,119,80,147,84,99,48,802,434,77,47,589,402,94,47,69,34,265,128,27,18,4,0,0,0,4,3,0,0,24726,11184,436,183,211,119,49,28,17,9,272,150,9,4,9,6,2389,1304
    África do Sul,11477,5347,1314,632,532,250,6,4,5,4,4,4,1,1,92,44,5,4,15,7,3,2,3,0,5,2,2,1,0,0,0,0,0,0,0,0,19,10,317,136,10,5,2,0,2,1,9,6,0,0,0,0,32,19
    Angola,162604,74556,15050,7439,4759,2330,125,75,53,34,80,40,33,10,344,200,27,20,242,158,46,20,29,15,161,82,21,13,0,0,0,0,1,1,0,0,3160,1423,30,9,103,58,24,13,11,5,122,69,3,3,3,2,141,80
