"6.16 - POPULAÇÃO RESIDENTE, SEGUNDO A DIMENSÃO DOS LUGARES, POPULAÇÃO ISOLADA, EMBARCADA e CORPO DIPLOMÁTICO , POR CONDIÇÃO PERANTE A ACTIVIDADE ECONÓMICA, SEXO, E GRUPOS ETÁRIOS",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Zona Geográfica,Total,Em lugares até 1999 habitantes,Em lugares de 2000 a 4999 habitantes,Em lugares de 5000 a 9999 habitantes,Em lugares de 10000 a 19999 habitantes,Em lugares de 20000 a 49999 habitantes,Em lugares de 50000 a    99999 habitantes,Em lugares de 100000 a 199999 habitantes,Em lugares de 200000 a 499999 habitantes,Em lugares de 500000 a 999999 habitantes,Em lugares com 1 000 000 habitantes ou mais,"População isolada, embarcada e corpo diplomático",,
"Condição perante a actividade económica
Grupos etários de < 15, 15 - 60, 61-65, 66-70 >70 e sexo          ",,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,,
  Portugal                                                   HM,10562178,3945623,983197,947768,1252729,1227208,526461,715906,237591,547011,0,178684,,
                                                              H,5046600,1908061,473773,454631,597036,578979,248320,336251,108104,250501,0,90944,,
      Menos de 15 anos                                       HM,1572329,556654,157711,155868,200506,188102,83608,105901,28379,70355,0,25245,,
                                                              H,803999,284571,80810,80188,102312,96187,42614,54007,14466,35924,0,12920,,
      15 - 60 anos                                           HM,6476487,2335053,614483,596603,792897,784354,330248,457243,140705,318045,0,106856,,
                                                              H,3164055,1164037,301129,289988,382221,374403,157504,218474,66961,153314,0,56024,,
        Activos                                              HM,4802341,1665236,461874,452016,606579,599277,255093,346134,100452,242153,0,73527,,
                                                              H,2472309,902069,236898,230217,304339,294450,125030,169884,48961,118378,0,42083,,
        Inactivos                                            HM,1674146,669817,152609,144587,186318,185077,75155,111109,40253,75892,0,33329,,
                                                              H,691746,261968,64231,59771,77882,79953,32474,48590,18000,34936,0,13941,,
      61 - 65 anos                                           HM,625436,240079,54244,52394,72777,70034,31742,42403,16705,34351,0,10707,,
                                                              H,292264,113740,25840,24650,34110,32535,14556,19370,7247,14870,0,5346,,
        Activos                                              HM,165931,59139,14711,14719,19810,18100,8658,11476,4612,11716,0,2990,,
                                                              H,93886,35747,8200,8262,10890,9910,4512,6163,2427,5832,0,1943,,
        Inactivos                                            HM,459505,180940,39533,37675,52967,51934,23084,30927,12093,22635,0,7717,,
                                                              H,198378,77993,17640,16388,23220,22625,10044,13207,4820,9038,0,3403,,
      66 - 70 anos                                           HM,529006,216341,44678,42840,57724,55144,25568,33197,13448,30594,0,9472,,
                                                              H,241855,99046,20768,19978,26852,25121,11755,15084,5693,12973,0,4585,,
        Activos                                              HM,34514,10824,3030,3085,4007,3978,1763,2437,1240,3505,0,645,,
                                                              H,22581,7232,1990,2021,2658,2567,1149,1611,812,2082,0,459,,
        Inactivos                                            HM,494492,205517,41648,39755,53717,51166,23805,30760,12208,27089,0,8827,,
                                                              H,219274,91814,18778,17957,24194,22554,10606,13473,4881,10891,0,4126,,
      Mais de 70 anos                                        HM,1358920,597496,112081,100063,128825,129574,55295,77162,38354,93666,0,26404,,
                                                              H,544427,246667,45226,39827,51541,50733,21891,29316,13737,33420,0,12069,,
        Activos                                              HM,20581,6237,1798,1702,2199,2392,814,1419,1027,2609,0,384,,
                                                              H,14798,4517,1295,1200,1580,1769,587,1033,774,1745,0,298,,
        Inactivos                                            HM,1338339,591259,110283,98361,126626,127182,54481,75743,37327,91057,0,26020,,
                                                              H,529629,242150,43931,38627,49961,48964,21304,28283,12963,31675,0,11771,,
    Continente                                               HM,10047621,3707220,913619,905109,1225997,1206732,526461,604365,237591,547011,0,173516,,
                                                              H,4798798,1792712,439392,433570,584056,569500,248320,284352,108104,250501,0,88291,,
        Menos de 15 anos                                     HM,1484120,516102,144092,147360,195342,185087,83608,89565,28379,70355,0,24230,,
                                                              H,758841,263825,73832,75863,99599,94685,42614,45660,14466,35924,0,12373,,
        15 - 60 anos                                         HM,6141409,2182244,567591,568523,775076,770739,330248,384858,140705,318045,0,103380,,
