"6.18 - POPULAÇÃO RESIDENTE, SEGUNDO O ESTADO CIVIL LEGAL E SEXO, POR VIVENCIA EM UNIÃO DE FACTO E GRUPO ETÁRIO",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zona geográfica,Total,,Solteiro,,Casado,,Divorciado,,Viúvo,,,,,,,,,,,,,,,,,,,
Vivência em união de facto e grupo etário,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HM,H,HM,H,HM,H,HM,H,HM,H,,,,,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,,,,,,,,,,,,,,,,,,
  Portugal,10562178,5046600,4272977,2203608,4924870,2454630,593667,245265,770664,143097,,,,,,,,,,,,,,,,,,
    Vive em união de facto,729832,366382,500422,250899,22844,12347,176264,91586,30302,11550,,,,,,,,,,,,,,,,,,
      Menos de 15 anos,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
      15 - 19 anos,7867,1851,7851,1843,5,2,8,4,3,2,,,,,,,,,,,,,,,,,,
      20 - 24 anos,56548,21514,55668,21323,237,55,618,129,25,7,,,,,,,,,,,,,,,,,,
      25 - 29 anos,125043,57724,118837,55963,1039,308,5053,1438,114,15,,,,,,,,,,,,,,,,,,
      30 - 34 anos,141809,71830,121630,63938,2201,900,17539,6933,439,59,,,,,,,,,,,,,,,,,,
      35 - 39 anos,114314,58936,81110,44166,3205,1445,28993,13164,1006,161,,,,,,,,,,,,,,,,,,
      40 - 44 anos,80774,41529,45436,24801,3456,1662,30016,14735,1866,331,,,,,,,,,,,,,,,,,,
      45 - 49 anos,63886,33188,28503,15766,3485,1817,28924,14963,2974,642,,,,,,,,,,,,,,,,,,
      50 - 54 anos,47781,25644,16881,9539,2981,1739,24286,13414,3633,952,,,,,,,,,,,,,,,,,,
      55 - 59 anos,34111,19348,10131,5686,2300,1511,17790,10939,3890,1212,,,,,,,,,,,,,,,,,,
      60 - 64 anos,22854,13454,5601,3031,1578,1099,11676,7731,3999,1593,,,,,,,,,,,,,,,,,,
      65 - 69 anos,14479,8573,3311,1733,1090,806,6174,4306,3904,1728,,,,,,,,,,,,,,,,,,
      70 - 74 anos,9553,5906,2487,1398,688,528,3014,2216,3364,1764,,,,,,,,,,,,,,,,,,
      75 ou mais anos,10813,6885,2976,1712,579,475,2173,1614,5085,3084,,,,,,,,,,,,,,,,,,
    Não vive em união de facto,9832346,4680218,3772555,1952709,4902026,2442283,417403,153679,740362,131547,,,,,,,,,,,,,,,,,,
      Menos de 15 anos,1572329,803999,1572329,803999,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
      15 - 19 anos,557383,286674,554976,286096,2261,542,57,18,89,18,,,,,,,,,,,,,,,,,,
      20 - 24 anos,525517,271509,487599,260313,36134,10706,1503,434,281,56,,,,,,,,,,,,,,,,,,
      25 - 29 anos,531033,267124,351943,198792,169658,65487,8825,2753,607,92,,,,,,,,,,,,,,,,,,
      30 - 34 anos,631758,306904,216937,124186,384898,172214,28409,10258,1514,246,,,,,,,,,,,,,,,,,,
      35 - 39 anos,710369,343371,145046,81302,512035,242780,49729,18682,3559,607,,,,,,,,,,,,,,,,,,
      40 - 44 anos,692324,333433,102733,57172,524817,253377,57949,21826,6825,1058,,,,,,,,,,,,,,,,,,
      45 - 49 anos,706408,337801,82641,44785,547307,267045,62930,23878,13530,2093,,,,,,,,,,,,,,,,,,
      50 - 54 anos,674579,320604,60448,31072,531658,263218,59238,22553,23235,3761,,,,,,,,,,,,,,,,,,
      55 - 59 anos,643540,302747,44855,20729,513183,257350,49773,18917,35729,5751,,,,,,,,,,,,,,,,,,
      60 - 64 anos,611887,285092,34961,13522,485772,248668,38200,14293,52954,8609,,,,,,,,,,,,,,,,,,
      65 - 69 anos,537222,244431,28615,9255,409728,214437,24643,9022,74236,11717,,,,,,,,,,,,,,,,,,
      70 - 74 anos,486885,214555,26598,7927,338037,183206,16094,5521,106156,17901,,,,,,,,,,,,,,,,,,
      75 ou mais anos,951112,361974,62874,13559,446538,263253,20053,5524,421647,79638,,,,,,,,,,,,,,,,,,
    Continente,10047621,4798798,4045843,2085243,4700011,2342476,567438,233575,734329,137504,,,,,,,,,,,,,,,,,,
      Vive em união de facto,700766,351799,481957,241559,21537,11671,168352,87416,28920,11153,,,,,,,,,,,,,,,,,,
        Menos de 15 anos,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
        15 - 19 anos,7369,1762,7356,1756,3,1,8,4,2,1,,,,,,,,,,,,,,,,,,
        20 - 24 anos,53509,20361,52739,20189,207,49,542,117,21,6,,,,,,,,,,,,,,,,,,
        25 - 29 anos,119809,55256,114167,53667,924,267,4619,1308,99,14,,,,,,,,,,,,,,,,,,
        30 - 34 anos,136357,69005,117384,61555,2055,852,16506,6543,412,55,,,,,,,,,,,,,,,,,,
        35 - 39 anos,109959,56668,78489,42701,2995,1359,27537,12454,938,154,,,,,,,,,,,,,,,,,,
        40 - 44 anos,77556,39841,43899,23937,3258,1563,28672,14030,1727,311,,,,,,,,,,,,,,,,,,
        45 - 49 anos,61185,31755,27552,15233,3298,1712,27563,14207,2772,603,,,,,,,,,,,,,,,,,,
        50 - 54 anos,45914,24651,16364,9242,2803,1628,23335,12867,3412,914,,,,,,,,,,,,,,,,,,
        55 - 59 anos,32967,18653,9881,5543,2198,1437,17194,10521,3694,1152,,,,,,,,,,,,,,,,,,
        60 - 64 anos,22178,13046,5495,2977,1531,1061,11314,7465,3838,1543,,,,,,,,,,,,,,,,,,
        65 - 69 anos,14050,8306,3241,1694,1049,777,5997,4174,3763,1661,,,,,,,,,,,,,,,,,,
        70 - 74 anos,9313,5745,2445,1371,659,506,2930,2143,3279,1725,,,,,,,,,,,,,,,,,,
        75 ou mais anos,10600,6750,2945,1694,557,459,2135,1583,4963,3014,,,,,,,,,,,,,,,,,,
      Não vive em união de facto,9346855,4446999,3563886,1843684,4678474,2330805,399086,146159,705409,126351,,,,,,,,,,,,,,,,,,
        Menos de 15 anos,1484120,758841,1484120,758841,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
        15 - 19 anos,524288,269635,522251,269102,1902,498,51,18,84,17,,,,,,,,,,,,,,,,,,
        20 - 24 anos,494327,255246,460494,245258,32247,9550,1324,386,262,52,,,,,,,,,,,,,,,,,,
        25 - 29 anos,499988,251418,334261,188209,157148,60633,8010,2488,569,88,,,,,,,,,,,,,,,,,,
        30 - 34 anos,595999,289110,206131,117677,361854,161655,26622,9548,1392,230,,,,,,,,,,,,,,,,,,
        35 - 39 anos,673115,324882,137788,77085,484922,229709,47059,17522,3346,566,,,,,,,,,,,,,,,,,,
        40 - 44 anos,656363,315581,97094,53951,497739,239967,55143,20662,6387,1001,,,,,,,,,,,,,,,,,,
        45 - 49 anos,669581,319873,78063,42317,519010,253006,59930,22601,12578,1949,,,,,,,,,,,,,,,,,,
        50 - 54 anos,641912,304905,57149,29474,506258,250367,56799,21502,21706,3562,,,,,,,,,,,,,,,,,,
        55 - 59 anos,615350,289168,42384,19644,491503,245933,47928,18141,33535,5450,,,,,,,,,,,,,,,,,,
        60 - 64 anos,587987,274187,33006,12875,468071,239316,37006,13783,49904,8213,,,,,,,,,,,,,,,,,,
        65 - 69 anos,517011,235822,26727,8741,396078,207149,23952,8744,70254,11188,,,,,,,,,,,,,,,,,,
        70 - 74 anos,469217,207635,24995,7549,327762,177576,15680,5362,100780,17148,,,,,,,,,,,,,,,,,,
        75 ou mais anos,917597,350696,59423,12961,433980,255446,19582,5402,404612,76887,,,,,,,,,,,,,,,,,,
      Norte,3689682,1766260,1449903,741176,1827335,909507,167110,68639,245334,46938,,,,,,,,,,,,,,,,,,
        Vive em união de facto,172692,86648,113931,56549,5773,3133,44582,23630,8406,3336,,,,,,,,,,,,,,,,,,
          Menos de 15 anos,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
          15 - 19 anos,2399,597,2396,596,0,0,3,1,0,0,,,,,,,,,,,,,,,,,,
          20 - 24 anos,16262,6290,15980,6219,60,13,213,55,9,3,,,,,,,,,,,,,,,,,,
          25 - 29 anos,31510,14847,29706,14318,261,73,1510,452,33,4,,,,,,,,,,,,,,,,,,
          30 - 34 anos,32360,16613,26965,14474,526,216,4728,1905,141,18,,,,,,,,,,,,,,,,,,
          35 - 39 anos,25432,13129,16616,9160,837,393,7651,3522,328,54,,,,,,,,,,,,,,,,,,
          40 - 44 anos,18343,9343,9170,4922,873,432,7684,3866,616,123,,,,,,,,,,,,,,,,,,
          45 - 49 anos,14786,7589,5692,3032,886,447,7267,3901,941,209,,,,,,,,,,,,,,,,,,
          50 - 54 anos,11006,5842,3196,1653,778,466,5923,3412,1109,311,,,,,,,,,,,,,,,,,,
          55 - 59 anos,7957,4510,1824,915,581,392,4392,2804,1160,399,,,,,,,,,,,,,,,,,,
          60 - 64 anos,5274,3159,1046,524,407,282,2716,1862,1105,491,,,,,,,,,,,,,,,,,,
          65 - 69 anos,3167,1975,537,283,270,197,1372,995,988,500,,,,,,,,,,,,,,,,,,
          70 - 74 anos,2039,1307,368,201,160,118,685,510,826,478,,,,,,,,,,,,,,,,,,
          75 ou mais anos,2157,1447,435,252,134,104,438,345,1150,746,,,,,,,,,,,,,,,,,,
        Não vive em união de facto,3516990,1679612,1335972,684627,1821562,906374,122528,45009,236928,43602,,,,,,,,,,,,,,,,,,
          Menos de 15 anos,557233,284853,557233,284853,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
          15 - 19 anos,209678,107610,208816,107401,816,198,21,8,25,3,,,,,,,,,,,,,,,,,,
          20 - 24 anos,197537,101035,181185,96275,15672,4577,614,171,66,12,,,,,,,,,,,,,,,,,,
          25 - 29 anos,201534,100584,125302,71024,72706,28483,3307,1047,219,30,,,,,,,,,,,,,,,,,,
          30 - 34 anos,234484,113621,69775,40261,154231,69769,9951,3514,527,77,,,,,,,,,,,,,,,,,,
          35 - 39 anos,265573,128048,45312,25456,202696,96359,16181,6010,1384,223,,,,,,,,,,,,,,,,,,
          40 - 44 anos,263312,126341,32858,17942,209491,101152,18307,6851,2656,396,,,,,,,,,,,,,,,,,,
          45 - 49 anos,270574,129866,27127,13864,219261,108091,18913,7106,5273,805,,,,,,,,,,,,,,,,,,
          50 - 54 anos,251480,120113,19792,9197,206035,102972,17055,6507,8598,1437,,,,,,,,,,,,,,,,,,
          55 - 59 anos,232347,109814,14720,5725,191064,96714,13797,5242,12766,2133,,,,,,,,,,,,,,,,,,
          60 - 64 anos,209162,98546,11927,3703,169774,88220,9709,3633,17752,2990,,,,,,,,,,,,,,,,,,
          65 - 69 anos,175115,79740,9969,2541,134911,71037,6031,2238,24204,3924,,,,,,,,,,,,,,,,,,
          70 - 74 anos,155931,68397,9306,2221,108339,58815,3925,1337,34361,6024,,,,,,,,,,,,,,,,,,
          75 ou mais anos,293030,111044,22650,4164,136566,79987,4717,1345,129097,25548,,,,,,,,,,,,,,,,,,
      Centro,2327755,1111263,857326,446605,1157494,577093,117604,50039,195331,37526,,,,,,,,,,,,,,,,,,
        Vive em união de facto,136093,68170,88897,44504,4172,2263,35756,18503,7268,2900,,,,,,,,,,,,,,,,,,
          Menos de 15 anos,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
          15 - 19 anos,1673,363,1669,361,0,0,3,1,1,1,,,,,,,,,,,,,,,,,,
          20 - 24 anos,11690,4456,11508,4418,44,11,134,26,4,1,,,,,,,,,,,,,,,,,,
          25 - 29 anos,24231,11234,22825,10856,189,57,1194,320,23,1,,,,,,,,,,,,,,,,,,
          30 - 34 anos,26052,13308,21631,11570,403,164,3903,1557,115,17,,,,,,,,,,,,,,,,,,
          35 - 39 anos,19811,10255,13124,7336,544,219,5919,2666,224,34,,,,,,,,,,,,,,,,,,
          40 - 44 anos,14444,7382,7253,4032,611,275,6194,3007,386,68,,,,,,,,,,,,,,,,,,
          45 - 49 anos,11647,6011,4511,2473,659,362,5790,3009,687,167,,,,,,,,,,,,,,,,,,
          50 - 54 anos,8681,4661,2541,1438,500,305,4806,2709,834,209,,,,,,,,,,,,,,,,,,
          55 - 59 anos,6188,3461,1497,797,438,288,3355,2102,898,274,,,,,,,,,,,,,,,,,,
          60 - 64 anos,4336,2515,879,457,308,218,2203,1470,946,370,,,,,,,,,,,,,,,,,,
          65 - 69 anos,2996,1709,536,266,231,170,1218,841,1011,432,,,,,,,,,,,,,,,,,,
          70 - 74 anos,2012,1256,408,211,121,92,598,457,885,496,,,,,,,,,,,,,,,,,,
          75 ou mais anos,2332,1559,515,289,124,102,439,338,1254,830,,,,,,,,,,,,,,,,,,
        Não vive em união de facto,2191662,1043093,768429,402101,1153322,574830,81848,31536,188063,34626,,,,,,,,,,,,,,,,,,
          Menos de 15 anos,319258,163384,319258,163384,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
          15 - 19 anos,116443,59884,115997,59769,413,102,12,4,21,9,,,,,,,,,,,,,,,,,,
          20 - 24 anos,109442,56866,102530,54788,6544,1983,305,83,63,12,,,,,,,,,,,,,,,,,,
          25 - 29 anos,109876,55517,72907,41804,34963,13120,1884,578,122,15,,,,,,,,,,,,,,,,,,
          30 - 34 anos,131811,64278,42709,25344,82861,36743,5908,2137,333,54,,,,,,,,,,,,,,,,,,
          35 - 39 anos,147792,71370,26260,15538,110788,51925,9950,3775,794,132,,,,,,,,,,,,,,,,,,
