"6.20 - POPULAÇÃO RESIDENTE, SEGUNDO A DIMENSÃO DOS LUGARES POPULAÇÃO ISOLADA, EMBARCADA E CORPO DIPLOMÁTICO POR GRUPO SÓCIO-ECONÓMICO",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Zona Geográfica,Total,,Em lugares até 1999 habitantes,,Em lugares de 2000 a 4999 habitantes,,Em lugares de 5000 a 9999 habitantes,,Em lugares de 10000 a 19999 habitantes,,Em lugares de 20000 a 49999 habitantes,,Em lugares de 50000 a 99999 habitantes,,Em lugares de 100000 a 199999 habitantes,,Em lugares de 200000 a 499999 habitantes,,Em lugares de 500000 a 999999 habitantes,,Em lugares com 1 000 000 habitantes ou mais,,"População isolada, embarcada e corpo diplomático",
Grupo Sócio-Económico,,,,,,,,,,,,,,,,,,,,,,,,
,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
  Portugal,10562178,5046600,3945623,1908061,983197,473773,947768,454631,1252729,597036,1227208,578979,526461,248320,715906,336251,237591,108104,547011,250501,0,0,178684,90944
"      Empresários com profissões intelectuais, científicas e técnicas",40417,21536,6899,3645,3294,1686,3645,1871,5358,2803,5819,3096,2359,1186,3834,2094,2085,1236,6788,3721,0,0,336,198
      Empresários da indústria comércio e serviços,82683,56558,27387,19129,7932,5457,8086,5405,10372,7029,10479,7108,3963,2608,6109,4178,2152,1499,5006,3293,0,0,1197,852
      Empresários do sector primário,1909,1492,933,699,195,155,153,124,151,129,217,185,27,18,37,28,15,13,49,42,0,0,132,99
      Pequenos patrões com profissões intelectuais e científicas,37220,20488,7219,3884,3011,1583,3146,1669,4901,2647,5890,3193,1505,790,3450,1952,2311,1380,5360,3163,0,0,427,227
      Pequenos patrões com profissões técnicas intermédias,30561,19380,8275,5219,2993,1888,3105,1986,4291,2609,4612,2987,1648,1034,2435,1631,842,555,1942,1204,0,0,418,267
      Pequenos patrões da indústria,120475,99752,56667,48088,11558,9551,10542,8738,12883,10401,11211,8826,3784,3145,5940,4852,1548,1134,3751,2884,0,0,2591,2133
      Pequenos patrões do comércio e serviços,131678,69677,46201,25357,13617,7201,12717,6574,17110,8716,16390,8486,6310,2985,8769,4691,2546,1351,6011,3204,0,0,2007,1112
      Pequenos patrões do sector primário,21064,15654,14761,10750,1586,1244,904,750,814,653,700,557,118,107,166,131,42,36,96,62,0,0,1877,1364
      Profissionais intelectuais e científicos independentes,34450,18732,7331,3861,2839,1494,2936,1544,4480,2373,5398,2943,1578,822,2886,1661,1856,1115,4617,2619,0,0,529,300
      Profissionais técnicos intermédios independentes,28395,20026,8141,5731,2883,1995,2722,1881,3838,2678,4067,2920,1437,1036,2211,1668,857,610,1794,1204,0,0,445,303
      Trabalhadores industriais e artesanais independentes,79675,71168,40299,36609,7755,6946,6551,5786,7764,6816,6465,5523,2820,2465,3708,3248,755,602,1781,1538,0,0,1777,1635
      Prestadores de serviços e comerciantes independentes,146523,49250,56176,18893,14899,5085,14379,4847,18018,6030,17147,5928,6958,2006,8951,2966,2635,986,5262,1774,0,0,2098,735
      Trabalhadores independentes do sector primário,39693,30111,30404,22549,2532,2059,1297,1076,1078,880,1046,881,176,156,298,237,37,28,95,69,0,0,2730,2176
      Directores e quadros dirigentes do Estado e empresas,104285,65579,20663,13143,9474,6088,9768,6162,15235,9572,16230,10333,5777,3502,9287,5810,3998,2587,12823,7726,0,0,1030,656
      Dirigentes de pequenas empresas e organizações,26270,14493,6772,3786,2366,1315,2613,1447,3654,2010,3950,2160,1351,707,2154,1204,942,515,2087,1149,0,0,381,200
      Quadros intelectuais e científicos,584265,217736,125731,43500,52329,18783,50867,18390,78999,29645,97197,35458,29511,11431,59693,22910,22620,9068,61858,26621,0,0,5460,1930
