"6.22 - POPULAÇÃO RESIDENTE COM PELO MENOS UMA DIFICULDADE COM 5 OU MAIS ANOS SEGUNDO O TIPO E GRAU DE DIFICULDADE SENTIDO, POR NÚMERO DE DIFICULDADES POR PESSOA E SEXO",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zona geográfica,Total de pessoas c/ pelo menos uma dificuldade,Dificuldade em ver,,Dificuldade em ouvir,,Dificuldade em andar ou subir degraus,,Dificuldade de memória ou concentração,,Dificuldade em tomar banho ou vestir-se sozinho,,Dificuldade em compreender os outros ou fazer-se compreender,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Número de dificuldades / Sexo,,Tem muita dificuldade em efectuar a acção,Não consegue efectuar a acção,Tem muita dificuldade em efectuar a acção,Não consegue efectuar a acção,Tem muita dificuldade em efectuar a acção,Não consegue efectuar a acção,Tem muita dificuldade em efectuar a acção,Não consegue efectuar a acção,Tem muita dificuldade em efectuar a acção,Não consegue efectuar a acção,Tem muita dificuldade em efectuar a acção,Não consegue efectuar a acção,,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,,,,,,,,,,,,,,,
  Portugal                                                   HM,1792719,892860,27659,506342,26860,875129,104871,552937,102440,323451,148106,331860,68029,,,,,,,,,,,,,,,
                                                              H,704307,318600,11962,218603,11430,296350,37607,205539,38851,115416,55196,139871,27067,,,,,,,,,,,,,,,
      Pessoas com 1 dificuldade                              HM,821298,318245,5564,105966,3728,238989,3508,90611,14090,12609,4669,20495,2824,,,,,,,,,,,,,,,
                                                              H,346287,125164,3086,60076,1942,85974,1807,39873,6365,5903,2321,12169,1607,,,,,,,,,,,,,,,
      Pessoas com 2 dificuldades                             HM,407277,192000,3526,103918,5718,226289,16295,112791,11567,66053,19395,51298,5704,,,,,,,,,,,,,,,
                                                              H,158719,67492,1786,50439,2899,73452,7055,44190,5307,25495,8253,27875,3195,,,,,,,,,,,,,,,
      Pessoas com 3 dificuldades                             HM,224595,133993,3609,81491,3103,158365,14076,109998,12613,71065,23439,54175,7858,,,,,,,,,,,,,,,
                                                              H,81639,43968,1573,33532,1386,51164,5165,38864,5311,25343,9325,25393,3893,,,,,,,,,,,,,,,
      Pessoas com 4 dificuldades                             HM,149048,87362,2576,66907,2570,112174,22741,99274,20279,63843,35093,68278,15095,,,,,,,,,,,,,,,
                                                              H,53634,28922,1056,24898,1029,38331,8312,35161,7672,22044,13574,27400,6137,,,,,,,,,,,,,,,
      Pessoas com 5 dificuldades                             HM,88291,68082,3352,54524,3067,67861,17492,65974,15970,47120,26061,59974,11978,,,,,,,,,,,,,,,
                                                              H,30854,23010,1331,19479,1179,23533,5990,22885,5588,15838,9342,21603,4492,,,,,,,,,,,,,,,
