6.23 - POPULAÇÃO RESIDENTE COM PELO MENOS UMA DIFICULDADE COM 5 OU MAIS ANOS SEGUNDO O TIPO E GRAU DE DIFICULDADE SENTIDO  POR GRUPO ETÁRIO E SEXO,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zona geográfica,Total de pessoas c/ pelo menos uma dificuldade,Dificuldade em ver,,Dificuldade em ouvir,,Dificuldade em andar ou subir degraus,,Dificuldade de memória ou concentração,,Dificuldade em tomar banho ou vestir-se sozinho,,Dificuldade em compreender os outros ou fazer-se compreender,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grupo etário e sexo,,Tem muita dificuldade em efectuar a acção,Não consegue efectuar a acção,Tem muita dificuldade em efectuar a acção,Não consegue efectuar a acção,Tem muita dificuldade em efectuar a acção,Não consegue efectuar a acção,Tem muita dificuldade em efectuar a acção,Não consegue efectuar a acção,Tem muita dificuldade em efectuar a acção,Não consegue efectuar a acção,Tem muita dificuldade em efectuar a acção,Não consegue efectuar a acção,,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,,,,,,,,,,,,,,,
  Portugal                                                   HM,1792719,892860,27659,506342,26860,875129,104871,552937,102440,323451,148106,331860,68029,,,,,,,,,,,,,,,
                                                              H,704307,318600,11962,218603,11430,296350,37607,205539,38851,115416,55196,139871,27067,,,,,,,,,,,,,,,
      5 - 9 anos                                             HM,23519,6916,300,2183,314,1699,833,7716,1845,5016,3964,5027,1200,,,,,,,,,,,,,,,
                                                              H,13367,3495,152,1221,157,955,429,4777,1095,2912,2241,3101,694,,,,,,,,,,,,,,,
      10 - 14 anos                                           HM,28695,11383,344,2414,378,2076,935,12893,3128,2204,1574,6097,1325,,,,,,,,,,,,,,,
                                                              H,16141,5513,187,1341,193,1137,504,7948,1882,1345,895,3738,776,,,,,,,,,,,,,,,
      15 - 19 anos                                           HM,24715,11575,423,2437,460,2572,1090,8763,2436,1812,1559,4920,1448,,,,,,,,,,,,,,,
                                                              H,12526,5239,217,1336,249,1281,571,4885,1335,1044,866,2956,822,,,,,,,,,,,,,,,
      20 - 24 anos                                           HM,24474,11947,546,2619,632,3628,1315,7159,2341,2032,1880,4746,1698,,,,,,,,,,,,,,,
                                                              H,11565,4988,298,1359,345,1627,716,3682,1230,1059,998,2649,969,,,,,,,,,,,,,,,
      25 - 29 anos                                           HM,29528,13923,630,3551,820,4870,1471,8547,2730,2543,2147,5694,1921,,,,,,,,,,,,,,,
                                                              H,13883,5655,347,1834,444,2267,791,4330,1422,1302,1087,3252,1045,,,,,,,,,,,,,,,
      30 - 34 anos                                           HM,39760,18096,942,5349,1100,7716,1905,11221,3444,3343,2566,7186,2391,,,,,,,,,,,,,,,
                                                              H,18470,7161,493,2753,560,3681,990,5523,1697,1696,1304,4059,1273,,,,,,,,,,,,,,,
      35 - 39 anos                                           HM,50387,21590,1073,7596,1250,11308,2114,14486,4167,4144,2789,9023,2697,,,,,,,,,,,,,,,
                                                              H,22792,8301,594,3869,636,5233,1138,6696,1981,2141,1436,4930,1435,,,,,,,,,,,,,,,
      40 - 44 anos                                           HM,62619,27821,1030,9924,1248,16088,1983,17907,4253,4971,2556,10463,2718,,,,,,,,,,,,,,,
                                                              H,27694,10499,564,5000,646,7181,1080,7792,1987,2616,1352,5657,1438,,,,,,,,,,,,,,,
      45 - 49 anos                                           HM,92984,50497,1220,14697,1442,26120,2160,23289,4717,6660,2700,12556,2773,,,,,,,,,,,,,,,
                                                              H,39692,18900,683,7441,773,10712,1209,9396,2137,3379,1503,6674,1461,,,,,,,,,,,,,,,
