6.24 - POPULAÇÃO RESIDENTE  C/ PELO MENOS UMA DIFICULDADE COM 15 OU MAIS ANOS SEGUNDO O TIPO E GRAU DE DIFICULDADE SENTIDO POR CONDIÇÃO PERANTE A ACTIVIDADE ECONÓMICA E SEXO,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zona geográfica,Total de pessoas c/ pelo menos uma dificuldade,Dificuldade em ver,,Dificuldade em ouvir,,Dificuldade em andar ou subir degraus,,Dificuldade de memória ou concentração,,Dificuldade em tomar banho ou vestir-se sozinho,,Dificuldade em compreender os outros ou fazer-se compreender,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Condição perante a actividade económica e sexo,,Tem muita dificuldade em efectuar a acção,Não consegue efectuar a acção,Tem muita dificuldade em efectuar a acção,Não consegue efectuar a acção,Tem muita dificuldade em efectuar a acção,Não consegue efectuar a acção,Tem muita dificuldade em efectuar a acção,Não consegue efectuar a acção,Tem muita dificuldade em efectuar a acção,Não consegue efectuar a acção,Tem muita dificuldade em efectuar a acção,Não consegue efectuar a acção,,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,13,,,,,,,,,,,,,,,
  Portugal                                                   HM,1740505,874561,27015,501745,26168,871354,103103,532328,97467,316231,142568,320736,65504,,,,,,,,,,,,,,,
                                                              H,674799,309592,11623,216041,11080,294258,36674,192814,35874,111159,52060,133032,25597,,,,,,,,,,,,,,,
      População ativa                                        HM,384129,212056,4456,69600,6020,97177,3900,84681,13580,14160,3510,36833,5977,,,,,,,,,,,,,,,
                                                              H,180115,92565,2601,40723,3391,41185,2220,36660,6128,7042,1920,21019,3324,,,,,,,,,,,,,,,
        Empregados                                             HM,310414,169487,3814,56798,4971,79149,3322,66186,10474,11687,3001,28357,4709,,,,,,,,,,,,,,,
                                                                H,146068,74097,2269,33426,2846,33471,1931,28751,4782,5825,1678,16274,2666,,,,,,,,,,,,,,,
        Desempregados                                          HM,73715,42569,642,12802,1049,18028,578,18495,3106,2473,509,8476,1268,,,,,,,,,,,,,,,
                                                                H,34047,18468,332,7297,545,7714,289,7909,1346,1217,242,4745,658,,,,,,,,,,,,,,,
      População inativa                                      HM,1356376,662505,22559,432145,20148,774177,99203,447647,83887,302071,139058,283903,59527,,,,,,,,,,,,,,,
                                                              H,494684,217027,9022,175318,7689,253073,34454,156154,29746,104117,50140,112013,22273,,,,,,,,,,,,,,,
        Estudantes                                             HM,24252,12097,385,2238,479,2284,618,7889,1665,1239,694,3703,723,,,,,,,,,,,,,,,
                                                                H,11559,5137,199,1185,248,1053,319,4159,852,697,368,2204,394,,,,,,,,,,,,,,,
        Domésticos                                             HM,88362,48761,423,17827,720,43408,601,23247,2163,7615,672,9215,825,,,,,,,,,,,,,,,
                                                                H,1833,873,25,521,41,641,29,497,83,159,35,354,67,,,,,,,,,,,,,,,
"        Reformados, aposentados ou na reserva                  HM",1081397,531554,18139,382061,15795,655574,84593,359883,63121,262136,118820,230413,44710,,,,,,,,,,,,,,,
                                                                H,406729,183158,7006,159569,5860,221078,27533,125587,20511,88701,40415,88464,14959,,,,,,,,,,,,,,,
        Incapacitados permanentes para o trabalho              HM,90303,33202,2641,15406,1935,44339,11114,34737,12745,23079,15924,27803,10722,,,,,,,,,,,,,,,
                                                                H,45647,14534,1350,7700,941,20868,5767,17246,6604,11722,8343,14927,5701,,,,,,,,,,,,,,,
        Outros casos                                           HM,72062,36891,971,14613,1219,28572,2277,21891,4193,8002,2948,12769,2547,,,,,,,,,,,,,,,
                                                                H,28916,13325,442,6343,599,9433,806,8665,1696,2838,979,6064,1152,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
