"6.26 - POPULAÇÃO RESIDENTE C/ PELO MENOS UMA DIFICULDADE COM 15 OU MAIS ANOS  A VIVER EM EDIFICOS CONSTRUÍDOS ESTRUTURALMENTE  PARA POSSUIREM 3 OU MAIS  ALOJAMENTOS SEGUNDO O TIPO DE DIFICULDADE E SEXO, POR ACESSIBILIDADE A EDIFICIOS E EXISTENCIA DE ELEVADOR",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Zona Geográfica,Total de pessoas c/ pelo menos uma dificuldade,,Dificuldade em ver,,Dificuldade em ouvir,,Dificuldade em andar ou subir degraus,,Dificuldade de memória ou concentração,,Dificuldade em tomar banho ou vestir-se sozinho,,Dificuldade em compreender os outros ou fazer-se compreender,,
,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,
  Portugal,542895,199398,282644,95944,148997,60739,275930,86074,192679,67474,121013,40744,104858,42918,
    Entrada acessível à circulação em cadeira de rodas,208138,76182,106204,35868,56992,22812,106586,33118,75916,26226,50988,16845,42741,16977,
      Com elevador,119129,43354,59459,19970,31673,12631,59189,18298,43516,14931,29037,9530,23908,9420,
      Sem elevador,89009,32828,46745,15898,25319,10181,47397,14820,32400,11295,21951,7315,18833,7557,
    Entrada não acessível à circulação em cadeira de rodas,334757,123216,176440,60076,92005,37927,169344,52956,116763,41248,70025,23899,62117,25941,
      Com elevador,103308,37361,52290,17485,26786,10790,49475,15127,35843,12471,20620,6811,18102,7410,
      Sem elevador,231449,85855,124150,42591,65219,27137,119869,37829,80920,28777,49405,17088,44015,18531,
