"6.27 - POPULAÇÃO RESIDENTE, C/ 15 OU MAIS ANOS, SEGUNDO O GRUPO ETÁRIO, POR CONDIÇÃO PERANTE A ACTIVIDADE ECONÓMICA (SENTIDO RESTRITO) NÍVEL DE ESCOLARIDADE ATINGIDO E SEXO",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"Zona Geográfica                                                                                  Condição perante a actividade económica, nível de escolaridade e sexo",Total,De 15 a 19 anos,De 20 a 24 anos,De 25 a 29 anos,De 30 a 34 anos,De 35 a 39 anos,De 40 a 44 anos,De 45 a 49 anos,De 50 a 54 anos,De 55 a 59 anos,De 60 a 64 anos,De 65 a 69 anos,De 70 a 74 anos,De 75 ou mais anos,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,
  Portugal                                                   HM,8989849,565250,582065,656076,773567,824683,773098,770294,722360,677651,634741,551701,496438,961925,
                                                              H,4242601,288525,293023,324848,378734,402307,374962,370989,346248,322095,298546,253004,220461,368859,
      População ativa                                        HM,5023367,73752,357970,576582,703029,740593,675748,647714,561147,409001,207659,45305,15171,9696,
                                                              H,2603574,41617,186435,287823,352017,373247,343777,333361,295648,226271,116907,28675,10779,7017,
        Nenhum nível de escolaridade                         HM,58773,391,1774,3550,5431,6617,7646,8202,8556,8294,5234,1402,945,731,
                                                              H,32563,220,933,1908,3028,3779,4465,4650,4758,4558,2698,703,498,365,
        Ensino básico                                        HM,2443267,36018,116852,160703,222848,310380,356056,382879,357251,290123,160423,33055,10368,6311,
                                                              H,1398859,23511,75248,100588,132890,177494,197611,211463,197371,162205,88600,20111,7228,4539,
        Ensino básico - 1º ciclo                             HM,866923,1241,5120,9383,23494,52260,91247,146467,178004,198894,122093,25511,8177,5032,
                                                              H,492938,809,3539,6227,14544,30249,51140,81816,100384,113186,66820,15096,5562,3566,
        Ensino básico - 2º ciclo                             HM,607795,5536,19621,29997,69556,114250,127613,108135,80325,33811,14662,3005,828,456,
                                                              H,360422,3959,13975,20042,42148,67520,74971,62386,45253,18924,8337,1960,606,341,
        Ensino básico - 3º ciclo                             HM,968549,29241,92111,121323,129798,143870,137196,128277,98922,57418,23668,4539,1363,823,
                                                              H,545499,18743,57734,74319,76198,79725,71500,67261,51734,30095,13443,3055,1060,632,
        Ensino secundário                                    HM,1227861,32153,144853,182804,207408,186664,160372,139904,104054,48087,16300,3465,1085,712,
                                                              H,618598,15648,74021,93307,104906,91872,77689,68512,52867,26271,9708,2425,835,537,
        Ensino pós-secundário                                HM,71223,1802,15980,19284,17516,14316,2325,0,0,0,0,0,0,0,
                                                              H,38408,949,8649,10643,9302,7621,1244,0,0,0,0,0,0,0,
        Ensino superior                                      HM,1222243,3388,78511,210241,249826,222616,149349,116729,91286,62497,25702,7383,2773,1942,
                                                              H,515146,1289,27584,81377,101891,92481,62768,48736,40652,33237,15901,5436,2218,1576,
      População inativa                                      HM,3966482,491498,224095,79494,70538,84090,97350,122580,161213,268650,427082,506396,481267,952229,
                                                              H,1639027,246908,106588,37025,26717,29060,31185,37628,50600,95824,181639,224329,209682,361842,
      Estudantes                                             HM,660496,450545,169423,25665,6218,3136,1913,1255,1039,644,315,168,96,79,
                                                              H,326183,225154,80695,14504,2894,1103,604,367,336,240,135,74,51,26,
        Nenhum nível de escolaridade                         HM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
                                                              H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
        Ensino básico                                        HM,123594,112006,4999,1633,1096,1072,807,590,564,376,205,112,69,65,
                                                              H,69754,64653,2710,796,395,323,222,154,170,136,92,51,33,19,
        Ensino básico - 1º ciclo                             HM,2644,1309,336,168,115,125,87,82,89,68,78,75,56,56,
                                                              H,1355,738,196,90,51,40,31,34,35,28,33,33,29,17,
        Ensino básico - 2º ciclo                             HM,9367,7477,820,207,181,168,156,108,106,79,43,12,7,3,
                                                              H,5750,4880,462,107,66,59,44,27,40,28,26,7,3,1,
        Ensino básico - 3º ciclo                             HM,111583,103220,3843,1258,800,779,564,400,369,229,84,25,6,6,
                                                              H,62649,59035,2052,599,278,224,147,93,95,80,33,11,1,1,
        Ensino secundário                                    HM,312936,279187,25944,3744,1553,975,584,370,282,178,66,32,13,8,
                                                              H,153430,135533,14492,1973,637,317,159,113,87,66,26,12,11,4,
        Ensino pós-secundário                                HM,15459,6497,8577,385,0,0,0,0,0,0,0,0,0,0,
                                                              H,8721,3492,4978,251,0,0,0,0,0,0,0,0,0,0,
        Ensino superior                                      HM,208507,52855,129903,19903,3569,1089,522,295,193,90,44,24,14,6,
                                                              H,94278,21476,58515,11484,1862,463,223,100,79,38,17,11,7,3,
      Domésticos                                             HM,419726,3674,6424,9851,16462,25700,35511,48203,59193,67913,71314,29997,20490,24994,
                                                              H,9632,682,465,373,438,668,784,1003,1042,1284,1354,560,450,529,
        Nenhum nível de escolaridade                         HM,21111,53,176,319,512,668,891,1231,1630,2348,2847,2046,3549,4841,
                                                              H,548,2,12,13,17,21,31,47,64,68,56,38,71,108,
        Ensino básico                                        HM,347359,2510,4097,6090,10691,18542,27855,39832,50956,61309,65271,26268,15783,18155,
                                                              H,6863,381,193,192,247,395,576,734,758,1022,1169,462,354,380,
        Ensino básico - 1º ciclo                             HM,236293,424,785,1257,2786,6003,11383,21305,32808,50951,57240,22799,13651,14901,
                                                              H,4127,22,23,30,61,114,243,362,470,817,963,387,313,322,
        Ensino básico - 2º ciclo                             HM,57296,558,1014,1581,3802,7111,9786,10667,10434,5082,3750,1469,853,1189,
                                                              H,1190,71,52,42,81,162,183,190,146,92,101,31,18,21,
