"6.30 - POPULAÇÃO RESIDENTE, COM 15 OU MAIS ANOS, SEGUNDO A CONDIÇÃO PERANTE A ACTIVIDADE ECONÓMICA (SENTIDO RESTRITO), POR PRINCIPAL MEIO DE VIDA E SEXO
",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Zona Geográfica,Total ,População empregada,População desempregada,,,População sem actividade económica,,,,,,,,
Principal meio de vida e sexo,,,Total,Procura 1º emprego,Procura novo emprego,Estudante,Doméstica,"Reformada, aposentada ou na reserva",Incapacitada permanente p/o trabalho,Outra situação,,,,
1,2,3,4,5,6,7,8,9,10,11,,,,
  Portugal  HM,8989849,4361187,662180,122310,539870,660496,419726,2339094,141256,405910,,,,
             H,4242601,2275974,327600,56596,271004,326183,9632,1040110,72423,190679,,,,
      Trabalho  HM,4335856,4137469,103792,0,103792,3362,11077,19500,7175,53481,,,,
                H,2281243,2174384,57298,0,57298,1556,926,11509,3546,32024,,,,
      Reforma/ Pensão  HM,2459338,34417,5171,950,4221,617,38926,2285625,75588,18994,,,,
                       H,1089177,23003,1563,361,1202,273,1485,1015515,40212,7126,,,,
      Subsidio de desemprego  HM,299147,36098,207364,12529,194835,2739,1640,3463,1688,46155,,,,
                              H,146829,15850,105763,5879,99884,1032,104,2001,913,21166,,,,
      Subsidio por acidente de trabalho ou doença profissional  HM,18986,7269,996,70,926,58,278,802,8055,1528,,,,
                                                                H,11814,4286,639,40,599,34,33,472,5388,962,,,,
      Rendimento social de inserção  HM,105911,6803,44313,7007,37306,2858,11368,1715,7510,31344,,,,
                                     H,40930,2489,19524,2600,16924,1115,340,665,3644,13153,,,,
"      Outro subsídio temporário (doença, maternidade, etc.)  HM",51207,30700,4472,649,3823,878,1487,1289,6715,5666,,,,
                                                             H,14626,8183,754,95,659,375,24,574,3288,1428,,,,
      Rendimento da propriedade ou da empresa  HM,40733,16341,2056,262,1794,397,7241,6688,759,7251,,,,
                                               H,19727,9939,1190,138,1052,197,545,3456,392,4008,,,,
      Apoio social  HM,39622,2020,7405,1833,5572,8404,4485,2030,6499,8779,,,,
                    H,15190,785,3221,737,2484,3649,120,527,3301,3587,,,,
      A cargo da família  HM,1382836,62893,234479,87344,147135,602739,297172,10041,21586,153926,,,,
                          H,517363,24950,111033,41710,69323,299115,4540,1752,8981,66992,,,,
      Outro  HM,256213,27177,52132,11666,40466,38444,46052,7941,5681,78786,,,,
             H,105702,12105,26615,5036,21579,18837,1515,3639,2758,40233,,,,
    Continente    HM,8563501,4150252,630711,114999,515712,623613,391055,2257145,130074,380651,,,,
                 H,4039957,2163290,309345,53112,256233,308362,8891,1005951,66690,177428,,,,
        Trabalho    HM,4125949,3936509,99675,0,99675,3185,10571,18882,6567,50560,,,,
                    H,2167993,2066435,54763,0,54763,1487,860,11125,3226,30097,,,,
        Reforma/ Pensão    HM,2366476,33254,4956,899,4057,520,35662,2205660,69383,17041,,,,
                           H,1050999,22260,1477,346,1131,219,1403,982266,37047,6327,,,,
        Subsidio de desemprego    HM,286036,34685,198664,11848,186816,2511,1530,3405,1597,43644,,,,
                                  H,138967,15092,100271,5475,94796,936,96,1965,850,19757,,,,
        Subsidio por acidente de trabalho ou doença profissional    HM,17732,6945,963,67,896,55,262,739,7351,1417,,,,
                                                                    H,11036,4082,614,37,577,32,32,433,4961,882,,,,
        Rendimento social de inserção    HM,100389,6475,42395,6614,35781,2672,10187,1630,7132,29898,,,,
                                         H,39022,2353,18653,2491,16162,1042,320,633,3457,12564,,,,
"        Outro subsídio temporário (doença, maternidade, etc.)    HM",47823,28999,4312,619,3693,829,1330,1182,5909,5262,,,,
                                                                 H,13518,7686,721,90,631,360,22,527,2906,1296,,,,
        Rendimento da propriedade ou da empresa    HM,39039,15556,1987,249,1738,365,6965,6514,716,6936,,,,
                                                   H,18807,9416,1148,133,1015,187,525,3353,365,3813,,,,
        Apoio social    HM,36453,1884,6948,1706,5242,7699,4022,1906,5892,8102,,,,
                        H,13911,718,3003,698,2305,3320,108,486,2983,3293,,,,
        A cargo da família    HM,1300656,59944,221197,82050,139147,569437,276857,9620,20295,143306,,,,
