"6.31 - POPULAÇÃO RESIDENTE, COM ACTIVIDADE ECONÓMICA, EMPREGADA SEGUNDO A SITUAÇÃO NA PROFISSÃO E DESEMPREGADA EM SENTIDO RESTRITO, POR GRUPO ETÁRIO E SEXO",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Zona Geográfica,Total ,"População empregada, segundo a situação na profissão",,,,,,,População desempregada,,,,,
Grupo etário e sexo,,Total,Patrão/Empregador,Trabalhador por conta própria ou isolado,Trabalhador Familiar não remunerado,Trabalhador por conta de outrém,Membro activo de cooperativa de produção,Outra situação,Total,Procura 1º emprego,Procura novo emprego,,,
1,2,3,4,5,6,7,8,9,10,11,12,,,
  Portugal  HM,5023367,4361187,459123,286090,24130,3540336,2157,49351,662180,122310,539870,,,
             H,2603574,2275974,297068,167314,9275,1779158,1323,21836,327600,56596,271004,,,
      15 - 19 anos  HM,73752,40362,1668,534,455,36635,72,998,33390,25942,7448,,,
                    H,41617,23786,893,277,298,21735,49,534,17831,13732,4099,,,
      20 - 24 anos  HM,357970,270784,13645,4822,1192,245258,252,5615,87186,44309,42877,,,
                    H,186435,143248,7182,2415,782,130335,170,2364,43187,21439,21748,,,
      25 - 29 anos  HM,576582,495678,32073,13859,1250,438904,218,9374,80904,17790,63114,,,
                    H,287823,248753,17606,7278,728,219032,143,3966,39070,8804,30266,,,
      30 - 34 anos  HM,703029,625096,51020,25892,1388,538810,203,7783,77933,7901,70032,,,
                    H,352017,316210,30561,14232,636,267341,117,3323,35807,3194,32613,,,
      35 - 39 anos  HM,740593,662007,64695,35635,1906,553637,258,5876,78586,6366,72220,,,
                    H,373247,337279,40611,20244,761,272890,145,2628,35968,2267,33701,,,
      40 - 44 anos  HM,675748,601495,65851,40125,2563,488011,285,4660,74253,5408,68845,,,
                    H,343777,308637,42124,22874,868,240523,163,2085,35140,1730,33410,,,
      45 - 49 anos  HM,647714,573435,66668,43653,3274,454961,314,4565,74279,5067,69212,,,
                    H,333361,296813,43721,25504,1070,224378,178,1962,36548,1680,34868,,,
      50 - 54 anos  HM,561147,490857,59207,40425,3540,383596,238,3851,70290,4265,66025,,,
                    H,295648,259810,39709,24181,1060,193052,147,1661,35838,1491,34347,,,
      55 - 59 anos  HM,409001,351913,48886,35945,3453,260322,172,3135,57088,3498,53590,,,
                    H,226271,194519,33934,21658,1119,136241,104,1463,31752,1459,30293,,,
      60 - 64 anos  HM,207659,179671,33711,27862,3051,112989,99,1959,27988,1706,26282,,,
                    H,116907,100555,23907,16758,1058,57764,74,994,16352,771,15581,,,
      65 - 69 anos  HM,45305,45022,12722,9865,1135,20441,32,827,283,58,225,,,
                    H,28675,28568,9695,6615,432,11361,26,439,107,29,78,,,
      70 - 74 anos  HM,15171,15171,5435,4287,535,4505,8,401,0,0,0,,,
                    H,10779,10779,4295,2978,270,2999,5,232,0,0,0,,,
      75 ou mais anos  HM,9696,9696,3542,3186,388,2267,6,307,0,0,0,,,
                       H,7017,7017,2830,2300,193,1507,2,185,0,0,0,,,
    Continente    HM,4780963,4150252,440175,272672,22511,3365532,2018,47344,630711,114999,515712,,,
                 H,2472635,2163290,284135,158347,8412,1690213,1244,20939,309345,53112,256233,,,
        15 - 19 anos    HM,69360,38230,1562,489,393,34790,67,929,31130,24212,6918,,,
