" 6.32 - POPULAÇÃO RESIDENTE ACTIVA, SEGUNDO O ESTADO CIVIL LEGAL E SEXO, POR GRUPO ETÁRIO E IDADE ANO A ANO",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Zona Geográfica,Total,,Solteiro,,Casado,,Divorciado,,Viúvo,,,,,
,,,,,,,,,,,,,,
Grupo etário e idade ano a ano,HM,H,HM,H,HM,H,HM,H,HM,H,,,,
1,2,3,4,5,6,7,8,9,10,11,,,,
  Portugal,5023367,2603574,1609956,873678,2900435,1531338,427667,180374,85309,18184,,,,
      15 - 19 anos,73752,41617,72545,41320,1165,279,35,16,7,2,,,,
        15 anos,674,359,674,359,0,0,0,0,0,0,,,,
        16 anos,2495,1425,2475,1417,19,7,1,1,0,0,,,,
        17 anos,8158,4799,8103,4793,54,6,1,0,0,0,,,,
        18 anos,23700,13338,23488,13284,206,50,6,4,0,0,,,,
        19 anos,38725,21696,37805,21467,886,216,27,11,7,2,,,,
      20 - 24 anos,357970,186435,327212,176525,29007,9439,1699,459,52,12,,,,
        20 anos,50286,28082,48514,27597,1669,459,94,23,9,3,,,,
        21 anos,61004,33183,57666,32206,3167,929,162,44,9,4,,,,
        22 anos,72200,37534,66893,35957,5002,1495,296,79,9,3,,,,
        23 anos,82404,41720,74097,38942,7837,2647,459,130,11,1,,,,
        24 anos,92076,45916,80042,41823,11332,3909,688,183,14,1,,,,
      25 - 29 anos,576582,287823,409393,220872,154382,63006,12428,3898,379,47,,,,
        25 anos,100091,50076,82865,43846,16059,5910,1137,315,30,5,,,,
        26 anos,110249,55067,86113,45969,22435,8620,1654,473,47,5,,,,
        27 anos,116780,58549,84325,45759,30115,12048,2273,731,67,11,,,,
        28 anos,123284,61326,81213,44025,38796,16247,3173,1041,102,13,,,,
        29 anos,126178,62805,74877,41273,46977,20181,4191,1338,133,13,,,,
      30 - 34 anos,703029,352017,302059,168209,357656,167534,41952,16062,1362,212,,,,
        30 anos,130800,65115,70036,38831,55010,24297,5574,1958,180,29,,,,
        31 anos,133881,67078,64299,35967,62806,28690,6569,2391,207,30,,,,
