"6.34 - POPULAÇÃO RESIDENTE  EMPREGADA, SEGUNDO A SITUAÇÃO NA PROFISSÃO E SEXO, POR RAMOS DE ACTIVIDADE ECONÓMICA",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Zona Geográfica,Total,,Patrão/Empregador,,Trabalhador por conta própria ou isolado,,Trabalhador familiar não remunerado,,Trabalhador por conta de outrém,,Membro activo de cooperativa de produção,,Outra situação,,
,,,,,,,,,,,,,,,
Ramos de actividade económica,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,
  Portugal,4361187,2275974,459123,297068,286090,167314,24130,9275,3540336,1779158,2157,1323,49351,21836,
      Culturas temporárias,71525,48139,12946,8890,19728,14815,5146,3077,32661,20672,91,61,953,624,
      Culturas permanentes,13557,8749,1819,1369,1548,1306,348,229,9673,5728,24,17,145,100,
      Cultura de materiais de propagação vegetativa,6,3,1,0,0,0,0,0,5,3,0,0,0,0,
      Produção animal,17954,12253,4045,2884,4221,3405,771,468,8743,5391,47,29,127,76,
      Agricultura e produção animal combinadas,6367,4533,1356,1008,1380,1056,445,231,3103,2185,13,10,70,43,
      Actividades dos serviços relacionados com a agricultura e com a produção animal,769,607,74,63,70,63,3,3,616,475,0,0,6,3,
"      Caça, repovoamento cinegético  e actividades dos serviços relacionados",215,188,10,7,16,16,0,0,187,163,0,0,2,2,
      Silvicultura e outras actividades florestais,1977,1405,275,219,185,151,18,14,1472,1004,3,2,24,15,
      Exploração florestal,5986,5243,1061,944,525,501,30,24,4301,3713,9,8,60,53,
"      Extracção de cortiça, resina e apanha de outros produtos florestais, excepto madeira",757,577,73,67,67,58,1,1,608,445,0,0,8,6,
      Actividades dos serviços relacionados com a silvicultura e exploração florestal,1117,879,66,52,32,30,3,3,1004,786,1,1,11,7,
      Pesca,12788,11613,2062,1877,1678,1558,77,52,8827,8001,26,22,118,103,
      Aquicultura,368,285,30,24,68,57,1,0,264,201,0,0,5,3,
      Extracção de hulha (inclui antracite),189,161,22,19,10,10,1,1,155,130,0,0,1,1,
      Extracção de lenhite,1,0,0,0,0,0,0,0,1,0,0,0,0,0,
      Extracção de petróleo bruto,251,205,9,7,1,1,0,0,239,195,0,0,2,2,
      Extracção de gás natural,26,20,2,1,0,0,0,0,24,19,0,0,0,0,
      Extracção e preparação de minérios de ferro,13,12,1,1,0,0,0,0,11,10,0,0,1,1,
      Extracção e preparação de minérios metálicos não ferrosos,1376,1244,23,18,5,4,2,1,1341,1218,1,1,4,2,
"      Extracção de pedra, areia e argila",9840,8937,859,722,166,155,11,10,8764,8017,6,6,34,27,
"      Indústrias extractivas, n.e.",1152,927,101,84,24,18,1,1,1020,819,1,1,5,4,
"      Actividades dos serviços relacionados com a extracção de petróleo e gás, excepto a prospecção",32,29,0,0,1,1,0,0,31,28,0,0,0,0,
      Outras actividades dos serviços relacionados com as indústrias extractivas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"      Abate de animais, preparação e conservação de carne e de produtos à base de carne",12456,5953,725,467,201,134,29,17,11444,5304,19,10,38,21,
"      Preparação e conservação de peixes, crustáceos e moluscos",6543,1993,264,149,20,13,7,5,6211,1813,16,3,25,10,
      Preparação e conservação de frutos e de produtos hortícolas,2130,968,111,61,15,6,5,0,1990,896,1,1,8,4,
      Produção de óleos e gorduras animais e vegetais,1625,1078,123,94,56,42,5,3,1431,935,2,1,8,3,
      Indústria de lacticínios,7429,3871,561,324,196,151,52,25,6572,3343,12,7,36,21,
"      Transformação de cereais e leguminosas; fabricação de amidos, de féculas e de produtos afins",1805,1348,119,100,49,37,7,7,1622,1197,2,2,6,5,
      Fabricação de produtos de padaria e outros produtos à base de farinha,22965,12351,3862,2516,591,304,169,76,18184,9365,44,30,115,60,
      Fabricação de outros produtos alimentares,8029,3946,409,261,111,35,17,8,7444,3610,3,2,45,30,
      Fabricação de alimentos para animais,3583,2740,208,158,61,45,8,7,3293,2520,1,1,12,9,
      Indústria das bebidas,11662,7300,613,454,186,149,30,22,10749,6621,12,8,72,46,
      Indústria do tabaco,828,580,14,11,1,1,0,0,810,567,0,0,3,1,
      Preparação e fiação de fibras têxteis,4676,2558,201,122,83,35,8,2,4375,2393,2,2,7,4,
      Tecelagem de têxteis,1723,1085,100,63,35,12,5,4,1580,1004,1,0,2,2,
      Acabamento de têxteis,7079,4849,388,262,75,34,8,6,6591,4536,5,4,12,7,
      Fabricação de outros têxteis,16598,7534,1213,707,543,138,37,9,14719,6654,26,6,60,20,
"      Confecção de artigos de vestuário, excepto artigos de peles com pêlo",108048,18474,7658,2902,4336,634,267,50,95311,14777,82,4,394,107,
      Fabricação de artigos de peles com pêlo,1,0,0,0,0,0,0,0,1,0,0,0,0,0,
      Fabricação de artigos de malha,6946,3181,560,344,119,50,16,4,6232,2774,4,3,15,6,
"      Curtimenta e acabamento de peles sem pêlo e com pêlo; fabricação de artigos de viagem e de uso pessoal, de marroquinaria, de correeiro e de seleiro",4271,2532,387,264,103,72,10,3,3748,2177,9,6,14,10,
      Indústria do calçado,38288,15493,2601,1627,704,379,88,40,34749,13389,30,10,116,48,
"      Serração, aplainamento e impregnação da madeira",9484,7724,1207,1058,380,370,23,22,7827,6235,10,7,37,32,
"      Fabricação de artigos de madeira, de cortiça, de espartaria e de cestaria, excepto mobiliário",33972,27444,4709,4174,3555,3446,106,80,25379,19546,27,24,196,174,
"      Fabricação de pasta, de papel e cartão (excepto canelado)",7643,6105,233,184,25,20,2,1,7352,5876,4,3,27,21,
      Fabricação de papel e de cartão canelados e de artigos de papel e de cartão,5478,3505,392,270,42,28,4,3,5014,3186,1,1,25,17,
      Impressão e actividades dos serviços relacionados com a impressão,22642,14680,2910,2068,895,650,42,25,18544,11798,26,19,225,120,
      Reprodução de suportes gravados,182,143,29,23,45,38,0,0,101,77,0,0,7,5,
      Fabricação de produtos de coqueria,12,12,0,0,0,0,0,0,12,12,0,0,0,0,
      Fabricação de produtos petrolíferos refinados e de aglomerados de combustíveis,4346,3418,106,88,12,11,2,2,4194,3293,1,1,31,23,
"      Fabricação de produtos químicos de base, adubos e compostos azotados, matérias plásticas e borracha sintética, sob formas primárias",7143,5248,465,381,65,56,4,2,6556,4777,4,0,49,32,
      Fabricação de pesticidas e  de outros produtos agroquímicos,248,151,20,13,2,0,1,1,225,137,0,0,0,0,
"      Fabricação de tintas, vernizes e produtos similares; mastiques; tintas de impressão",2682,2033,166,132,16,11,3,2,2487,1879,1,1,9,8,
"      Fabricação de sabões e detergentes, produtos de limpeza e de polimento, perfumes e produtos de higiene",3305,1582,272,163,75,40,5,3,2928,1365,1,0,24,11,
      Fabricação de outros produtos químicos,981,763,117,101,17,15,0,0,840,643,0,0,7,4,
      Fabricação de fibras sintéticas ou artificiais,773,592,29,24,1,1,0,0,741,565,0,0,2,2,
