"6.35 - POPULAÇÃO RESIDENTE EMPREGADA, SEGUNDO A SITUAÇÃO NA PROFISSÃO E SEXO, POR RAMOS DE ACTIVIDADE ECONÓMICA E HORAS DE TRABALHO NA SEMANA DE REFERÊNCIA",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Zona Geográfica   ,Total,,Patrão/Empregador,,Trabalhador por conta própria ou isolado,,Trabalhador familiar não remunerado,,Trabalhador por conta de outrém,,Membro activo de cooperativa de produção,,Outra situação,
 Ramos de actividade económica Horas de trabalho na semana de referência,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
    Portugal,4361187,2275974,459123,297068,286090,167314,24130,9275,3540336,1779158,2157,1323,49351,21836
        1 - 4 horas,41317,16482,6055,3027,9357,4247,0,0,24227,8421,22,7,1656,780
        5 - 14 horas,185253,83770,25447,14528,20223,9287,0,0,134928,57994,197,111,4458,1850
        15 - 29 horas,175906,53967,15338,7574,20084,8134,5410,2067,130178,34335,97,40,4799,1817
        30 - 34 horas,132151,50681,13490,6943,16006,8276,1537,571,97588,33472,75,38,3455,1381
        35 - 39 horas,793300,314627,39217,20767,27217,15789,2018,828,715111,273848,160,96,9577,3299
        40 - 44 horas,2048628,1107394,154828,99425,86615,53960,4995,2120,1787315,944775,920,541,13955,6573
        45 ou mais horas,984632,649053,204748,144804,106588,67621,10170,3689,650989,426313,686,490,11451,6136
"        Agricultura, produção animal, caça e actividades dos serviços relacionados",110393,74472,20251,14221,26963,20661,6713,4008,54988,34617,175,117,1303,848
          1 - 4 horas,2014,1323,370,240,866,613,0,0,720,432,2,2,56,36
          5 - 14 horas,4074,2500,757,484,1190,806,0,0,2003,1136,11,7,113,67
          15 - 29 horas,5360,2931,593,331,1479,944,1255,787,1895,783,5,2,133,84
          30 - 34 horas,4199,2595,677,418,1559,1043,483,295,1369,767,5,4,106,68
