"6.38 - POPULAÇÃO RESIDENTE, EMPREGADA, SEGUNDO O GRUPO ETÁRIO, POR NÍVEL DE ESCOLARIDADE E SEXO",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Zona Geográfica      ,Total,De 15 a 19 anos,De 20 a 24 anos,De 25 a 29 anos,De 30 a 34 anos,De 35 a 39 anos,De 40 a 44 anos,De 45 a 49 anos,De 50 a 54 anos,De 55 a 59 anos,De 60 a 64 anos,De 65 a 69 anos,De 70 a 74 anos,De 75 ou mais anos,,,
Nível de escolaridade e sexo,,,,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,,,
  Portugal  HM,4361187,40362,270784,495678,625096,662007,601495,573435,490857,351913,179671,45022,15171,9696,,,
             H,2275974,23786,143248,248753,316210,337279,308637,296813,259810,194519,100555,28568,10779,7017,,,
      Nenhum nível de escolaridade  HM,49381,188,1320,2946,4580,5600,6453,6884,7067,6842,4435,1390,945,731,,,
                                    H,27268,119,708,1614,2601,3234,3796,3882,3860,3673,2219,699,498,365,,,
      Ensino básico  HM,2059119,19778,85987,130479,187843,265665,306956,329730,303427,243035,136710,32830,10368,6311,,,
                     H,1192887,13668,57001,83494,114449,154770,172806,184185,169720,136151,74841,20035,7228,4539,,,
        Ensino básico - 1º ciclo  HM,729348,552,2993,6467,17926,41927,75761,124044,150145,166487,104492,25345,8177,5032,,,
                                  H,415864,379,2168,4455,11311,24497,42571,69605,85483,94741,56478,15048,5562,3566,,,
          Completo  HM,672413,412,2425,5206,15028,36544,68511,115046,139904,156707,97502,23303,7393,4432,,,
                    H,382660,278,1746,3546,9290,20993,37986,64065,79433,89171,53519,14226,5164,3243,,,
          Incompleto  HM,49396,115,486,1089,2490,4600,6185,7553,8910,8487,6282,1891,734,574,,,
                      H,29108,84,363,806,1778,3115,4031,4741,5356,4843,2584,736,364,307,,,
          A frequentar  HM,7539,25,82,172,408,783,1065,1445,1331,1293,708,151,50,26,,,
                        H,4096,17,59,103,243,389,554,799,694,727,375,86,34,16,,,
        Ensino básico - 2º ciclo  HM,519010,2519,12934,22882,59379,100027,112834,94900,68772,28226,12274,2979,828,456,,,
                                  H,310776,1913,9587,15591,36367,59765,67108,55367,39265,15935,6981,1950,606,341,,,
          Completo  HM,461083,2085,10923,19893,54394,91737,101597,82890,59811,23959,10292,2455,671,376,,,
                    H,274724,1568,8070,13477,33216,54733,60347,48004,33929,13280,5757,1579,486,278,,,
          Incompleto  HM,48637,341,1717,2461,3667,6236,9263,10504,8029,3860,1840,494,147,78,,,
                      H,30996,276,1316,1809,2412,3928,5649,6570,4895,2460,1152,355,113,61,,,
          A frequentar  HM,9290,93,294,528,1318,2054,1974,1506,932,407,142,30,10,2,,,
                        H,5056,69,201,305,739,1104,1112,793,441,195,72,16,7,2,,,
        Ensino básico - 3º ciclo  HM,810761,16707,70060,101130,110538,123711,118361,110786,84510,48322,19944,4506,1363,823,,,
                                  H,466247,11376,45246,63448,66771,70508,63127,59213,44972,25475,11382,3037,1060,632,,,
          Completo  HM,614157,13529,55331,78572,82991,89349,84923,80615,67008,40050,16371,3635,1108,675,,,
                    H,341143,9264,35232,48289,48623,48723,42751,40759,34134,20451,9128,2418,857,514,,,
          Incompleto  HM,164205,2419,12232,18901,22431,27985,27941,25895,14955,7054,3217,799,235,141,,,
