"6.39 - POPULAÇÃO RESIDENTE EMPREGADA, SEGUNDO O SECTOR DE ACTIVIDADE ECONÓMICA E SEXO, POR SITUAÇÃO NA PROFISSÃO",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Zona Geográfica,Total,,Primário,,Secundário,,Terciário,,,,,,,,
,,,,,,,Total,,Serviços de natureza social,,Serviços relacionados com actividade económica,,,,
Situação na profissão,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,,,
  Portugal,4361187,2275974,133386,94474,1154709,831835,3073092,1349665,1254273,389423,1818819,960242,,,
      Empregador,459123,297068,23818,17404,118696,97960,316609,181704,59406,19628,257203,162076,,,
      Trabalhador por conta própria,286090,167314,29518,23016,54501,47330,202071,96968,46748,9097,155323,87871,,,
      Trabalhador familiar não remunerado,24130,9275,6843,4102,2331,1646,14956,3527,5935,142,9021,3385,,,
      Trabalhador por conta de outrem,3540336,1779158,71464,48767,972008,679483,2496864,1050908,1119421,353975,1377443,696933,,,
      Membro de uma cooperativa de produção,2157,1323,214,150,905,591,1038,582,204,49,834,533,,,
      Outra situação,49351,21836,1529,1035,6268,4825,41554,15976,22559,6532,18995,9444,,,
    Continente,4150252,2163290,121055,84414,1115357,798308,2913840,1280568,1179316,364528,1734524,916040,,,
        Empregador,440175,284135,21646,15642,114569,94294,303960,174199,57109,18900,246851,155299,,,
        Trabalhador por conta própria,272672,158347,25337,19758,52431,45530,194904,93059,44960,8824,149944,84235,,,
        Trabalhador familiar não remunerado,22511,8412,6377,3758,2067,1405,14067,3249,5610,122,8457,3127,,,
        Trabalhador por conta de outrem,3365532,1690213,66063,44157,939434,651913,2360035,994143,1049914,330404,1310121,663739,,,
        Membro de uma cooperativa de produção,2018,1244,189,131,847,554,982,559,192,46,790,513,,,
        Outra situação,47344,20939,1443,968,6009,4612,39892,15359,21531,6232,18361,9127,,,
      Norte,1501883,804289,43023,30178,533848,360081,925012,414030,379768,115230,545244,298800,,,
          Empregador,156436,103997,8327,5818,49849,39433,98260,58746,17842,6256,80418,52490,,,
          Trabalhador por conta própria,99550,57904,10601,7994,19682,16288,69267,33622,15227,2820,54040,30802,,,
          Trabalhador familiar não remunerado,9663,3807,3508,2136,934,596,5221,1075,2493,47,2728,1028,,,
          Trabalhador por conta de outrem,1220150,631315,19836,13742,460633,301846,739681,315727,337057,103990,402624,211737,,,
          Membro de uma cooperativa de produção,805,441,69,46,451,252,285,143,60,12,225,131,,,
          Outra situação,15279,6825,682,442,2299,1666,12298,4717,7089,2105,5209,2612,,,
      Centro,940211,497941,35018,23810,282800,207261,622393,266870,272878,82100,349515,184770,,,
          Empregador,102495,68698,6617,4694,30533,26052,65345,37952,11006,3536,54339,34416,,,
          Trabalhador por conta própria,70539,42865,8307,6199,15839,14440,46393,22226,9909,1783,36484,20443,,,
          Trabalhador familiar não remunerado,6836,2371,2204,1194,515,348,4117,829,1788,27,2329,802,,,
          Trabalhador por conta de outrem,749892,379596,17413,11396,234387,165261,498092,202939,245089,75433,253003,127506,,,
          Membro de uma cooperativa de produção,420,242,43,30,210,142,167,70,48,7,119,63,,,
          Outra situação,10029,4169,434,297,1316,1018,8279,2854,5038,1314,3241,1540,,,
      Lisboa,1223276,604856,8810,5794,203141,153998,1011325,445064,377982,117537,633343,327527,,,
          Empregador,128007,77154,1784,1287,22909,19094,103314,56773,22427,7263,80887,49510,,,
          Trabalhador por conta própria,64916,34335,1223,969,10104,8684,53589,24682,14574,3056,39015,21626,,,
          Trabalhador familiar não remunerado,3636,1304,210,135,397,303,3029,866,938,34,2091,832,,,
          Trabalhador por conta de outrem,1009021,483858,5474,3319,167846,124400,835701,356139,332807,104926,502894,251213,,,
          Membro de uma cooperativa de produção,539,393,20,14,136,120,383,259,66,20,317,239,,,
          Outra situação,17157,7812,99,70,1749,1397,15309,6345,7170,2238,8139,4107,,,
      Alentejo,298691,159956,28062,19956,65576,51351,205053,88649,96445,32299,108608,56350,,,
          Empregador,29332,19061,3877,3023,6433,5487,19022,10551,3059,877,15963,9674,,,
          Trabalhador por conta própria,21636,13320,3540,3119,3579,3147,14517,7054,2803,548,11714,6506,,,
          Trabalhador familiar não remunerado,1467,558,333,214,133,87,1001,257,280,8,721,249,,,
          Trabalhador por conta de outrem,243077,125641,20086,13444,54982,42272,168009,69925,88832,30508,79177,39417,,,
          Membro de uma cooperativa de produção,162,105,51,35,35,26,76,44,11,5,65,39,,,
          Outra situação,3017,1271,175,121,414,332,2428,818,1460,353,968,465,,,
      Algarve,186191,96248,6142,4676,29992,25617,150057,65955,52243,17362,97814,48593,,,
          Empregador,23905,15225,1041,820,4845,4228,18019,10177,2775,968,15244,9209,,,
