"6.40 - TRABALHADORES POR CONTA DE OUTRÉM, SEGUNDO O NÚMERO DE HORAS DE TRABALHO NA SEMANA DE REFERÊNCIA  E SEXO, POR RAMOS DE ACTIVIDADE ECONÓMICA",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Zona Geográfica,Total,,De 1 h a menos de 5 h,,De 5 h a menos de 15 h,,De 15 h a menos de 30 h,,De 30 h a menos de 35 h,,De 35 h a menos de 40 h,,De 40 h a menos de 45 h,, 45 h ou mais,
Ramos de actividade económica,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
  Portugal,3540336,1779158,24227,8421,134928,57994,130178,34335,97588,33472,715111,273848,1787315,944775,650989,426313
      Culturas temporárias,32661,20672,515,305,1289,722,1316,553,916,522,3532,2131,18440,11508,6653,4931
      Culturas permanentes,9673,5728,80,44,306,167,291,119,244,123,925,504,6383,3735,1444,1036
      Cultura de materiais de propagação vegetativa,5,3,1,1,1,0,0,0,0,0,0,0,2,1,1,1
      Produção animal,8743,5391,80,53,288,171,195,75,149,84,689,374,4369,2451,2973,2183
      Agricultura e produção animal combinadas,3103,2185,39,26,95,57,86,32,47,28,329,171,1500,1050,1007,821
      Actividades dos serviços relacionados com a agricultura e com a produção animal,616,475,3,1,20,15,3,2,9,7,108,62,342,275,131,113
"      Caça, repovoamento cinegético  e actividades dos serviços relacionados",187,163,2,2,4,4,4,2,4,3,26,19,92,79,55,54
      Silvicultura e outras actividades florestais,1472,1004,8,6,43,25,23,8,27,19,250,159,933,626,188,161
      Exploração florestal,4301,3713,24,20,138,114,49,39,77,62,512,395,2664,2296,837,787
"      Extracção de cortiça, resina e apanha de outros produtos florestais, excepto madeira",608,445,2,0,25,18,6,5,5,4,54,41,435,310,81,67
      Actividades dos serviços relacionados com a silvicultura e exploração florestal,1004,786,8,5,27,20,5,4,21,15,379,288,442,351,122,103
      Pesca,8827,8001,79,71,391,331,278,234,310,259,677,529,1934,1551,5158,5026
