"6.44 - POPULAÇÃO RESIDENTE, EMPREGADA, E QUE EM 31 DE DEZEMBRO DE 2009 RESIDIA NO ESTRANGEIRO, SEGUNDO A SITUAÇÃO NA PROFISSÃO E SEXO, POR GRUPO ETÁRIO",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Zona Geográfica,Total,,Patrão/Empregador,,Trabalhador por conta própria ou isolado,,Trabalhador familiar não remunerado,,Trabalhador por conta de outrém,,Membro activo  de cooperativa de produção,,Outra situação,
Grupo etário,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
  Portugal,28499,17897,2738,1798,1679,873,138,56,23039,14696,22,17,883,457
      15 - 19 anos,647,370,40,20,14,5,9,2,561,330,3,3,20,10
      20 - 24 anos,3587,2062,252,144,116,51,17,8,3082,1798,6,4,114,57
      25 - 29 anos,5761,3273,447,248,250,126,23,8,4797,2775,5,3,239,113
      30 - 34 anos,5185,3167,474,288,267,132,15,6,4217,2636,0,0,212,105
      35 - 39 anos,3963,2566,431,288,260,128,15,7,3159,2090,3,2,95,51
      40 - 44 anos,2854,1925,291,192,215,119,13,6,2268,1569,0,0,67,39
      45 - 49 anos,2534,1736,281,216,188,96,10,5,2013,1391,1,1,41,27
      50 - 54 anos,1875,1315,217,162,160,93,11,5,1445,1031,3,3,39,21
      55 - 59 anos,1290,909,173,128,107,66,7,0,975,699,0,0,28,16
      60 - 64 anos,610,431,82,65,76,42,15,7,419,304,1,1,17,12
      65 - 69 anos,133,97,35,32,17,11,3,2,68,47,0,0,10,5
      70 - 74 anos,39,30,9,9,6,3,0,0,24,18,0,0,0,0
      75 ou mais anos,21,16,6,6,3,1,0,0,11,8,0,0,1,1
    Continente,27419,17170,2588,1690,1606,820,135,54,22218,14150,20,16,852,440
        15 - 19 anos,633,360,39,19,14,5,9,2,548,321,3,3,20,10
        20 - 24 anos,3459,1984,243,139,112,50,17,8,2972,1730,5,3,110,54
        25 - 29 anos,5549,3142,427,235,242,118,23,8,4622,2669,4,3,231,109
        30 - 34 anos,4989,3037,451,272,255,121,14,5,4067,2540,0,0,202,99
        35 - 39 anos,3807,2460,404,266,250,123,14,7,3043,2011,3,2,93,51
        40 - 44 anos,2741,1839,273,182,204,110,13,6,2184,1502,0,0,67,39
        45 - 49 anos,2442,1669,264,203,181,92,9,4,1947,1343,1,1,40,26
        50 - 54 anos,1821,1277,208,155,157,91,11,5,1405,1004,3,3,37,19
        55 - 59 anos,1234,866,159,117,100,61,7,0,941,672,0,0,27,16
        60 - 64 anos,566,403,75,60,68,36,15,7,391,287,1,1,16,12
        65 - 69 anos,124,93,31,28,16,11,3,2,65,47,0,0,9,5
        70 - 74 anos,36,27,8,8,5,2,0,0,23,17,0,0,0,0
        75 ou mais anos,18,13,6,6,2,0,0,0,10,7,0,0,0,0
      Norte,8445,5772,711,504,525,284,51,27,6930,4827,5,4,223,126
          15 - 19 anos,114,68,5,3,2,1,4,2,97,58,0,0,6,4
          20 - 24 anos,956,572,64,41,29,15,6,2,832,500,0,0,25,14
          25 - 29 anos,1735,1075,119,71,84,43,9,6,1460,920,2,1,61,34
          30 - 34 anos,1432,941,114,68,76,45,4,1,1182,800,0,0,56,27
          35 - 39 anos,1168,835,115,85,81,41,2,1,941,691,1,1,28,16
          40 - 44 anos,880,666,60,51,72,38,6,4,728,564,0,0,14,9
          45 - 49 anos,866,639,89,70,60,29,5,4,700,528,0,0,12,8
          50 - 54 anos,654,499,63,47,61,40,3,3,515,402,2,2,10,5
          55 - 59 anos,427,321,52,41,30,17,3,0,337,259,0,0,5,4
          60 - 64 anos,160,113,20,17,21,9,6,2,108,80,0,0,5,5
          65 - 69 anos,40,33,6,6,8,6,3,2,22,19,0,0,1,0
          70 - 74 anos,10,8,3,3,0,0,0,0,7,5,0,0,0,0
          75 ou mais anos,3,2,1,1,1,0,0,0,1,1,0,0,0,0
      Centro,5129,3390,459,314,316,180,24,7,4187,2817,4,4,139,68
          15 - 19 anos,100,61,7,3,1,1,3,0,88,56,1,1,0,0
          20 - 24 anos,568,352,30,17,15,10,1,1,504,316,0,0,18,8
          25 - 29 anos,943,552,75,42,39,24,1,0,790,471,1,1,37,14
          30 - 34 anos,907,576,79,51,44,17,0,0,751,489,0,0,33,19
          35 - 39 anos,697,474,66,45,46,23,3,1,566,397,0,0,16,8
          40 - 44 anos,560,407,53,35,44,31,1,0,445,331,0,0,17,10
          45 - 49 anos,495,351,50,40,50,27,1,0,390,280,0,0,4,4
          50 - 54 anos,377,278,39,33,28,15,5,2,298,226,1,1,6,1
          55 - 59 anos,292,201,32,22,26,20,3,0,228,157,0,0,3,2
          60 - 64 anos,148,109,17,16,18,10,6,3,104,79,1,1,2,0
          65 - 69 anos,26,18,7,6,2,1,0,0,14,9,0,0,3,2
          70 - 74 anos,12,9,2,2,2,1,0,0,8,6,0,0,0,0
          75 ou mais anos,4,2,2,2,1,0,0,0,1,0,0,0,0,0
      Lisboa,10220,5720,1101,671,570,252,37,11,8098,4572,5,4,409,210
          15 - 19 anos,303,161,25,12,9,3,1,0,256,140,1,1,11,5
          20 - 24 anos,1360,718,125,69,56,22,5,3,1116,598,3,2,55,24
          25 - 29 anos,2168,1100,195,103,102,40,9,1,1755,904,0,0,107,52
          30 - 34 anos,2051,1142,209,123,107,44,5,2,1633,926,0,0,97,47
          35 - 39 anos,1454,840,172,109,93,49,6,3,1138,653,1,1,44,25
          40 - 44 anos,944,526,117,72,62,23,4,2,728,410,0,0,33,19
          45 - 49 anos,767,476,94,66,43,21,3,0,609,379,0,0,18,10
          50 - 54 anos,557,338,64,46,45,20,2,0,428,261,0,0,18,11
          55 - 59 anos,369,247,51,34,30,16,1,0,270,188,0,0,17,9
          60 - 64 anos,184,125,30,20,17,11,1,0,130,89,0,0,6,5
          65 - 69 anos,43,31,14,12,4,2,0,0,22,14,0,0,3,3
          70 - 74 anos,12,9,3,3,2,1,0,0,7,5,0,0,0,0
          75 ou mais anos,8,7,2,2,0,0,0,0,6,5,0,0,0,0
      Alentejo,2041,1392,127,78,63,28,13,5,1795,1267,3,2,40,12
          15 - 19 anos,48,34,2,1,0,0,0,0,45,33,0,0,1,0
          20 - 24 anos,361,228,8,6,5,0,4,1,338,219,1,0,5,2
          25 - 29 anos,377,243,16,7,3,1,2,1,341,229,1,1,14,4
          30 - 34 anos,353,238,17,9,15,6,4,1,307,220,0,0,10,2
          35 - 39 anos,281,203,25,12,10,4,2,1,243,186,0,0,1,0
          40 - 44 anos,200,151,14,8,6,4,0,0,180,139,0,0,0,0
          45 - 49 anos,173,112,15,13,6,3,0,0,149,93,1,1,2,2
          50 - 54 anos,127,96,18,12,9,6,0,0,97,76,0,0,3,2
          55 - 59 anos,74,53,8,6,4,2,0,0,61,45,0,0,1,0
          60 - 64 anos,34,25,1,1,5,2,1,1,26,21,0,0,1,0
          65 - 69 anos,9,6,2,2,0,0,0,0,5,4,0,0,2,0
          70 - 74 anos,1,1,0,0,0,0,0,0,1,1,0,0,0,0
          75 ou mais anos,3,2,1,1,0,0,0,0,2,1,0,0,0,0
      Algarve,1584,896,190,123,132,76,10,4,1208,667,3,2,41,24
          15 - 19 anos,68,36,0,0,2,0,1,0,62,34,1,1,2,1
          20 - 24 anos,214,114,16,6,7,3,1,1,182,97,1,1,7,6
          25 - 29 anos,326,172,22,12,14,10,2,0,276,145,0,0,12,5
          30 - 34 anos,246,140,32,21,13,9,1,1,194,105,0,0,6,4
          35 - 39 anos,207,108,26,15,20,6,1,1,155,84,1,0,4,2
          40 - 44 anos,157,89,29,16,20,14,2,0,103,58,0,0,3,1
          45 - 49 anos,141,91,16,14,22,12,0,0,99,63,0,0,4,2
          50 - 54 anos,106,66,24,17,14,10,1,0,67,39,0,0,0,0
          55 - 59 anos,72,44,16,14,10,6,0,0,45,23,0,0,1,1
          60 - 64 anos,40,31,7,6,7,4,1,1,23,18,0,0,2,2
          65 - 69 anos,6,5,2,2,2,2,0,0,2,1,0,0,0,0
          70 - 74 anos,1,0,0,0,1,0,0,0,0,0,0,0,0,0
          75 ou mais anos,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Região Autónoma dos Açores,350,259,46,38,30,22,3,2,258,190,0,0,13,7
        15 - 19 anos,2,1,1,1,0,0,0,0,1,0,0,0,0,0
        20 - 24 anos,33,21,1,0,3,1,0,0,28,19,0,0,1,1
        25 - 29 anos,59,43,4,4,2,2,0,0,48,34,0,0,5,3
        30 - 34 anos,80,53,13,9,7,7,1,1,55,34,0,0,4,2
        35 - 39 anos,57,43,12,9,4,3,1,0,39,31,0,0,1,0
        40 - 44 anos,41,39,4,4,4,3,0,0,33,32,0,0,0,0
        45 - 49 anos,35,29,7,7,5,3,1,1,21,17,0,0,1,1
        50 - 54 anos,14,10,1,1,1,1,0,0,12,8,0,0,0,0
