"6.45 - POPULAÇÃO RESIDENTE, DESEMPREGADA EM SENTIDO RESTRITO, SEGUNDO O GRUPO ETÁRIO, POR PRINCIPAL MEIO DE VIDA E SEXO",,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Zona Geográfica   ,Total,De 15 a 19 anos,De 20 a 24 anos,De 25 a 29 anos,De 30 a 34 anos,De 35 a 39 anos,De 40 a 44 anos,De 45 a 49 anos,De 50 a 54 anos,De 55 a 59 anos,De 60 a 64 anos,De 65 ou mais anos,
Principal meio de vida e sexo,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,
  Portugal  HM,662180,33390,87186,80904,77933,78586,74253,74279,70290,57088,27988,283,
             H,327600,17831,43187,39070,35807,35968,35140,36548,35838,31752,16352,107,
      Trabalho  HM,103792,1665,11835,17124,16784,14832,12552,11056,8647,6384,2880,33,
                H,57298,859,5986,8486,8742,8091,7178,6581,5359,4123,1874,19,
      Reforma/ Pensão  HM,5171,1,11,10,242,349,511,810,1106,1222,870,39,
                       H,1563,0,6,5,127,111,157,205,256,343,328,25,
      Subsidio de desemprego  HM,207364,574,8101,16329,23502,26368,26415,29277,31531,29927,15274,66,
                              H,105763,317,4020,7623,10375,11901,12813,14998,16719,17545,9424,28,
      Subsidio por acidente de trabalho ou doença profissional  HM,996,6,50,76,106,120,150,149,162,122,55,0,
                                                                H,639,2,30,43,67,72,94,97,106,90,38,0,
      Rendimento social de inserção  HM,44313,896,3970,4836,5695,6582,6261,5954,5060,3448,1597,14,
                                     H,19524,392,1526,1799,2159,2580,2713,2870,2684,1902,895,4,
"      Outro subsídio temporário (doença, maternidade, etc.)  HM",4472,158,736,929,909,650,351,249,220,191,79,0,
                                                             H,754,19,63,70,90,84,102,97,89,100,40,0,
      Rendimento da propriedade ou da empresa  HM,2056,10,66,122,175,196,242,339,372,310,222,2,
                                               H,1190,4,24,71,92,107,135,182,236,193,145,1,
      Apoio social  HM,7405,490,1023,795,814,923,924,886,776,528,244,2,
                    H,3221,209,425,331,311,369,363,417,367,296,132,1,
      A cargo da família  HM,234479,27531,55946,34820,23433,21721,20054,18831,16355,10813,4869,106,
                          H,111033,14985,28554,17866,10889,9421,8228,7607,6588,4636,2239,20,
      Outro  HM,52132,2059,5448,5863,6273,6845,6793,6728,6061,4143,1898,21,
             H,26615,1044,2553,2776,2955,3232,3357,3494,3434,2524,1237,9,
    Continente    HM,630711,31130,81467,75850,73779,74836,70978,71209,67998,55729,27459,276,
                 H,309345,16588,40210,36297,33407,33780,33169,34664,34334,30815,15979,102,
        Trabalho    HM,99675,1579,11201,16311,16119,14244,12085,10663,8374,6241,2827,31,
                    H,54763,816,5676,8018,8320,7710,6875,6323,5167,4010,1830,18,
