"6.47 - POPULAÇÃO RESIDENTE, DESEMPREGADAEM SENTIDO RESTRITO E À PROCURA DE NOVO EMPREGO, SEGUNDO A SITUAÇÃO NA ÚLTIMA PROFISSÃO E SEXO, POR RAMOS DE ACTIVIDADE ECONÓMICA",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Zona Geográfica,Total,,Patrão/Empregador,,Trabalhador por conta própria ou isolado,,Trabalhador familiar não remunerado,,Trabalhador por conta de outrém,,Membro activo de cooperativa de produção,,Outra situação,
Ramos de actividade económica,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
  Portugal,539870,271004,23795,13724,35436,17383,4442,1386,458457,229789,207,114,17533,8608
      Culturas temporárias,6750,3664,216,145,623,454,294,221,5464,2753,8,6,145,85
      Culturas permanentes,1751,834,36,23,45,34,22,15,1610,744,3,1,35,17
      Cultura de materiais de propagação vegetativa,0,0,0,0,0,0,0,0,0,0,0,0,0,0
      Produção animal,1032,611,46,34,91,74,30,24,847,469,0,0,18,10
      Agricultura e produção animal combinadas,361,222,12,10,38,28,23,14,277,164,2,1,9,5
      Actividades dos serviços relacionados com a agricultura e com a produção animal,55,34,3,1,5,3,0,0,46,30,0,0,1,0
"      Caça, repovoamento cinegético  e actividades dos serviços relacionados",23,18,2,2,2,2,0,0,19,14,0,0,0,0
      Silvicultura e outras actividades florestais,215,122,10,7,16,12,4,2,181,100,0,0,4,1
      Exploração florestal,524,406,16,15,37,33,8,6,449,342,1,1,13,9
"      Extracção de cortiça, resina e apanha de outros produtos florestais, excepto madeira",183,111,10,9,7,3,1,0,161,96,0,0,4,3
      Actividades dos serviços relacionados com a silvicultura e exploração florestal,131,98,7,5,3,3,0,0,115,84,0,0,6,6
      Pesca,1328,1117,60,54,110,96,7,5,1117,932,1,1,33,29
      Aquicultura,70,49,0,0,8,5,0,0,62,44,0,0,0,0
      Extracção de hulha (inclui antracite),20,13,2,0,1,1,0,0,17,12,0,0,0,0
      Extracção de lenhite,1,1,0,0,0,0,0,0,1,1,0,0,0,0
      Extracção de petróleo bruto,13,12,0,0,1,1,0,0,12,11,0,0,0,0
      Extracção de gás natural,1,0,0,0,0,0,0,0,1,0,0,0,0,0
      Extracção e preparação de minérios de ferro,3,2,0,0,0,0,0,0,3,2,0,0,0,0
      Extracção e preparação de minérios metálicos não ferrosos,95,81,4,4,3,1,0,0,87,75,0,0,1,1
"      Extracção de pedra, areia e argila",1090,944,45,40,20,18,2,2,1003,867,1,1,19,16
"      Indústrias extractivas, n.e.",133,99,9,8,6,3,0,0,114,85,0,0,4,3
"      Actividades dos serviços relacionados com a extracção de petróleo e gás, excepto a prospecção",2,2,0,0,0,0,0,0,2,2,0,0,0,0
      Outras actividades dos serviços relacionados com as indústrias extractivas,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"      Abate de animais, preparação e conservação de carne e de produtos à base de carne",1318,596,23,16,15,9,5,1,1252,558,1,0,22,12
"      Preparação e conservação de peixes, crustáceos e moluscos",1181,356,15,8,15,12,1,1,1129,324,2,1,19,10
      Preparação e conservação de frutos e de produtos hortícolas,502,181,7,4,5,3,0,0,481,169,1,1,8,4
      Produção de óleos e gorduras animais e vegetais,265,154,5,3,5,3,0,0,248,144,0,0,7,4
      Indústria de lacticínios,820,350,13,8,13,9,2,2,775,326,0,0,17,5
"      Transformação de cereais e leguminosas; fabricação de amidos, de féculas e de produtos afins",183,137,7,5,5,5,1,1,164,121,0,0,6,5
      Fabricação de produtos de padaria e outros produtos à base de farinha,2501,1254,122,68,47,26,9,1,2253,1127,3,2,67,30
      Fabricação de outros produtos alimentares,1175,578,27,17,10,4,3,1,1106,540,0,0,29,16
      Fabricação de alimentos para animais,377,226,7,5,7,4,1,1,353,211,0,0,9,5
      Indústria das bebidas,1366,772,26,14,31,21,4,3,1261,707,0,0,44,27
      Indústria do tabaco,134,73,3,3,2,1,0,0,127,67,0,0,2,2
      Preparação e fiação de fibras têxteis,1712,702,26,13,20,7,5,1,1631,675,2,0,28,6
      Tecelagem de têxteis,538,263,7,4,7,3,4,1,509,250,2,0,9,5
      Acabamento de têxteis,1466,900,26,13,21,14,2,1,1390,856,0,0,27,16
      Fabricação de outros têxteis,3198,1175,83,39,94,40,2,1,2953,1066,4,2,62,27
"      Confecção de artigos de vestuário, excepto artigos de peles com pêlo",28016,4424,861,224,915,243,97,16,25530,3843,18,1,595,97
      Fabricação de artigos de peles com pêlo,0,0,0,0,0,0,0,0,0,0,0,0,0,0
      Fabricação de artigos de malha,1599,537,61,31,40,19,4,2,1458,474,0,0,36,11
"      Curtimenta e acabamento de peles sem pêlo e com pêlo; fabricação de artigos de viagem e de uso pessoal, de marroquinaria, de correeiro e de seleiro",654,264,30,9,31,18,5,0,578,237,0,0,10,0
      Indústria do calçado,5132,1490,128,69,92,42,19,9,4785,1336,3,0,105,34
"      Serração, aplainamento e impregnação da madeira",1333,987,57,48,35,30,4,3,1206,884,2,2,29,20
