"6.49 - POPULAÇÃO RESIDENTE COM 15 OU MAIS ANOS, SEGUNDO A RESPOSTA À PERGUNTA SOBRE RELIGIÃO",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Zona Geográfica                                                   ,Total,População que não respondeu,Religião,,,,,,,
,,,Católica,Ortodoxa,Protestante,Outra cristã,Judaica,Muçulmana,Outra não cristã,Sem religião
1,2,3,4,5,6,7,8,9,10,11
  Portugal,8989849,744874,7281887,56550,75571,163338,3061,20640,28596,615332
    Continente,8563501,725711,6893708,55665,73731,158768,2886,20337,27844,604851
      Norte,3132449,178602,2772730,6323,11070,42524,676,2263,5946,112315
      Centro,2008497,145151,1715105,10651,13792,27454,567,1611,3687,90479
      Lisboa,2383995,289338,1642916,22203,34639,67457,1149,14202,14469,297622
      Alentejo,654528,69358,499428,5252,5787,9961,149,552,1641,62400
      Algarve,384032,43262,263529,11236,8443,11372,345,1709,2101,42035
    Região Autónoma dos Açores,202575,9382,184696,225,823,1959,129,136,332,4893
      Região Autónoma dos Açores,202575,9382,184696,225,823,1959,129,136,332,4893
    Região Autónoma da Madeira,223773,9781,203483,660,1017,2611,46,167,420,5588
      Região Autónoma da Madeira,223773,9781,203483,660,1017,2611,46,167,420,5588
